event,model,source,t_s
pi_flash,kuramoto,pi_oscillator,0.684951
virtual_flash,kuramoto,camera,0.885987
pi_flash,kuramoto,pi_oscillator,1.23207
virtual_flash,kuramoto,camera,1.372612
virtual_flash,kuramoto,camera,1.782515
pi_flash,kuramoto,pi_oscillator,1.782515
virtual_flash,kuramoto,camera,2.212774
pi_flash,kuramoto,pi_oscillator,2.212774
pi_flash,kuramoto,pi_oscillator,2.626184
virtual_flash,kuramoto,camera,2.7649
pi_flash,kuramoto,pi_oscillator,3.143181
virtual_flash,kuramoto,camera,3.26467
pi_flash,kuramoto,pi_oscillator,3.628295
virtual_flash,kuramoto,camera,3.740079
virtual_flash,kuramoto,camera,4.136261
pi_flash,kuramoto,pi_oscillator,4.136261
pi_flash,kuramoto,pi_oscillator,4.558802
virtual_flash,kuramoto,camera,4.673569
pi_flash,kuramoto,pi_oscillator,5.040868
pi_flash,kuramoto,pi_oscillator,5.523815
virtual_flash,kuramoto,camera,5.989749
pi_flash,kuramoto,pi_oscillator,5.989749
pi_flash,kuramoto,pi_oscillator,6.426163
virtual_flash,kuramoto,camera,6.528574
pi_flash,kuramoto,pi_oscillator,6.912962
virtual_flash,kuramoto,camera,7.028667
pi_flash,kuramoto,pi_oscillator,7.430003
virtual_flash,kuramoto,camera,7.810662
pi_flash,kuramoto,pi_oscillator,7.856499
pi_flash,kuramoto,pi_oscillator,8.255736
virtual_flash,kuramoto,camera,8.391645
virtual_flash,kuramoto,camera,8.788076
pi_flash,kuramoto,pi_oscillator,8.788076
virtual_flash,kuramoto,camera,9.228397
pi_flash,kuramoto,pi_oscillator,9.228397
pi_flash,kuramoto,pi_oscillator,9.670806
virtual_flash,kuramoto,camera,9.81291
virtual_flash,kuramoto,camera,10.179532
pi_flash,kuramoto,pi_oscillator,10.179532
virtual_flash,kuramoto,camera,10.614277
pi_flash,kuramoto,pi_oscillator,10.614277
pi_flash,kuramoto,pi_oscillator,11.048458
virtual_flash,kuramoto,camera,11.166758
pi_flash,kuramoto,pi_oscillator,11.562726
pi_flash,kuramoto,pi_oscillator,12.06246
virtual_flash,kuramoto,camera,12.181067
virtual_flash,kuramoto,camera,12.5456
pi_flash,kuramoto,pi_oscillator,12.594703
virtual_flash,kuramoto,camera,12.972596
pi_flash,kuramoto,pi_oscillator,12.972596
pi_flash,kuramoto,pi_oscillator,13.338611
virtual_flash,kuramoto,camera,13.530719
pi_flash,kuramoto,pi_oscillator,13.846721
virtual_flash,kuramoto,camera,13.960886
pi_flash,kuramoto,pi_oscillator,14.358107
pi_flash,kuramoto,pi_oscillator,14.793258
virtual_flash,kuramoto,camera,14.943213
pi_flash,kuramoto,pi_oscillator,15.269731
virtual_flash,kuramoto,camera,15.374524
pi_flash,kuramoto,pi_oscillator,15.736742
virtual_flash,kuramoto,camera,15.88645
pi_flash,kuramoto,pi_oscillator,16.237354
virtual_flash,kuramoto,camera,16.65447
pi_flash,kuramoto,pi_oscillator,16.690828
pi_flash,kuramoto,pi_oscillator,17.075994
virtual_flash,kuramoto,camera,17.212962
virtual_flash,kuramoto,camera,17.651933
pi_flash,kuramoto,pi_oscillator,17.651933
pi_flash,kuramoto,pi_oscillator,18.070875
pi_flash,kuramoto,pi_oscillator,18.50372
virtual_flash,kuramoto,camera,18.625186
pi_flash,kuramoto,pi_oscillator,19.018519
virtual_flash,kuramoto,camera,19.219026
pi_flash,kuramoto,pi_oscillator,19.568356
virtual_flash,kuramoto,camera,19.933054
pi_flash,kuramoto,pi_oscillator,20.019651
pi_flash,kuramoto,pi_oscillator,20.449675
virtual_flash,kuramoto,camera,20.560691
pi_flash,kuramoto,pi_oscillator,20.945609
virtual_flash,kuramoto,camera,21.294911
pi_flash,kuramoto,pi_oscillator,21.426412
pi_flash,kuramoto,pi_oscillator,21.805356
virtual_flash,kuramoto,camera,21.970741
pi_flash,kuramoto,pi_oscillator,22.322353
virtual_flash,kuramoto,camera,22.471721
virtual_flash,kuramoto,camera,22.840542
pi_flash,kuramoto,pi_oscillator,22.840542
virtual_flash,kuramoto,camera,23.240399
pi_flash,kuramoto,pi_oscillator,23.240399
pi_flash,kuramoto,pi_oscillator,23.728271
virtual_flash,kuramoto,camera,23.849215
virtual_flash,kuramoto,camera,24.225989
pi_flash,kuramoto,pi_oscillator,24.225989
virtual_flash,kuramoto,camera,24.654946
pi_flash,kuramoto,pi_oscillator,24.654946
pi_flash,kuramoto,pi_oscillator,25.098052
virtual_flash,kuramoto,camera,25.234878
virtual_flash,kuramoto,camera,25.622466
pi_flash,kuramoto,pi_oscillator,25.622466
pi_flash,kuramoto,pi_oscillator,26.016724
virtual_flash,kuramoto,camera,26.12846
pi_flash,kuramoto,pi_oscillator,26.522833
virtual_flash,kuramoto,camera,26.659734
virtual_flash,kuramoto,camera,27.046512
pi_flash,kuramoto,pi_oscillator,27.046512
pi_flash,kuramoto,pi_oscillator,27.427285
virtual_flash,kuramoto,camera,27.545036
pi_flash,kuramoto,pi_oscillator,27.904296
virtual_flash,kuramoto,camera,28.054027
pi_flash,kuramoto,pi_oscillator,28.439808
virtual_flash,kuramoto,camera,28.866352
pi_flash,kuramoto,pi_oscillator,28.906276
pi_flash,kuramoto,pi_oscillator,29.30173
virtual_flash,kuramoto,camera,29.446347
virtual_flash,kuramoto,camera,29.828029
pi_flash,kuramoto,pi_oscillator,29.828029
