K,agent_id,applied_kuramoto_correction,coupling_input,dt,effective_period_s,fire_count,flash_count_delta,flash_on,frequency_hz_after,frequency_hz_before,neighbour_period_est,neighbour_phase_est,phase_after,phase_before,phase_delta,phase_delta_unwrapped,pi_flash_events_consumed_this_step,time,warning,wrapped_phase_error
4.5,0,0.083202953,0.560289248,0.033,0.416444977,0,0,0,2.401277615,2.0,0.5,3.546130286,3.449288503,2.951395319,0.497893184,0.497893184,0,0.033334,,0.594734967
4.5,0,0.072692789,0.48951373,0.033,0.425425399,0,0,0,2.350588384,2.401277615,0.5,3.960820516,3.936671522,3.449288503,0.487383019,0.487383019,0,0.066854,,0.511532013
4.5,0,0.063096011,0.424888965,0.033,0.43397046,0,0,0,2.304304306,2.350588384,0.5,4.375510747,4.414457764,3.936671522,0.477786242,0.477786242,0,0.100493,,0.438839224
4.5,0,0.054494153,0.366963993,0.033,0.441926719,0,0,0,2.262818601,2.304304306,0.5,4.790200977,4.883642147,4.414457764,0.469184383,0.469184383,0,0.133931,,0.375743213
4.5,0,0.046889167,0.315751967,0.033,0.449207907,0,0,0,2.226140689,2.262818601,0.5,5.204891207,5.345221544,4.883642147,0.461579397,0.461579397,0,0.167471,,0.32124906
4.5,0,0.040233228,0.270930826,0.033,0.455780223,0,0,0,2.194039911,2.226140689,0.5,5.619581437,5.800145002,5.345221544,0.454923458,0.454923458,0,0.201061,,0.274359893
4.5,0,0.034451045,0.231993566,0.033,0.461647875,0,0,0,2.166153153,2.194039911,0.5,6.034271668,6.249286277,5.800145002,0.449141275,0.449141275,0,0.234592,,0.234126665
4.5,0,0.029455184,0.198351407,0.033,0.466840608,1,1,1,2.142058731,2.166153153,0.5,0.165776591,0.410246384,6.249286277,0.444145414,0.444145414,0,0.268114,,0.199675621
4.5,0,0.025155841,0.169399604,0.033,0.471403813,1,0,0,2.12132353,2.142058731,0.5,0.580466821,0.850092456,0.410246384,0.439846071,0.439846071,0,0.301724,,0.170220437
4.5,0,0.021466618,0.144556347,0.033,0.475391172,1,0,0,2.103530857,2.12132353,0.5,0.995157051,1.286249304,0.850092456,0.436156848,0.436156848,0,0.335251,,0.145064596
