attempt,elapsed_ms,endpoint,ok,status,t_monotonic
1,9.446,POST /api/mode,1,ok,12153.695908
1,17.627,POST /api/pause,1,ok,12153.705363
1,6.049,POST /api/reset,1,ok,12153.722998
1,10.058,POST /api/agents/0,1,ok,12153.729056
1,6.929,POST /api/feedback,1,ok,12153.739122
1,6.691,POST /api/start,1,ok,12153.746057
1,8.865,GET /api/agents,1,ok,12153.752755
1,11.833,GET /api/agents,1,ok,12154.140827
1,10.866,POST /api/pi_flash,1,ok,12154.349327
1,13.337,GET /api/agents,1,ok,12154.894322
1,13.53,POST /api/pi_flash,1,ok,12155.235577
1,15.081,GET /api/agents,1,ok,12155.882457
1,19.952,POST /api/pi_flash,1,ok,12155.957717
1,8.331,POST /api/pi_flash,1,ok,12156.437368
1,14.703,GET /api/agents,1,ok,12156.929122
1,9.15,POST /api/pi_flash,1,ok,12157.003996
1,8.372,POST /api/pi_flash,1,ok,12157.680321
1,14.167,GET /api/agents,1,ok,12157.986878
1,15.212,POST /api/pi_flash,1,ok,12158.134729
1,10.64,POST /api/pi_flash,1,ok,12158.655985
1,12.701,GET /api/agents,1,ok,12159.031282
1,9.058,POST /api/pi_flash,1,ok,12159.31949
1,8.525,POST /api/pi_flash,1,ok,12159.791852
1,10.666,GET /api/agents,1,ok,12160.088735
1,12.135,POST /api/pi_flash,1,ok,12160.30678
1,19.539,POST /api/pi_flash,1,ok,12160.974272
1,10.463,GET /api/agents,1,ok,12161.108114
1,10.985,POST /api/pi_flash,1,ok,12161.493706
1,10.38,POST /api/pi_flash,1,ok,12162.037144
1,7.796,GET /api/agents,1,ok,12162.08035
1,13.592,POST /api/pi_flash,1,ok,12162.531212
1,23.75,POST /api/pi_flash,1,ok,12163.100179
1,14.271,GET /api/agents,1,ok,12163.193192
1,17.391,POST /api/pi_flash,1,ok,12163.633002
1,115.158,POST /api/pi_flash,1,ok,12164.097819
1,100.019,GET /api/agents,1,ok,12164.278566
1,11.887,POST /api/pi_flash,1,ok,12165.122409
1,198.222,GET /api/agents,1,ok,12165.304534
1,102.107,POST /api/pi_flash,1,ok,12165.83378
1,41.419,GET /api/agents,1,ok,12166.347039
1,10.626,POST /api/pi_flash,1,ok,12166.66742
1,16.762,POST /api/pi_flash,1,ok,12167.190005
1,90.613,GET /api/agents,1,ok,12167.419941
1,36.599,POST /api/pi_flash,1,ok,12167.873377
1,9.287,GET /api/agents,1,ok,12168.429896
1,54.96,POST /api/pi_flash,1,ok,12168.624044
1,68.546,POST /api/pi_flash,1,ok,12169.417356
1,11.143,GET /api/agents,1,ok,12169.509899
1,8.492,POST /api/pi_flash,1,ok,12170.145616
1,8.178,GET /api/agents,1,ok,12170.552858
1,93.308,POST /api/pi_flash,1,ok,12170.621196
1,8.033,GET /api/agents,1,ok,12171.604037
1,4.946,POST /api/pi_flash,1,ok,12171.672231
1,9.771,POST /api/pi_flash,1,ok,12172.380861
1,10.075,GET /api/agents,1,ok,12172.61487
1,62.611,POST /api/pi_flash,1,ok,12172.918143
1,16.022,GET /api/agents,1,ok,12173.657034
1,23.617,POST /api/pi_flash,1,ok,12173.733217
1,9.051,POST /api/pi_flash,1,ok,12174.651815
1,16.068,GET /api/agents,1,ok,12174.692795
1,21.741,POST /api/pi_flash,1,ok,12175.438968
1,9.142,GET /api/agents,1,ok,12175.751858
1,14.006,POST /api/pi_flash,1,ok,12176.03559
1,8.839,POST /api/pi_flash,1,ok,12176.53035
1,11.924,GET /api/agents,1,ok,12176.787222
1,10.765,POST /api/pi_flash,1,ok,12177.237902
1,21.447,POST /api/pi_flash,1,ok,12177.734463
1,20.169,GET /api/agents,1,ok,12177.793495
1,9.069,POST /api/pi_flash,1,ok,12178.268409
1,10.751,GET /api/agents,1,ok,12178.827639
1,9.57,POST /api/pi_flash,1,ok,12178.937638
1,11.012,POST /api/pi_flash,1,ok,12179.442286
1,15.546,GET /api/agents,1,ok,12179.849654
1,15.317,POST /api/pi_flash,1,ok,12179.993684
1,10.036,POST /api/pi_flash,1,ok,12180.678958
1,8.325,GET /api/agents,1,ok,12180.88681
1,17.327,POST /api/pi_flash,1,ok,12181.258567
1,14.813,POST /api/pi_flash,1,ok,12181.861473
1,5.268,GET /api/agents,1,ok,12181.935675
1,17.412,POST /api/pi_flash,1,ok,12182.375943
1,12.743,POST /api/pi_flash,1,ok,12182.883495
1,13.915,GET /api/agents,1,ok,12182.91879
1,20.383,POST /api/pi_flash,1,ok,12183.407135
1,19.107,GET /api/agents,1,ok,12183.702978
1,7.88,POST /api/pause,1,ok,12183.7221
