event,model,source,t_s
pi_flash,kuramoto,pi_oscillator,0.485761
virtual_flash,kuramoto,camera,0.940852
virtual_flash,kuramoto,camera,1.340405
pi_flash,kuramoto,pi_oscillator,1.391004
virtual_flash,kuramoto,camera,2.012142
pi_flash,kuramoto,pi_oscillator,2.012142
virtual_flash,kuramoto,camera,2.550638
pi_flash,kuramoto,pi_oscillator,2.550638
virtual_flash,kuramoto,camera,3.085351
pi_flash,kuramoto,pi_oscillator,3.085351
virtual_flash,kuramoto,camera,3.624053
pi_flash,kuramoto,pi_oscillator,3.624053
virtual_flash,kuramoto,camera,4.184974
pi_flash,kuramoto,pi_oscillator,4.184974
virtual_flash,kuramoto,camera,4.601907
pi_flash,kuramoto,pi_oscillator,4.724317
pi_flash,kuramoto,pi_oscillator,5.192945
virtual_flash,kuramoto,camera,5.313281
virtual_flash,kuramoto,camera,5.681847
pi_flash,kuramoto,pi_oscillator,5.812368
virtual_flash,kuramoto,camera,6.236206
pi_flash,kuramoto,pi_oscillator,6.336028
virtual_flash,kuramoto,camera,6.755445
pi_flash,kuramoto,pi_oscillator,6.848565
virtual_flash,kuramoto,camera,7.327257
pi_flash,kuramoto,pi_oscillator,7.327257
virtual_flash,kuramoto,camera,7.859296
pi_flash,kuramoto,pi_oscillator,7.859296
virtual_flash,kuramoto,camera,8.391616
pi_flash,kuramoto,pi_oscillator,8.391616
virtual_flash,kuramoto,camera,8.811306
pi_flash,kuramoto,pi_oscillator,8.937378
virtual_flash,kuramoto,camera,9.363775
pi_flash,kuramoto,pi_oscillator,9.41243
virtual_flash,kuramoto,camera,9.895752
pi_flash,kuramoto,pi_oscillator,9.944815
virtual_flash,kuramoto,camera,10.437145
pi_flash,kuramoto,pi_oscillator,10.437145
virtual_flash,kuramoto,camera,10.961455
pi_flash,kuramoto,pi_oscillator,10.997489
virtual_flash,kuramoto,camera,11.429162
pi_flash,kuramoto,pi_oscillator,11.505369
virtual_flash,kuramoto,camera,11.937846
pi_flash,kuramoto,pi_oscillator,11.987904
pi_flash,kuramoto,pi_oscillator,12.468546
virtual_flash,kuramoto,camera,12.588571
virtual_flash,kuramoto,camera,13.019376
pi_flash,kuramoto,pi_oscillator,13.107575
virtual_flash,kuramoto,camera,13.449779
pi_flash,kuramoto,pi_oscillator,13.620672
virtual_flash,kuramoto,camera,14.09194
pi_flash,kuramoto,pi_oscillator,14.14343
virtual_flash,kuramoto,camera,14.654457
pi_flash,kuramoto,pi_oscillator,14.654457
virtual_flash,kuramoto,camera,15.641634
pi_flash,kuramoto,pi_oscillator,15.680885
virtual_flash,kuramoto,camera,16.150796
pi_flash,kuramoto,pi_oscillator,16.199965
virtual_flash,kuramoto,camera,16.703043
pi_flash,kuramoto,pi_oscillator,16.703043
virtual_flash,kuramoto,camera,17.251926
pi_flash,kuramoto,pi_oscillator,17.251926
virtual_flash,kuramoto,camera,17.686013
pi_flash,kuramoto,pi_oscillator,17.764721
virtual_flash,kuramoto,camera,18.24043
pi_flash,kuramoto,pi_oscillator,18.290079
virtual_flash,kuramoto,camera,18.775785
pi_flash,kuramoto,pi_oscillator,18.825467
virtual_flash,kuramoto,camera,19.32876
pi_flash,kuramoto,pi_oscillator,19.32876
pi_flash,kuramoto,pi_oscillator,19.873586
virtual_flash,kuramoto,camera,19.99704
pi_flash,kuramoto,pi_oscillator,20.586402
virtual_flash,kuramoto,camera,20.843544
pi_flash,kuramoto,pi_oscillator,21.373975
virtual_flash,kuramoto,camera,21.509629
virtual_flash,kuramoto,camera,22.027827
pi_flash,kuramoto,pi_oscillator,22.027827
virtual_flash,kuramoto,camera,22.440394
pi_flash,kuramoto,pi_oscillator,22.567957
virtual_flash,kuramoto,camera,23.002291
pi_flash,kuramoto,pi_oscillator,23.052558
virtual_flash,kuramoto,camera,23.529973
pi_flash,kuramoto,pi_oscillator,23.580014
virtual_flash,kuramoto,camera,24.073576
pi_flash,kuramoto,pi_oscillator,24.073576
virtual_flash,kuramoto,camera,24.595338
pi_flash,kuramoto,pi_oscillator,24.631381
virtual_flash,kuramoto,camera,25.017296
pi_flash,kuramoto,pi_oscillator,25.133756
pi_flash,kuramoto,pi_oscillator,25.622553
virtual_flash,kuramoto,camera,25.739709
virtual_flash,kuramoto,camera,26.117822
pi_flash,kuramoto,pi_oscillator,26.247415
virtual_flash,kuramoto,camera,26.67284
pi_flash,kuramoto,pi_oscillator,26.764634
virtual_flash,kuramoto,camera,27.28773
pi_flash,kuramoto,pi_oscillator,27.338374
virtual_flash,kuramoto,camera,27.73348
pi_flash,kuramoto,pi_oscillator,27.815125
virtual_flash,kuramoto,camera,28.292258
pi_flash,kuramoto,pi_oscillator,28.292258
virtual_flash,kuramoto,camera,28.823145
pi_flash,kuramoto,pi_oscillator,28.823145
virtual_flash,kuramoto,camera,29.277995
pi_flash,kuramoto,pi_oscillator,29.360571
virtual_flash,kuramoto,camera,29.789068
pi_flash,kuramoto,pi_oscillator,29.838716
