appendix_ranking_score,failed_or_invalid_trials,failure_timeout_count,kuramoto_K,mean_actual_detection_fcr,mean_api_drop_count,mean_capture_drop_count,mean_frequency_error_final_5s_abs_of_means,mean_frequency_error_final_5s_mean_abs,mean_frontend_warning_count,mean_kuramoto_debug_warning_count,mean_pi_freq_final_5s_std,mean_short_interval_warning_count,mean_virtual_freq_final_5s_std,n_trials,pi_initial_freq,score_formula,std_actual_detection_fcr,std_api_drop_count,std_capture_drop_count,std_frequency_error_final_5s_abs_of_means,std_frequency_error_final_5s_mean_abs,std_frontend_warning_count,std_kuramoto_debug_warning_count,std_pi_freq_final_5s_std,std_short_interval_warning_count,std_virtual_freq_final_5s_std,virtual_initial_freq
1.029323,0,0,2.5,0.8766,0.0,0.0,0.686837,0.686837,0.5,0.5,0.251232,0.0,0.26294,2,1.2,"score = mean(final_5s_mean_abs_error) + 0.5*mean(virtual_final_5s_std + pi_final_5s_std) + 2*mean(max(0, 0.90-FCR)) + 5*mean(max(0, FCR-1.02)) + 0.02*mean(api_drops + capture_drops + short_interval_warnings + frontend_warnings) + 10*(failed_or_invalid_trials/n_trials)",0.073539,0.0,0.0,0.036173,0.036173,0.707107,0.707107,0.012876,0.0,0.013298,2.0
0.632143,0,0,2.5,0.9352,0.0,0.0,0.255331,0.315291,4.5,4.5,0.258162,0.0,0.195543,2,1.5,"score = mean(final_5s_mean_abs_error) + 0.5*mean(virtual_final_5s_std + pi_final_5s_std) + 2*mean(max(0, 0.90-FCR)) + 5*mean(max(0, FCR-1.02)) + 0.02*mean(api_drops + capture_drops + short_interval_warnings + frontend_warnings) + 10*(failed_or_invalid_trials/n_trials)",0.039315,0.0,0.0,0.215516,0.131392,0.707107,0.707107,0.016333,0.0,0.134432,2.0
0.880827,0,0,2.5,0.72105,0.0,0.0,0.234741,0.292509,0.5,0.5,0.260945,0.0,0.179889,2,2.5,"score = mean(final_5s_mean_abs_error) + 0.5*mean(virtual_final_5s_std + pi_final_5s_std) + 2*mean(max(0, 0.90-FCR)) + 5*mean(max(0, FCR-1.02)) + 0.02*mean(api_drops + capture_drops + short_interval_warnings + frontend_warnings) + 10*(failed_or_invalid_trials/n_trials)",0.01888,0.0,0.0,0.153889,0.146409,0.707107,0.707107,0.024034,0.0,0.065895,2.0
2.139691,0,0,3.0,0.9519,0.0,0.0,0.549167,0.560249,62.0,62.0,0.323955,0.0,0.354928,2,1.2,"score = mean(final_5s_mean_abs_error) + 0.5*mean(virtual_final_5s_std + pi_final_5s_std) + 2*mean(max(0, 0.90-FCR)) + 5*mean(max(0, FCR-1.02)) + 0.02*mean(api_drops + capture_drops + short_interval_warnings + frontend_warnings) + 10*(failed_or_invalid_trials/n_trials)",0.013576,0.0,0.0,0.0391,0.023427,4.242641,4.242641,0.027543,0.0,0.032229,2.0
1.103303,0,0,3.0,0.9,0.0,0.0,0.160652,0.212674,32.5,32.5,0.27194,0.0,0.154717,2,1.5,"score = mean(final_5s_mean_abs_error) + 0.5*mean(virtual_final_5s_std + pi_final_5s_std) + 2*mean(max(0, 0.90-FCR)) + 5*mean(max(0, FCR-1.02)) + 0.02*mean(api_drops + capture_drops + short_interval_warnings + frontend_warnings) + 10*(failed_or_invalid_trials/n_trials)",0.038608,0.0,0.0,0.009092,0.030843,3.535534,3.535534,0.002826,0.0,0.083024,2.0
1.945609,0,0,3.0,0.7402,0.0,0.0,0.073047,0.186422,63.5,63.5,0.233656,0.5,0.085519,2,2.5,"score = mean(final_5s_mean_abs_error) + 0.5*mean(virtual_final_5s_std + pi_final_5s_std) + 2*mean(max(0, 0.90-FCR)) + 5*mean(max(0, FCR-1.02)) + 0.02*mean(api_drops + capture_drops + short_interval_warnings + frontend_warnings) + 10*(failed_or_invalid_trials/n_trials)",0.008202,0.0,0.0,0.017355,0.022048,9.192388,9.192388,0.019681,0.707107,0.062371,2.0
2.8194,0,0,3.5,0.9323,0.0,0.0,0.56211,0.617778,89.5,89.5,0.359737,0.0,0.463507,2,1.2,"score = mean(final_5s_mean_abs_error) + 0.5*mean(virtual_final_5s_std + pi_final_5s_std) + 2*mean(max(0, 0.90-FCR)) + 5*mean(max(0, FCR-1.02)) + 0.02*mean(api_drops + capture_drops + short_interval_warnings + frontend_warnings) + 10*(failed_or_invalid_trials/n_trials)",0.040305,0.0,0.0,0.103148,0.080503,7.778175,7.778175,0.005706,0.0,0.00774,2.0
0.97692,0,0,3.5,0.918,0.0,0.0,0.077478,0.15115,35.0,35.0,0.158188,0.0,0.093352,2,1.5,"score = mean(final_5s_mean_abs_error) + 0.5*mean(virtual_final_5s_std + pi_final_5s_std) + 2*mean(max(0, 0.90-FCR)) + 5*mean(max(0, FCR-1.02)) + 0.02*mean(api_drops + capture_drops + short_interval_warnings + frontend_warnings) + 10*(failed_or_invalid_trials/n_trials)",0.014991,0.0,0.0,0.024548,0.039794,11.313708,11.313708,0.099599,0.0,0.03741,2.0
3.697837,0,0,3.5,0.7673,0.0,0.0,0.10879,0.318199,141.0,141.0,0.339642,0.5,0.228835,2,2.5,"score = mean(final_5s_mean_abs_error) + 0.5*mean(virtual_final_5s_std + pi_final_5s_std) + 2*mean(max(0, 0.90-FCR)) + 5*mean(max(0, FCR-1.02)) + 0.02*mean(api_drops + capture_drops + short_interval_warnings + frontend_warnings) + 10*(failed_or_invalid_trials/n_trials)",0.024466,0.0,0.0,0.012545,0.054343,8.485281,8.485281,0.01178,0.707107,0.081962,2.0
2.43274,0,0,4.0,0.9336,0.0,0.0,0.423097,0.476394,80.0,80.0,0.362497,0.0,0.350195,2,1.2,"score = mean(final_5s_mean_abs_error) + 0.5*mean(virtual_final_5s_std + pi_final_5s_std) + 2*mean(max(0, 0.90-FCR)) + 5*mean(max(0, FCR-1.02)) + 0.02*mean(api_drops + capture_drops + short_interval_warnings + frontend_warnings) + 10*(failed_or_invalid_trials/n_trials)",0.039457,0.0,0.0,0.102833,0.063015,9.899495,9.899495,0.004644,0.0,0.002787,2.0
