trial_id,trial_dir,model,virtual_initial_freq,pi_initial_freq,duration,repeat,seed,trial_seed,random_phase_enabled,virtual_initial_phase_rad,pi_initial_phase_rad,initial_phase_difference_rad,feedback_enabled,model_parameters_json,eapf_g_p,eapf_g_f,eapf_alpha_p,eapf_alpha_f,eapf_delta_theta_max_rad,eapf_delta_f_max_hz,kuramoto_K,virtual_fire_count_start,virtual_fire_count_end,actual_virtual_flashes,pi_detected_virtual_flashes,actual_detection_fcr,nominal_expected_flashes,nominal_fcr,virtual_frequency_start,virtual_frequency_end,pi_final_frequency_hz,final_frequency_error_hz,mean_frequency_error_final_10s,median_frequency_error_final_10s,mean_timing_error_final_10s,median_timing_error_final_10s,time_to_frequency_lock_s,time_to_timing_lock_s,virtual_flash_count,pi_flash_count,flash_count_ratio,received_pi_flashes,pi_flash_posts_received,pi_flash_events_consumed,virtual_freq_final_5s_mean,pi_freq_final_5s_mean,frequency_error_final_5s_mean_abs,frequency_error_final_5s_abs_of_means,virtual_freq_final_5s_std,pi_freq_final_5s_std,loop_rate_hz,timeout_or_failure,error_message,model_parameters,pi_flash_events_consumed_end,pi_flash_events_consumed_start,pi_flash_posts_received_end,pi_flash_posts_received_start
eapf_consensus_V2_P1.2_r01,experiments/logs/step5b_mutual_model_comparison/20260621_184443_step5b_mutual_model_comparison/trials/eapf_consensus_V2_P1.2_r01,eapf_consensus,2.0,1.2,30.0,1,20260620,20260621,True,2.951395,3.693125,0.74173,True,"{""alpha_f"": 0.2, ""alpha_p"": 0.2, ""delta_f_max_hz"": 0.05, ""delta_theta_max_rad"": 0.2, ""g_f"": 0.02, ""g_p"": 0.02}",0.02,0.02,0.2,0.2,0.2,0.05,,0,58,58,55,0.9483,60,0.9167,2.0,1.938267,1.893084,0.04045,0.088344,0.089846,0.074157,0.07493,,11.887112,55,51,0.87931,51,51,51,1.940911,1.850083,0.090828,0.090828,0.001244,0.002602,29.98,False,,"{'g_p': 0.02, 'g_f': 0.02, 'alpha_p': 0.2, 'alpha_f': 0.2, 'delta_theta_max_rad': 0.2, 'delta_f_max_hz': 0.05}",51,0,51,0
kuramoto_V2_P1.2_r01,experiments/logs/step5b_mutual_model_comparison/20260621_184443_step5b_mutual_model_comparison/trials/kuramoto_V2_P1.2_r01,kuramoto,2.0,1.2,30.0,1,20260620,20260622,True,5.83459,4.37697,-1.457621,True,"{""K"": 5.0}",,,,,,,5.0,0,50,50,45,0.9,60,0.75,2.0,2.238166,1.129842,0.303937,0.578208,0.410968,0.166891,0.163378,,,45,38,0.76,38,38,38,1.796823,1.259353,0.699546,0.53747,0.461828,0.533803,29.96,False,,{'K': 5.0},38,0,38,0
eapf_consensus_V2_P1.5_r01,experiments/logs/step5b_mutual_model_comparison/20260621_184443_step5b_mutual_model_comparison/trials/eapf_consensus_V2_P1.5_r01,eapf_consensus,2.0,1.5,30.0,1,20260620,20260623,True,3.784068,1.777726,-2.006341,True,"{""alpha_f"": 0.2, ""alpha_p"": 0.2, ""delta_f_max_hz"": 0.05, ""delta_theta_max_rad"": 0.2, ""g_f"": 0.02, ""g_p"": 0.02}",0.02,0.02,0.2,0.2,0.2,0.05,,0,58,58,54,0.931,60,0.9,2.0,1.930647,1.921818,0.069935,0.078417,0.07907,0.079355,0.039853,6.577752,14.51138,54,57,0.982759,57,57,57,1.932001,1.854317,0.077684,0.077684,0.000822,0.002996,29.97,False,,"{'g_p': 0.02, 'g_f': 0.02, 'alpha_p': 0.2, 'alpha_f': 0.2, 'delta_theta_max_rad': 0.2, 'delta_f_max_hz': 0.05}",57,0,57,0
kuramoto_V2_P1.5_r01,experiments/logs/step5b_mutual_model_comparison/20260621_184443_step5b_mutual_model_comparison/trials/kuramoto_V2_P1.5_r01,kuramoto,2.0,1.5,30.0,1,20260620,20260624,True,5.031916,5.780777,0.748861,True,"{""K"": 5.0}",,,,,,,5.0,0,57,57,55,0.9649,60,0.9167,2.0,2.048728,1.97826,0.105885,0.241906,0.211591,0.050809,0.041089,,5.774484,55,54,0.947368,54,54,54,1.947347,1.851848,0.266911,0.095498,0.067155,0.363726,29.96,False,,{'K': 5.0},54,0,54,0
eapf_consensus_V2_P2.5_r01,experiments/logs/step5b_mutual_model_comparison/20260621_184443_step5b_mutual_model_comparison/trials/eapf_consensus_V2_P2.5_r01,eapf_consensus,2.0,2.5,30.0,1,20260620,20260625,True,2.340413,4.527871,2.187458,True,"{""alpha_f"": 0.2, ""alpha_p"": 0.2, ""delta_f_max_hz"": 0.05, ""delta_theta_max_rad"": 0.2, ""g_f"": 0.02, ""g_p"": 0.02}",0.02,0.02,0.2,0.2,0.2,0.05,,0,62,62,59,0.9516,60,0.9833,2.0,2.078927,2.058079,0.026413,0.033077,0.032938,0.065751,0.092352,11.650425,14.728014,59,63,1.016129,63,63,63,2.083328,2.049846,0.036933,0.033482,0.001695,0.02016,29.96,False,,"{'g_p': 0.02, 'g_f': 0.02, 'alpha_p': 0.2, 'alpha_f': 0.2, 'delta_theta_max_rad': 0.2, 'delta_f_max_hz': 0.05}",63,0,63,0
kuramoto_V2_P2.5_r01,experiments/logs/step5b_mutual_model_comparison/20260621_184443_step5b_mutual_model_comparison/trials/kuramoto_V2_P2.5_r01,kuramoto,2.0,2.5,30.0,1,20260620,20260626,True,5.700511,0.488682,1.071357,True,"{""K"": 5.0}",,,,,,,5.0,0,67,67,57,0.8507,60,0.95,2.0,1.852993,2.257207,0.128605,0.452169,0.435824,0.080267,0.034271,,12.789144,57,65,0.970149,65,65,65,2.425147,2.259503,0.412709,0.165645,0.279523,0.376497,29.95,False,,{'K': 5.0},65,0,65,0
eapf_consensus_V2_P1.2_r02,experiments/logs/step5b_mutual_model_comparison/20260621_184443_step5b_mutual_model_comparison/trials/eapf_consensus_V2_P1.2_r02,eapf_consensus,2.0,1.2,30.0,2,20260620,20260627,True,5.033519,1.237926,2.487593,True,"{""alpha_f"": 0.2, ""alpha_p"": 0.2, ""delta_f_max_hz"": 0.05, ""delta_theta_max_rad"": 0.2, ""g_f"": 0.02, ""g_p"": 0.02}",0.02,0.02,0.2,0.2,0.2,0.05,,0,57,57,54,0.9474,60,0.9,2.0,1.896381,1.878692,0.041119,0.077965,0.077249,0.105588,0.08449,12.400631,2.444103,54,52,0.912281,52,52,52,1.89941,1.831913,0.067497,0.067497,0.001592,0.01532,29.97,False,,"{'g_p': 0.02, 'g_f': 0.02, 'alpha_p': 0.2, 'alpha_f': 0.2, 'delta_theta_max_rad': 0.2, 'delta_f_max_hz': 0.05}",52,0,52,0
kuramoto_V2_P1.2_r02,experiments/logs/step5b_mutual_model_comparison/20260621_184443_step5b_mutual_model_comparison/trials/kuramoto_V2_P1.2_r02,kuramoto,2.0,1.2,30.0,2,20260620,20260628,True,0.68735,4.091747,-2.878788,True,"{""K"": 5.0}",,,,,,,5.0,0,52,52,51,0.9808,60,0.85,2.0,1.354002,1.425508,0.429889,0.490098,0.376961,0.144111,0.111827,,13.547056,51,43,0.826923,43,43,43,1.808714,1.323604,0.58144,0.48511,0.472292,0.48338,29.96,False,,{'K': 5.0},43,0,43,0
eapf_consensus_V2_P1.5_r02,experiments/logs/step5b_mutual_model_comparison/20260621_184443_step5b_mutual_model_comparison/trials/eapf_consensus_V2_P1.5_r02,eapf_consensus,2.0,1.5,30.0,2,20260620,20260629,True,1.1689,0.933366,-0.235534,True,"{""alpha_f"": 0.2, ""alpha_p"": 0.2, ""delta_f_max_hz"": 0.05, ""delta_theta_max_rad"": 0.2, ""g_f"": 0.02, ""g_p"": 0.02}",0.02,0.02,0.2,0.2,0.2,0.05,,0,57,57,56,0.9825,60,0.9333,2.0,1.905885,1.882991,0.036922,0.062618,0.061374,0.049958,0.059378,,11.226589,56,53,0.929825,53,53,53,1.907924,1.849488,0.058435,0.058435,0.001141,0.004334,29.97,False,,"{'g_p': 0.02, 'g_f': 0.02, 'alpha_p': 0.2, 'alpha_f': 0.2, 'delta_theta_max_rad': 0.2, 'delta_f_max_hz': 0.05}",53,0,53,0
kuramoto_V2_P1.5_r02,experiments/logs/step5b_mutual_model_comparison/20260621_184443_step5b_mutual_model_comparison/trials/kuramoto_V2_P1.5_r02,kuramoto,2.0,1.5,30.0,2,20260620,20260630,True,2.523883,3.300691,0.776808,True,"{""K"": 5.0}",,,,,,,5.0,0,59,59,56,0.9492,60,0.9333,2.0,2.119369,1.974539,0.104561,0.218214,0.207711,0.077723,0.077872,,10.185817,56,57,0.966102,57,57,57,1.976263,1.975757,0.230416,0.000506,0.087868,0.268696,29.95,False,,{'K': 5.0},57,0,57,0
