brightness,camera_processing_time_ms,signal_norm,state,t_s,virtual_event
127.0,342.096,0.0,0,0.113102,0
136.0,41.656,0.0,0,0.464805,0
148.0,30.356,0.0,0,0.506505,0
153.0,29.682,0.0,0,0.536895,0
174.0,29.701,0.0,0,0.56661,0
173.0,30.716,0.0,0,0.596345,0
176.0,37.611,0.0,0,0.627094,0
176.0,42.275,0.0,0,0.664738,0
177.0,46.199,0.0,0,0.707046,0
153.0,50.018,0.4366,0,0.753279,0
141.0,50.095,0.125,0,0.80333,0
144.0,29.589,0.1899,0,0.923558,0
149.0,25.528,0.3077,0,0.953178,0
147.0,24.411,0.2468,0,0.978762,0
147.0,22.109,0.2368,0,1.003206,0
147.0,21.699,0.2267,0,1.025347,0
150.0,39.818,0.2973,0,1.047078,0
156.0,37.432,0.4521,0,1.08693,0
175.0,36.337,0.9722,1,1.124394,1
175.0,20.032,0.9718,1,1.175427,0
175.0,36.712,0.9714,1,1.195528,0
176.0,41.367,1.0,1,1.232306,0
159.0,46.718,0.5058,1,1.27374,0
148.0,48.664,0.1789,0,1.320524,0
141.0,49.84,0.0,0,1.369256,0
147.0,50.333,0.1714,0,1.419163,0
150.0,23.57,0.2571,0,1.469563,0
147.0,23.429,0.1714,0,1.493199,0
154.0,20.963,0.3714,0,1.516694,0
171.0,20.684,0.8571,1,1.537725,1
175.0,37.466,0.9714,1,1.558516,0
175.0,37.911,0.974,1,1.596046,0
176.0,41.724,1.0,1,1.634022,0
177.0,45.863,1.0,1,1.675813,0
172.0,27.836,0.8817,1,1.791849,0
149.0,51.189,0.194,0,1.81975,0
136.0,49.955,0.0,0,1.871006,0
134.0,50.012,0.0,0,1.921028,0
139.0,49.413,0.016,0,1.971105,0
145.0,27.754,0.1689,0,2.020583,0
146.0,25.215,0.1892,0,2.048403,0
152.0,23.203,0.3478,0,2.073686,0
172.0,23.131,0.8907,1,2.096954,1
174.0,40.906,0.9451,1,2.120193,0
174.0,40.522,0.9448,1,2.161164,0
176.0,31.493,1.0,1,2.214262,0
167.0,48.122,0.7486,1,2.24582,0
146.0,50.567,0.1573,0,2.294008,0
139.0,49.152,0.0,0,2.344642,0
137.0,50.178,0.0,0,2.393861,0
146.0,26.941,0.1892,0,2.444103,0
174.0,41.475,0.9459,1,2.539622,1
174.0,39.926,0.9459,1,2.581204,0
174.0,44.24,0.9459,1,2.621199,0
175.0,46.864,0.973,1,2.665505,0
174.0,49.483,0.9459,1,2.712435,0
169.0,49.86,0.8108,1,2.761984,0
141.0,51.019,0.0541,0,2.811911,0
135.0,49.645,0.0,0,2.862997,0
133.0,50.103,0.0,0,2.912708,0
139.0,28.867,0.0513,0,2.962879,0
143.0,27.383,0.1499,0,2.991812,0
144.0,23.546,0.1719,0,3.01926,0
154.0,24.83,0.4304,0,3.042875,0
173.0,41.885,0.9312,1,3.067771,1
175.0,62.392,0.9867,1,3.178688,0
151.0,36.043,0.3441,0,3.254355,0
139.0,50.802,0.0163,0,3.290464,0
135.0,50.091,0.0,0,3.341333,0
143.0,50.108,0.1597,0,3.391492,0
147.0,24.644,0.2632,0,3.441667,0
144.0,23.881,0.1799,0,3.466379,0
144.0,21.429,0.1755,0,3.490326,0
144.0,22.355,0.1711,0,3.511822,0
148.0,38.123,0.2742,0,3.534245,0
150.0,38.707,0.3243,0,3.572435,0
173.0,35.875,0.9457,1,3.61121,1
173.0,20.926,0.9454,1,3.719193,0
172.0,40.679,0.9176,1,3.740185,0
154.0,43.518,0.4199,1,3.780931,0
145.0,47.466,0.1667,0,3.824515,0
144.0,50.095,0.1389,0,3.872045,0
146.0,47.918,0.1944,0,3.922206,0
146.0,23.323,0.1944,0,3.97019,0
144.0,21.831,0.1389,0,3.993579,0
145.0,20.266,0.1667,0,4.015476,0
145.0,20.638,0.1667,0,4.035808,0
148.0,35.657,0.25,0,4.056512,0
