event,model,source,t_s
virtual_flash,eapf_consensus,camera,0.695234
pi_flash,eapf_consensus,pi_oscillator,0.72708
virtual_flash,eapf_consensus,camera,1.05999
pi_flash,eapf_consensus,pi_oscillator,1.535293
virtual_flash,eapf_consensus,camera,1.632369
virtual_flash,eapf_consensus,camera,2.140137
pi_flash,eapf_consensus,pi_oscillator,2.140137
virtual_flash,eapf_consensus,camera,2.665503
pi_flash,eapf_consensus,pi_oscillator,2.733229
virtual_flash,eapf_consensus,camera,3.103085
virtual_flash,eapf_consensus,camera,3.65534
pi_flash,eapf_consensus,pi_oscillator,3.753312
virtual_flash,eapf_consensus,camera,4.227
pi_flash,eapf_consensus,pi_oscillator,4.269384
virtual_flash,eapf_consensus,camera,4.638972
pi_flash,eapf_consensus,pi_oscillator,4.797421
virtual_flash,eapf_consensus,camera,5.166512
pi_flash,eapf_consensus,pi_oscillator,5.31296
virtual_flash,eapf_consensus,camera,5.709455
pi_flash,eapf_consensus,pi_oscillator,5.790874
virtual_flash,eapf_consensus,camera,6.27423
pi_flash,eapf_consensus,pi_oscillator,6.308918
virtual_flash,eapf_consensus,camera,6.704237
pi_flash,eapf_consensus,pi_oscillator,6.822555
virtual_flash,eapf_consensus,camera,7.275345
pi_flash,eapf_consensus,pi_oscillator,7.335303
virtual_flash,eapf_consensus,camera,7.769798
pi_flash,eapf_consensus,pi_oscillator,7.851482
virtual_flash,eapf_consensus,camera,8.324833
pi_flash,eapf_consensus,pi_oscillator,8.365102
virtual_flash,eapf_consensus,camera,8.860042
pi_flash,eapf_consensus,pi_oscillator,8.882835
virtual_flash,eapf_consensus,camera,9.414495
pi_flash,eapf_consensus,pi_oscillator,9.414495
virtual_flash,eapf_consensus,camera,9.842811
pi_flash,eapf_consensus,pi_oscillator,9.961056
virtual_flash,eapf_consensus,camera,10.376448
pi_flash,eapf_consensus,pi_oscillator,10.477531
virtual_flash,eapf_consensus,camera,10.916149
pi_flash,eapf_consensus,pi_oscillator,10.997307
virtual_flash,eapf_consensus,camera,11.470229
pi_flash,eapf_consensus,pi_oscillator,11.510215
virtual_flash,eapf_consensus,camera,12.012564
pi_flash,eapf_consensus,pi_oscillator,12.035486
virtual_flash,eapf_consensus,camera,12.546424
pi_flash,eapf_consensus,pi_oscillator,12.586551
virtual_flash,eapf_consensus,camera,13.104643
pi_flash,eapf_consensus,pi_oscillator,13.104643
virtual_flash,eapf_consensus,camera,13.643253
pi_flash,eapf_consensus,pi_oscillator,13.643253
virtual_flash,eapf_consensus,camera,14.067754
pi_flash,eapf_consensus,pi_oscillator,14.185805
virtual_flash,eapf_consensus,camera,14.584003
pi_flash,eapf_consensus,pi_oscillator,14.703748
virtual_flash,eapf_consensus,camera,15.141734
pi_flash,eapf_consensus,pi_oscillator,15.220929
virtual_flash,eapf_consensus,camera,15.674701
pi_flash,eapf_consensus,pi_oscillator,15.736597
virtual_flash,eapf_consensus,camera,16.22876
pi_flash,eapf_consensus,pi_oscillator,16.264332
virtual_flash,eapf_consensus,camera,16.767308
pi_flash,eapf_consensus,pi_oscillator,16.767308
virtual_flash,eapf_consensus,camera,17.297483
pi_flash,eapf_consensus,pi_oscillator,17.297483
pi_flash,eapf_consensus,pi_oscillator,17.834679
virtual_flash,eapf_consensus,camera,18.296811
pi_flash,eapf_consensus,pi_oscillator,18.373315
virtual_flash,eapf_consensus,camera,18.829323
pi_flash,eapf_consensus,pi_oscillator,18.888986
virtual_flash,eapf_consensus,camera,19.383234
pi_flash,eapf_consensus,pi_oscillator,19.405086
virtual_flash,eapf_consensus,camera,19.922476
pi_flash,eapf_consensus,pi_oscillator,19.962412
virtual_flash,eapf_consensus,camera,20.482095
pi_flash,eapf_consensus,pi_oscillator,20.482095
virtual_flash,eapf_consensus,camera,21.026701
pi_flash,eapf_consensus,pi_oscillator,21.026701
virtual_flash,eapf_consensus,camera,21.453358
pi_flash,eapf_consensus,pi_oscillator,21.571144
virtual_flash,eapf_consensus,camera,21.986672
pi_flash,eapf_consensus,pi_oscillator,22.087217
virtual_flash,eapf_consensus,camera,22.544843
pi_flash,eapf_consensus,pi_oscillator,22.605822
virtual_flash,eapf_consensus,camera,23.081306
pi_flash,eapf_consensus,pi_oscillator,23.121269
virtual_flash,eapf_consensus,camera,23.614851
pi_flash,eapf_consensus,pi_oscillator,23.677948
virtual_flash,eapf_consensus,camera,24.15668
virtual_flash,eapf_consensus,camera,24.72677
pi_flash,eapf_consensus,pi_oscillator,24.72677
virtual_flash,eapf_consensus,camera,25.229884
pi_flash,eapf_consensus,pi_oscillator,25.26428
virtual_flash,eapf_consensus,camera,25.689583
virtual_flash,eapf_consensus,camera,26.217846
pi_flash,eapf_consensus,pi_oscillator,26.321413
virtual_flash,eapf_consensus,camera,26.760818
pi_flash,eapf_consensus,pi_oscillator,26.803661
virtual_flash,eapf_consensus,camera,27.315989
pi_flash,eapf_consensus,pi_oscillator,27.355833
virtual_flash,eapf_consensus,camera,27.841229
pi_flash,eapf_consensus,pi_oscillator,27.875617
pi_flash,eapf_consensus,pi_oscillator,28.377455
virtual_flash,eapf_consensus,camera,28.487595
pi_flash,eapf_consensus,pi_oscillator,28.915007
virtual_flash,eapf_consensus,camera,29.021259
pi_flash,eapf_consensus,pi_oscillator,29.457257
virtual_flash,eapf_consensus,camera,29.563911
