coupling_term,follower_flash_event,freq_error_hz,frequency_error_hz,frequency_hz,loop_dt_ms,model,phase_error_rad,phase_rad,t_s,virtual_frequency_hz
,0,0.0,0.5,1.5,0.001,eapf_consensus,0.0,0.933376,0.089078,2.0
,0,0.0,0.5,1.5,346.352,eapf_consensus,0.0,4.197663,0.435429,2.0
,0,0.0,0.5,1.5,35.527,eapf_consensus,0.0,4.532495,0.470956,2.0
,0,0.0,0.5,1.5,56.645,eapf_consensus,0.0,5.066361,0.527601,2.0
,0,0.0,0.5,1.5,50.426,eapf_consensus,0.0,5.541614,0.578027,2.0
,0,0.0,0.5,1.5,50.021,eapf_consensus,0.0,6.013055,0.628048,2.0
,1,0.0,0.5,1.5,50.462,eapf_consensus,0.0,0.205464,0.67851,2.0
,0,0.0,0.5,1.5,124.964,eapf_consensus,0.0,1.383222,0.803474,2.0
,0,0.0,0.5,1.5,32.55,eapf_consensus,0.0,1.689999,0.836024,2.0
,0,0.0,0.5,1.5,42.244,eapf_consensus,-1.689999,2.081378,0.878268,2.0
,0,0.0,0.5,1.5,44.06,eapf_consensus,-1.683239,2.484496,0.922329,2.0
,0,0.0,0.5,1.5,40.062,eapf_consensus,-1.671098,2.845672,0.96239,2.0
,0,0.0,0.5,1.5,44.579,eapf_consensus,-1.654701,3.246078,1.006969,2.0
,0,0.0,0.5,1.5,47.955,eapf_consensus,-1.634964,3.675711,1.054924,2.0
,0,0.0,0.5,1.5,50.585,eapf_consensus,-1.612635,4.128145,1.105508,2.0
,0,0.0,0.5,1.5,62.97,eapf_consensus,-1.588321,4.695818,1.168478,2.0
,0,0.0,0.5,1.5,37.61,eapf_consensus,-1.562517,5.023389,1.206088,2.0
,0,0.0,0.5,1.5,26.967,eapf_consensus,-1.535623,5.249889,1.233055,2.0
,0,0.0,0.5,1.5,24.631,eapf_consensus,-1.507966,5.45387,1.257685,2.0
,0,0.0,0.5,1.5,22.678,eapf_consensus,-1.479808,5.639164,1.280364,2.0
,0,0.0,0.5,1.5,22.722,eapf_consensus,-1.451363,5.824754,1.303086,2.0
,0,0.0,0.5,1.5,39.796,eapf_consensus,-1.422801,6.17128,1.342882,2.0
,1,0.481308,0.49807500000000005,1.501925,40.104,eapf_consensus,0.233184,0.244162,1.382985,2.0
,0,0.479382,0.4946170000000001,1.505383,107.592,eapf_consensus,0.579155,1.244286,1.490577,2.0
,0,0.475925,0.4899469999999999,1.510053,25.397,eapf_consensus,0.670305,1.475029,1.515974,2.0
,0,0.471255,0.48432600000000003,1.515674,39.87,eapf_consensus,0.797841,1.848922,1.555845,2.0
,0,0.465634,0.47796700000000003,1.522033,41.324,eapf_consensus,0.923136,2.242641,1.597169,2.0
,0,0.459275,0.47104199999999996,1.528958,42.905,eapf_consensus,1.046769,2.65728,1.640074,2.0
,0,0.45235,0.4636929999999999,1.536307,49.756,eapf_consensus,1.183856,3.143467,1.68983,2.0
,0,0.445001,0.45603400000000005,1.543966,50.229,eapf_consensus,1.316097,3.640142,1.740058,2.0
,0,0.437342,0.44815800000000006,1.551842,25.733,eapf_consensus,1.374986,3.904738,1.765791,2.0
,0,0.429465,0.4401379999999999,1.559862,24.574,eapf_consensus,1.426337,4.162016,1.790365,2.0
,0,0.577921,0.431411,1.568589,23.452,eapf_consensus,2.206329,4.414833,1.813817,2.0
,0,0.569194,0.422153,1.577847,21.173,eapf_consensus,2.259089,4.650918,1.83499,2.0
