attempt,elapsed_ms,endpoint,ok,status,t_monotonic
1,20.98,POST /api/mode,1,ok,849.724212
1,5.515,POST /api/pause,1,ok,849.745201
1,5.0,POST /api/reset,1,ok,849.750723
1,4.917,POST /api/agents/0,1,ok,849.755731
1,6.352,POST /api/feedback,1,ok,849.760656
1,12.847,POST /api/start,1,ok,849.767014
1,7.418,GET /api/agents,1,ok,849.779867
1,9.023,GET /api/agents,1,ok,850.141919
1,13.698,POST /api/pi_flash,1,ok,850.252407
1,15.382,POST /api/pi_flash,1,ok,850.459494
1,9.134,POST /api/pi_flash,1,ok,850.866155
1,5.555,GET /api/agents,1,ok,850.905854
1,16.129,POST /api/pi_flash,1,ok,851.224592
1,10.271,POST /api/pi_flash,1,ok,851.571106
1,8.714,GET /api/agents,1,ok,851.902684
1,15.607,POST /api/pi_flash,1,ok,852.024822
1,12.049,POST /api/pi_flash,1,ok,852.474162
1,11.485,GET /api/agents,1,ok,852.922037
1,6.309,POST /api/pi_flash,1,ok,852.993791
1,8.823,POST /api/pi_flash,1,ok,853.465232
1,14.78,GET /api/agents,1,ok,853.933258
1,8.312,POST /api/pi_flash,1,ok,854.00828
1,9.458,POST /api/pi_flash,1,ok,854.518254
1,12.196,GET /api/agents,1,ok,854.955634
1,6.065,POST /api/pi_flash,1,ok,855.028052
1,9.041,POST /api/pi_flash,1,ok,855.526259
1,8.248,GET /api/agents,1,ok,855.966341
1,20.614,POST /api/pi_flash,1,ok,856.034808
1,15.276,POST /api/pi_flash,1,ok,856.50883
1,15.925,POST /api/pi_flash,1,ok,857.01315
1,7.409,GET /api/agents,1,ok,857.048487
1,16.049,POST /api/pi_flash,1,ok,857.531118
1,9.879,POST /api/pi_flash,1,ok,858.024352
1,6.091,GET /api/agents,1,ok,858.063398
1,13.063,POST /api/pi_flash,1,ok,858.503553
1,8.52,POST /api/pi_flash,1,ok,859.034719
1,9.109,GET /api/agents,1,ok,859.075022
1,9.613,POST /api/pi_flash,1,ok,859.538868
1,12.22,POST /api/pi_flash,1,ok,860.11557
1,8.818,GET /api/agents,1,ok,860.155741
1,9.131,POST /api/pi_flash,1,ok,860.611178
1,9.588,POST /api/pi_flash,1,ok,861.124897
1,39.285,GET /api/agents,1,ok,861.159631
1,9.106,POST /api/pi_flash,1,ok,861.606788
1,8.481,POST /api/pi_flash,1,ok,862.117035
1,5.918,GET /api/agents,1,ok,862.196646
1,13.204,POST /api/pi_flash,1,ok,862.591214
1,13.949,POST /api/pi_flash,1,ok,863.094785
1,17.957,GET /api/agents,1,ok,863.201824
1,10.018,POST /api/pi_flash,1,ok,863.552824
1,7.766,POST /api/pi_flash,1,ok,864.053357
1,9.046,GET /api/agents,1,ok,864.210568
1,13.391,POST /api/pi_flash,1,ok,864.533044
1,10.233,POST /api/pi_flash,1,ok,865.007279
1,10.318,GET /api/agents,1,ok,865.261558
1,7.783,POST /api/pi_flash,1,ok,865.501176
1,8.292,POST /api/pi_flash,1,ok,865.989929
1,8.521,GET /api/agents,1,ok,866.294967
1,9.307,POST /api/pi_flash,1,ok,866.459244
1,8.42,POST /api/pi_flash,1,ok,866.970397
1,9.884,GET /api/agents,1,ok,867.341361
1,11.75,POST /api/pi_flash,1,ok,867.453009
1,9.328,POST /api/pi_flash,1,ok,867.88989
1,8.358,GET /api/agents,1,ok,868.345478
1,4.171,POST /api/pi_flash,1,ok,868.414068
1,9.016,POST /api/pi_flash,1,ok,868.865972
1,11.537,POST /api/pi_flash,1,ok,869.37875
1,11.14,GET /api/agents,1,ok,869.428295
1,9.594,POST /api/pi_flash,1,ok,869.819661
1,8.895,POST /api/pi_flash,1,ok,869.942144
1,10.372,POST /api/pi_flash,1,ok,870.323935
1,8.98,GET /api/agents,1,ok,870.445933
1,11.812,POST /api/pi_flash,1,ok,870.810481
1,16.738,POST /api/pi_flash,1,ok,871.296048
1,11.311,GET /api/agents,1,ok,871.48179
1,8.909,POST /api/pi_flash,1,ok,871.774036
1,15.154,POST /api/pi_flash,1,ok,872.262046
1,7.431,GET /api/agents,1,ok,872.505312
1,9.052,POST /api/pi_flash,1,ok,872.762069
1,11.88,POST /api/pi_flash,1,ok,873.234052
1,8.793,GET /api/agents,1,ok,873.512595
1,11.137,POST /api/pi_flash,1,ok,873.741229
1,10.576,POST /api/pi_flash,1,ok,874.253665
1,17.621,GET /api/agents,1,ok,874.514967
1,13.983,POST /api/pi_flash,1,ok,874.760025
1,12.462,POST /api/pi_flash,1,ok,875.250209
1,10.271,GET /api/agents,1,ok,875.518765
1,10.692,POST /api/pi_flash,1,ok,875.718564
1,12.218,POST /api/pi_flash,1,ok,876.244302
1,7.613,GET /api/agents,1,ok,876.536766
1,24.669,POST /api/pi_flash,1,ok,876.723072
1,9.818,POST /api/pi_flash,1,ok,877.209967
1,9.657,GET /api/agents,1,ok,877.524176
1,15.616,POST /api/pi_flash,1,ok,877.648201
1,8.237,POST /api/pi_flash,1,ok,878.173586
1,16.288,GET /api/agents,1,ok,878.542756
1,7.562,POST /api/pi_flash,1,ok,878.641744
1,15.717,POST /api/pi_flash,1,ok,879.1328
1,8.36,POST /api/pi_flash,1,ok,879.576471
1,19.069,GET /api/agents,1,ok,879.638558
1,9.824,GET /api/agents,1,ok,879.729659
1,8.248,POST /api/pause,1,ok,879.739496
