brightness,camera_processing_time_ms,signal_norm,state,t_s,virtual_event
128.0,333.339,0.0,0,0.09295,0
106.0,19.728,0.0,0,0.442309,0
148.0,30.718,0.0,0,0.462086,0
170.0,45.231,0.0,0,0.492838,0
170.0,29.57,0.0,0,0.538105,0
161.0,55.417,0.0,0,0.642814,0
161.0,50.446,0.0,0,0.698266,0
161.0,49.555,0.0,0,0.748747,0
139.0,50.422,0.0,0,0.798337,0
134.0,50.44,0.1855,0,0.848795,0
133.0,50.014,0.119,0,0.899269,0
138.0,25.898,0.234,0,0.949317,0
142.0,24.283,0.3316,0,0.97525,0
142.0,21.785,0.3307,0,0.999568,0
142.0,22.546,0.3297,0,1.021387,0
145.0,37.493,0.4143,0,1.043969,0
145.0,38.568,0.4167,0,1.081497,0
151.0,35.691,0.6056,0,1.1201,0
167.0,20.564,0.9831,1,1.16978,1
170.0,32.208,1.0,1,1.190391,0
157.0,32.825,0.6486,1,1.222637,0
145.0,36.786,0.3251,0,1.255497,0
144.0,39.496,0.2983,0,1.292319,0
144.0,40.009,0.2989,0,1.331852,0
146.0,38.142,0.3559,0,1.371927,0
146.0,19.127,0.3571,0,1.410104,0
145.0,34.393,0.3295,0,1.429263,0
171.0,47.527,1.0,1,1.463689,0
171.0,31.326,1.0,1,1.511251,0
171.0,33.961,1.0,1,1.542611,0
171.0,37.62,1.0,1,1.576608,0
171.0,40.914,1.0,1,1.614261,0
172.0,43.387,1.0,1,1.65521,0
168.0,46.905,0.9162,1,1.69863,0
150.0,48.812,0.4068,1,1.74557,0
134.0,21.847,0.0,0,1.873907,0
137.0,48.878,0.0811,0,1.895789,0
144.0,23.945,0.2703,0,1.944701,0
143.0,22.404,0.2432,0,1.96868,0
145.0,20.387,0.2973,0,1.991118,0
167.0,20.736,0.8919,1,2.01154,1
170.0,36.796,0.9728,1,2.03236,0
170.0,36.626,0.9725,1,2.069189,0
171.0,39.306,1.0,1,2.10585,0
171.0,41.84,1.0,1,2.145191,0
168.0,19.724,0.9155,1,2.211696,0
139.0,48.75,0.0909,0,2.231455,0
135.0,49.794,0.0083,0,2.280241,0
133.0,49.993,0.0,0,2.33007,0
143.0,25.049,0.2432,0,2.380098,0
143.0,22.677,0.2432,0,2.405181,0
143.0,21.054,0.2412,0,2.427925,0
166.0,21.259,0.8641,1,2.449015,1
170.0,36.69,0.9728,1,2.470357,0
172.0,46.488,1.0,1,2.58106,0
172.0,44.71,1.0,1,2.627583,0
167.0,48.727,0.8901,1,2.672328,0
163.0,50.092,0.7796,1,2.72109,0
135.0,51.029,0.0055,0,2.771216,0
133.0,50.584,0.0,0,2.822281,0
133.0,49.067,0.0,0,2.872899,0
141.0,26.134,0.1892,0,2.922001,0
143.0,23.678,0.2432,0,2.948169,0
145.0,22.511,0.2973,0,2.971914,0
169.0,21.305,0.9459,1,2.99446,1
171.0,37.647,1.0,1,3.015846,0
171.0,38.431,1.0,1,3.053527,0
172.0,41.356,1.0,1,3.091993,0
164.0,66.387,0.8108,1,3.209716,0
161.0,53.75,0.7297,1,3.32235,0
147.0,50.375,0.3514,1,3.376135,0
133.0,50.648,0.0,0,3.426544,0
133.0,50.176,0.0,0,3.477227,0
135.0,49.341,0.0451,0,3.527439,0
142.0,25.576,0.2287,0,3.576814,0
144.0,23.955,0.28,0,3.602425,0
147.0,21.492,0.3583,0,3.626415,0
171.0,22.387,1.0,1,3.722983,1
173.0,40.942,1.0,1,3.745448,0
173.0,44.402,1.0,1,3.786425,0
146.0,49.21,0.3243,0,3.830862,0
136.0,50.496,0.0541,0,3.880108,0
134.0,49.959,0.0,0,3.930638,0
141.0,49.195,0.1892,0,3.980632,0
146.0,24.238,0.3243,0,4.029861,0
144.0,22.413,0.2703,0,4.054133,0
144.0,20.846,0.2703,0,4.07658,0
145.0,20.679,0.2973,0,4.097459,0
148.0,36.029,0.3784,0,4.118172,0
149.0,37.134,0.4054,0,4.154233,0
173.0,33.567,1.0,1,4.191402,1
175.0,32.776,1.0,1,4.225048,0
172.0,20.813,1.0,1,4.30423,0
174.0,39.915,1.0,1,4.32508,0
174.0,42.884,1.0,1,4.365029,0
169.0,24.113,0.9211,1,4.47921,0
137.0,50.593,0.0789,0,4.503358,0
134.0,49.771,0.0,0,4.553986,0
133.0,50.478,0.0,0,4.603793,0
141.0,25.635,0.1842,0,4.654305,0
143.0,24.058,0.2368,0,4.679976,0
145.0,22.434,0.2902,0,4.704069,0
170.0,22.912,0.9524,1,4.726538,1
172.0,37.637,1.0,1,4.749529,0
172.0,40.001,1.0,1,4.787201,0
173.0,41.286,1.0,1,4.827236,0
173.0,48.542,1.0,1,4.868555,0
169.0,49.129,0.9211,1,4.917136,0
164.0,49.958,0.7895,1,4.966303,0
162.0,50.407,0.7368,1,5.016311,0
161.0,49.772,0.7105,1,5.066756,0
161.0,50.299,0.7105,1,5.116565,0
134.0,51.055,0.0,0,5.166902,0
133.0,49.078,0.0,0,5.217995,0
133.0,50.327,0.0,0,5.267111,0
146.0,39.45,0.3158,0,5.45336,0
159.0,34.924,0.6579,1,5.492852,1
169.0,35.27,0.9211,1,5.527903,0
171.0,32.829,0.9737,1,5.563213,0
172.0,32.01,1.0,1,5.596076,0
173.0,39.224,1.0,1,5.628121,0
173.0,43.193,1.0,1,5.66738,0
172.0,44.507,1.0,1,5.710607,0
168.0,49.524,0.8947,1,5.755148,0
138.0,51.242,0.1053,0,5.804706,0
134.0,49.971,0.0,0,5.855983,0
133.0,50.323,0.0,0,5.905989,0
140.0,25.633,0.1579,0,5.956346,0
143.0,24.801,0.2368,0,5.982015,0
143.0,22.039,0.2368,0,6.006862,0
157.0,21.988,0.6053,0,6.028934,0
171.0,39.168,0.9737,1,6.050956,1
171.0,38.371,0.9737,1,6.090204,0
154.0,53.143,0.5263,1,6.206141,0
138.0,50.619,0.1053,0,6.259318,0
134.0,49.624,0.0,0,6.309972,0
138.0,29.946,0.1053,0,6.380405,0
145.0,23.546,0.2895,0,6.410385,0
143.0,23.183,0.2368,0,6.433965,0
151.0,20.417,0.4474,0,6.457182,0
169.0,21.19,0.9211,1,6.477632,1
171.0,36.453,0.9737,1,6.498902,0
170.0,37.117,0.9474,1,6.535389,0
172.0,40.357,1.0,1,6.57254,0
172.0,42.686,1.0,1,6.612931,0
172.0,45.607,1.0,1,6.655652,0
163.0,30.378,0.7632,1,6.770748,0
161.0,49.929,0.7105,1,6.801162,0
161.0,49.887,0.7105,1,6.851126,0
134.0,50.955,0.0,0,6.901054,0
133.0,49.507,0.0,0,6.952044,0
133.0,50.061,0.0,0,7.001585,0
140.0,25.928,0.1579,0,7.051681,0
142.0,24.272,0.2105,0,7.077644,0
144.0,22.123,0.2632,0,7.101951,0
168.0,22.071,0.8947,1,7.124109,1
172.0,38.853,1.0,1,7.14626,0
171.0,39.5,0.9737,1,7.185146,0
172.0,40.185,1.0,1,7.224681,0
173.0,44.469,1.0,1,7.264901,0
169.0,49.192,0.9211,1,7.309405,0
164.0,49.894,0.7895,1,7.358631,0
145.0,24.662,0.2895,0,7.434379,0
134.0,50.155,0.0,0,7.459076,0
134.0,50.362,0.0,0,7.509266,0
137.0,49.681,0.0789,0,7.559664,0
144.0,25.125,0.2632,0,7.609381,0
148.0,32.936,0.3684,0,7.70564,0
147.0,38.081,0.3421,0,7.738612,0
173.0,34.624,1.0,1,7.776729,1
173.0,49.274,1.0,1,7.811441,0
173.0,37.854,1.0,1,7.860749,0
173.0,37.205,1.0,1,7.898638,0
174.0,39.516,1.0,1,7.935906,0
174.0,43.404,1.0,1,7.975456,0
173.0,45.974,1.0,1,8.018893,0
168.0,50.493,0.8718,1,8.064902,0
164.0,48.92,0.7692,1,8.115428,0
146.0,51.153,0.3077,0,8.164382,0
134.0,50.546,0.0,0,8.215571,0
133.0,49.795,0.0,0,8.266153,0
139.0,49.323,0.1282,0,8.315983,0
145.0,25.02,0.2821,0,8.36534,0
173.0,20.594,1.0,1,8.472137,1
171.0,37.447,0.9487,1,8.492812,0
147.0,40.461,0.3333,0,8.530293,0
146.0,43.935,0.3077,0,8.570789,0
144.0,45.626,0.2564,0,8.614758,0
147.0,22.334,0.3333,0,8.660418,0
143.0,20.958,0.2308,0,8.682786,0
145.0,19.724,0.2821,0,8.703778,0
144.0,20.069,0.2564,0,8.723536,0
147.0,34.611,0.3333,0,8.743638,0
147.0,34.818,0.3333,0,8.778283,0
150.0,32.189,0.4103,0,8.813135,0
154.0,31.679,0.5128,0,8.845358,0
173.0,29.835,1.0,1,8.877071,1
171.0,30.094,0.9487,1,8.906987,0
172.0,29.946,0.9744,1,8.937115,0
173.0,35.157,1.0,1,8.967095,0
173.0,38.841,1.0,1,9.002287,0
174.0,42.331,1.0,1,9.04117,0
173.0,44.547,1.0,1,9.083536,0
139.0,29.736,0.1282,0,9.198403,0
135.0,50.105,0.0256,0,9.228174,0
133.0,50.297,0.0,0,9.278313,0
140.0,25.877,0.1538,0,9.328645,0
144.0,24.8,0.2564,0,9.354556,0
146.0,22.17,0.3077,0,9.379391,0
173.0,50.947,1.0,1,9.411052,1
172.0,39.672,0.9744,1,9.462081,0
173.0,41.777,1.0,1,9.501788,0
173.0,44.858,1.0,1,9.543601,0
169.0,48.835,0.8974,1,9.588495,0
165.0,49.669,0.7949,1,9.637365,0
163.0,50.596,0.7436,1,9.687069,0
162.0,49.865,0.7179,1,9.7377,0
162.0,50.099,0.7179,1,9.787599,0
162.0,50.13,0.7179,1,9.837734,0
162.0,49.942,0.7179,1,9.887931,0
134.0,50.999,0.0,0,9.937906,0
134.0,49.879,0.0,0,9.98894,0
143.0,28.774,0.2308,0,10.110421,0
146.0,21.756,0.3077,0,10.139229,0
170.0,22.306,0.9231,1,10.161019,1
172.0,38.578,0.9744,1,10.183408,0
171.0,38.881,0.9487,1,10.222022,0
173.0,41.188,1.0,1,10.260937,0
173.0,44.177,1.0,1,10.30216,0
168.0,49.574,0.8718,1,10.346372,0
164.0,49.681,0.7692,1,10.395982,0
162.0,41.089,0.7179,1,10.455087,0
161.0,49.528,0.6923,1,10.496211,0
161.0,52.637,0.6923,1,10.545788,0
161.0,51.631,0.6923,1,10.598464,0
