attempt,elapsed_ms,endpoint,ok,status,t_monotonic
1,8.572,POST /api/mode,1,ok,1125.568421
1,8.577,POST /api/pause,1,ok,1125.577003
1,10.266,POST /api/reset,1,ok,1125.585588
1,6.229,POST /api/agents/0,1,ok,1125.595863
1,8.494,POST /api/feedback,1,ok,1125.602101
1,11.631,POST /api/start,1,ok,1125.610602
1,6.095,GET /api/agents,1,ok,1125.62224
1,9.47,GET /api/agents,1,ok,1125.978991
1,10.563,POST /api/pi_flash,1,ok,1126.076764
1,8.435,GET /api/agents,1,ok,1126.710454
1,16.485,POST /api/pi_flash,1,ok,1127.250819
1,11.013,GET /api/agents,1,ok,1127.727797
1,8.86,POST /api/pi_flash,1,ok,1127.83786
1,11.254,POST /api/pi_flash,1,ok,1128.729172
1,9.517,GET /api/agents,1,ok,1128.769908
1,9.099,POST /api/pi_flash,1,ok,1129.635475
1,11.333,GET /api/agents,1,ok,1129.768315
1,10.645,POST /api/pi_flash,1,ok,1130.491337
1,10.413,GET /api/agents,1,ok,1130.837441
1,8.652,POST /api/pi_flash,1,ok,1131.421123
1,9.334,GET /api/agents,1,ok,1131.830145
1,9.404,POST /api/pi_flash,1,ok,1132.551934
1,12.373,GET /api/agents,1,ok,1132.859792
1,12.665,POST /api/pi_flash,1,ok,1133.209371
1,9.597,POST /api/pi_flash,1,ok,1133.839064
1,9.21,GET /api/agents,1,ok,1133.911878
1,10.211,POST /api/pi_flash,1,ok,1134.401008
1,9.723,GET /api/agents,1,ok,1134.912989
1,10.239,POST /api/pi_flash,1,ok,1135.011901
1,10.483,POST /api/pi_flash,1,ok,1135.618173
1,8.82,GET /api/agents,1,ok,1135.963024
1,12.828,POST /api/pi_flash,1,ok,1136.153037
1,9.901,POST /api/pi_flash,1,ok,1136.7416
1,14.193,GET /api/agents,1,ok,1136.966185
1,8.446,POST /api/pi_flash,1,ok,1137.294427
1,14.457,POST /api/pi_flash,1,ok,1137.850809
1,9.209,GET /api/agents,1,ok,1137.986516
1,9.833,POST /api/pi_flash,1,ok,1138.368242
1,10.966,POST /api/pi_flash,1,ok,1138.921374
1,10.145,GET /api/agents,1,ok,1139.04475
1,13.338,POST /api/pi_flash,1,ok,1139.4667
1,10.62,POST /api/pi_flash,1,ok,1140.012691
1,35.572,GET /api/agents,1,ok,1140.042455
1,10.081,POST /api/pi_flash,1,ok,1140.529702
1,12.61,POST /api/pi_flash,1,ok,1141.088689
1,10.591,GET /api/agents,1,ok,1141.16981
1,9.153,POST /api/pi_flash,1,ok,1141.604953
1,15.805,POST /api/pi_flash,1,ok,1142.162032
1,6.58,GET /api/agents,1,ok,1142.235179
1,10.285,POST /api/pi_flash,1,ok,1142.707579
1,8.301,POST /api/pi_flash,1,ok,1143.247486
1,11.196,GET /api/agents,1,ok,1143.319288
1,11.585,POST /api/pi_flash,1,ok,1143.759637
1,12.372,POST /api/pi_flash,1,ok,1144.30626
1,8.254,GET /api/agents,1,ok,1144.363431
1,10.716,POST /api/pi_flash,1,ok,1144.863315
1,13.173,GET /api/agents,1,ok,1145.374607
1,11.998,POST /api/pi_flash,1,ok,1145.939235
1,17.311,GET /api/agents,1,ok,1146.386957
1,10.805,POST /api/pi_flash,1,ok,1146.514158
1,20.344,POST /api/pi_flash,1,ok,1147.053725
1,12.208,GET /api/agents,1,ok,1147.395846
1,13.019,POST /api/pi_flash,1,ok,1147.597083
1,10.083,POST /api/pi_flash,1,ok,1148.108747
1,10.512,GET /api/agents,1,ok,1148.407075
1,12.156,POST /api/pi_flash,1,ok,1148.665395
1,12.098,POST /api/pi_flash,1,ok,1149.186818
1,12.512,GET /api/agents,1,ok,1149.451505
1,8.373,POST /api/pi_flash,1,ok,1149.743395
1,12.51,POST /api/pi_flash,1,ok,1150.276696
1,8.692,GET /api/agents,1,ok,1150.521278
1,9.731,POST /api/pi_flash,1,ok,1150.835877
1,10.977,POST /api/pi_flash,1,ok,1151.36721
1,11.492,GET /api/agents,1,ok,1151.519662
1,9.256,POST /api/pi_flash,1,ok,1151.926881
1,11.003,POST /api/pi_flash,1,ok,1152.452397
1,10.089,GET /api/agents,1,ok,1152.5544
1,8.79,POST /api/pi_flash,1,ok,1153.024515
1,10.017,POST /api/pi_flash,1,ok,1153.581174
1,10.732,GET /api/agents,1,ok,1153.621363
1,15.532,POST /api/pi_flash,1,ok,1154.578012
1,7.009,GET /api/agents,1,ok,1154.61519
1,16.581,POST /api/pi_flash,1,ok,1155.147875
1,19.126,GET /api/agents,1,ok,1155.59628
1,6.369,POST /api/pause,1,ok,1155.61542
