coupling_term,follower_flash_event,freq_error_hz,frequency_error_hz,frequency_hz,loop_dt_ms,model,phase_error_rad,phase_rad,t_s,virtual_frequency_hz
0.83446,0,0.0,0.3099549400474335,1.864042,0.001,kuramoto,0.987152,5.296045,0.082657,2.1739969400474335
0.834453,1,0.0,0.30995994004743355,1.864037,337.454,kuramoto,0.98714,0.184069,0.420111,2.1739969400474335
-0.183031,0,0.0,1.1196489400474334,1.054348,98.833,kuramoto,-0.184069,0.838802,0.518943,2.1739969400474335
-0.743843,0,0.0,1.5659279400474335,0.608069,19.089,kuramoto,-0.838802,0.911734,0.538033,2.1739969400474335
-0.790567,0,0.0,1.6031099400474336,0.570887,31.236,kuramoto,-0.911734,1.023779,0.569269,2.1739969400474335
-0.854079,0,0.0,1.6536519400474337,0.520345,29.2,kuramoto,-1.023779,1.119244,0.598469,2.1739969400474335
-0.899771,0,0.0,1.6900119400474334,0.483985,29.555,kuramoto,-1.119244,1.209121,0.628024,2.1739969400474335
-0.935305,0,0.0,1.7182889400474335,0.455708,30.632,kuramoto,-1.209121,1.296829,0.658656,2.1739969400474335
-0.962705,0,0.0,1.7400929400474334,0.433904,31.411,kuramoto,-1.296829,1.382464,0.690066,2.1739969400474335
-0.982318,0,0.0,1.7557009400474335,0.418296,37.474,kuramoto,-1.382464,1.480954,0.72754,2.1739969400474335
-0.995967,0,0.0,1.7665619400474335,0.407435,41.092,kuramoto,-1.480954,1.586149,0.768632,2.1739969400474335
-0.999882,0,0.0,1.7696779400474334,0.404319,42.147,kuramoto,-1.586149,1.693219,0.810779,2.1739969400474335
-0.992516,0,0.0,1.7638159400474334,0.410181,38.558,kuramoto,-1.693219,1.792592,0.849337,2.1739969400474335
-0.975504,0,0.0,1.7502779400474335,0.423719,19.056,kuramoto,-1.792592,1.843325,0.868393,2.1739969400474335
-0.963093,0,0.0,1.7404019400474335,0.433595,19.275,kuramoto,-1.843325,1.895838,0.887668,2.1739969400474335
-0.947637,0,0.0,1.7281029400474335,0.445894,34.722,kuramoto,-1.895838,1.993117,0.92239,2.1739969400474335
-0.91214,0,0.0,1.6998549400474334,0.474142,31.606,kuramoto,-1.993117,2.087275,0.953996,2.1739969400474335
-0.869564,0,0.0,1.6659739400474334,0.508023,32.864,kuramoto,-2.087275,2.192176,0.98686,2.1739969400474335
-0.813076,0,0.0,1.6210219400474335,0.552975,29.747,kuramoto,-2.192176,2.29553,1.016607,2.1739969400474335
-0.936286,0,0.0,1.7190699400474334,0.454927,29.113,kuramoto,-1.929691,2.378745,1.04572,2.1739969400474335
-0.998285,0,0.0,1.7684069400474334,0.40559,30.521,kuramoto,-1.629374,2.456524,1.07624,2.1739969400474335
-0.971729,0,0.0,1.728144018684755,0.426723,29.818,kuramoto,-1.332447,2.536471,1.106058,2.154867018684755
-0.753511,0,0.0,1.5544920186847548,0.600375,44.485,kuramoto,-0.853386,2.704279,1.150543,2.154867018684755
-0.587848,0,0.0,1.4226610186847548,0.732206,31.258,kuramoto,-0.628396,2.848083,1.181801,2.154867018684755
-0.221047,0,0.0,1.130771018684755,1.024096,43.713,kuramoto,-0.222888,3.129357,1.225514,2.154867018684755
0.006401,0,0.0,0.9497730186847548,1.205094,40.629,kuramoto,0.006401,3.436996,1.266143,2.154867018684755
-0.047886,0,0.0,0.992973018684755,1.161894,20.16,kuramoto,-0.047904,3.584169,1.286302,2.154867018684755
0.049191,0,0.0,0.915722018684755,1.239145,19.44,kuramoto,0.049211,3.735523,1.305742,2.154867018684755
0.34947,0,0.0,0.676767018684755,1.4781,36.538,kuramoto,0.357006,4.074857,1.34228,2.154867018684755
0.404451,0,0.0,0.633015018684755,1.521852,31.728,kuramoto,0.416378,4.378243,1.374008,2.154867018684755
0.504152,0,0.0,0.5536760186847549,1.601191,33.057,kuramoto,0.528399,4.710816,1.407065,2.154867018684755
0.598077,0,0.0,0.478932018684755,1.675935,35.434,kuramoto,0.6411,5.083941,1.442499,2.154867018684755
0.693579,0,0.0,0.402934018684755,1.751933,39.667,kuramoto,0.766446,5.520584,1.482166,2.154867018684755
0.765896,0,0.0,0.34538601868475505,1.809481,43.181,kuramoto,0.872434,6.011525,1.525347,2.154867018684755
0.828132,1,0.0,0.29586001868475487,1.859007,47.291,kuramoto,0.975767,0.28072,1.572638,2.154867018684755
0.904967,0,0.0,0.23471701868475492,1.92015,126.282,kuramoto,2.01029,1.487186,1.69892,2.154867018684755
0.890137,0,0.0,0.24651801868475487,1.908349,23.382,kuramoto,1.097646,1.767544,1.722302,2.154867018684755
0.900397,0,0.0,0.2383530186847549,1.916514,24.143,kuramoto,1.120682,2.058273,1.746445,2.154867018684755
0.90036,0,0.0,0.238384018684755,1.916483,23.129,kuramoto,1.120595,2.336779,1.769573,2.154867018684755
0.892882,0,0.0,0.2443340186847549,1.910533,20.819,kuramoto,1.103705,2.586691,1.790392,2.154867018684755
0.903329,0,0.0,0.2360210186847549,1.918846,21.778,kuramoto,1.127468,2.849261,1.81217,2.154867018684755
0.971579,0,0.0,0.18170901868475497,1.973158,37.156,kuramoto,1.331812,3.309909,1.849326,2.154867018684755
0.167522,0,0.0,0.821557018684755,1.33331,36.765,kuramoto,2.973277,3.617902,1.886091,2.154867018684755
0.219586,0,0.0,0.780126018684755,1.374741,35.276,kuramoto,2.920203,3.92261,1.921367,2.154867018684755
0.284356,0,0.0,0.7285830186847548,1.426284,32.902,kuramoto,2.853258,4.217468,1.95427,2.154867018684755
0.339113,0,0.0,0.685010018684755,1.469857,32.827,kuramoto,2.795619,4.520638,1.987097,2.154867018684755
0.369522,0,0.0,0.660810018684755,1.494057,37.453,kuramoto,2.763098,4.872227,2.02455,2.154867018684755
0.410166,0,0.0,0.628467018684755,1.5264,42.545,kuramoto,2.718957,5.280264,2.067095,2.154867018684755
0.484468,0,0.0,0.34847726313805394,1.585528,44.963,kuramoto,2.635838,5.728194,2.112058,1.934005263138054
0.506945,1,0.0,0.3305912631380541,1.603414,58.404,kuramoto,2.609956,0.033404,2.170462,1.934005263138054
0.333961,0,0.0,0.4682472631380541,1.465758,107.873,kuramoto,2.801089,0.954367,2.278336,1.934005263138054
0.874158,0,0.0,0.038372263138054086,1.895633,27.368,kuramoto,2.077894,1.280331,2.305703,1.934005263138054
-0.958111,0,0.0,1.496445263138054,0.43756,21.226,kuramoto,-1.280331,1.338687,2.326929,1.934005263138054
-0.907913,0,0.0,1.456500263138054,0.477505,20.897,kuramoto,-1.138279,1.401383,2.347826,1.934005263138054
-0.751443,0,0.0,1.3319842631380538,0.602021,36.571,kuramoto,-0.850246,1.539718,2.384397,1.934005263138054
-0.592855,0,0.0,1.205784263138054,0.728221,36.91,kuramoto,-0.634599,1.708603,2.421308,1.934005263138054
-0.4,0,0.0,1.0523152631380541,0.88169,40.871,kuramoto,-0.411517,1.935023,2.462179,1.934005263138054
-0.212054,0,0.0,0.902752263138054,1.031253,44.239,kuramoto,-0.213676,2.221669,2.506417,1.934005263138054
-0.053387,0,0.0,0.776489263138054,1.157516,46.6,kuramoto,-0.053412,2.560587,2.553018,1.934005263138054
0.094585,0,0.0,0.658736263138054,1.275269,50.786,kuramoto,0.094727,2.967527,2.603804,1.934005263138054
0.16581,0,0.0,0.6020572631380541,1.331948,49.925,kuramoto,0.166579,3.38534,2.653729,1.934005263138054
0.222219,0,0.0,0.557169263138054,1.376836,49.563,kuramoto,0.22409,3.814105,2.703292,1.934005263138054
0.033427,0,0.0,0.7074042631380539,1.226601,24.828,kuramoto,0.033434,4.005454,2.72812,1.934005263138054
0.760356,0,0.0,0.12893326313805398,1.805072,23.348,kuramoto,2.277731,4.270257,2.751468,1.934005263138054
0.747254,0,0.0,0.13935926313805402,1.794646,19.978,kuramoto,2.297673,4.495532,2.771446,1.934005263138054
0.690223,0,0.0,0.1847432631380539,1.749262,21.567,kuramoto,2.379795,4.732579,2.793013,1.934005263138054
0.446686,0,0.0,0.378544263138054,1.555461,37.592,kuramoto,2.678535,5.099972,2.830605,1.934005263138054
0.286257,0,0.0,0.5062092631380539,1.427796,37.897,kuramoto,2.851275,5.439946,2.868502,1.934005263138054
0.038851,0,0.0,0.703088263138054,1.230917,41.496,kuramoto,3.102731,5.760877,2.909997,1.934005263138054
-0.260149,0,0.0,0.941025263138054,0.99298,43.708,kuramoto,-2.878416,6.033577,2.953706,1.934005263138054
-0.619236,0,0.0,1.226777263138054,0.707228,47.52,kuramoto,-2.473823,6.244739,3.001226,1.934005263138054
-0.918306,1,0.0,1.464769263138054,0.469236,49.616,kuramoto,-1.977814,0.107837,3.050842,1.934005263138054
-0.386345,0,0.0,0.6648097714319814,0.892557,121.199,kuramoto,-0.396665,0.668647,3.172041,1.5573667714319814
-0.390436,0,0.0,0.6680657714319814,0.889301,39.036,kuramoto,-0.401105,0.886765,3.211077,1.5573667714319814
-0.045632,0,0.0,0.3936797714319815,1.163687,40.243,kuramoto,-0.045648,1.181008,3.25132,1.5573667714319814
0.37623,0,0.0,0.05797277143198154,1.499394,50.91,kuramoto,0.385724,1.660632,3.30223,1.5573667714319814
0.574118,0,0.0,0.09950222856801849,1.656869,49.494,kuramoto,0.611527,2.175884,3.351724,1.5573667714319814
0.44466,0,0.0,0.003517771431981398,1.553849,25.575,kuramoto,0.460794,2.425578,3.377299,1.5573667714319814
-0.656383,0,0.0,0.8796997714319814,0.677667,23.4,kuramoto,-2.425578,2.525212,3.400699,1.5573667714319814
-0.758564,0,0.0,0.9610127714319814,0.596354,21.229,kuramoto,-2.280487,2.604755,3.421928,1.5573667714319814
-0.863642,0,0.0,1.0446317714319813,0.512735,22.631,kuramoto,-2.099142,2.677663,3.444558,1.5573667714319814
-0.986103,0,0.0,1.1420827714319814,0.415284,37.677,kuramoto,-1.737704,2.775975,3.482236,1.5573667714319814
-0.982367,0,0.0,1.1391097714319813,0.418257,39.32,kuramoto,-1.382727,2.879308,3.521556,1.5573667714319814
-0.84458,0,0.0,1.0294627714319815,0.527904,41.662,kuramoto,-1.005781,3.017497,3.563218,1.5573667714319814
-0.582563,0,0.0,0.8209557714319814,0.736411,45.289,kuramoto,-0.621879,3.227049,3.608507,1.5573667714319814
-0.282667,0,0.0,0.5823057714319815,0.975061,47.264,kuramoto,-0.286573,3.516609,3.655771,1.5573667714319814
0.001603,0,0.0,0.3560907714319814,1.201276,50.116,kuramoto,0.001603,3.894874,3.705886,1.5573667714319814
0.190994,0,0.0,0.20537877143198147,1.351988,49.344,kuramoto,0.192174,4.314039,3.75523,1.5573667714319814
0.348478,0,0.0,0.08005677143198153,1.47731,50.567,kuramoto,0.355947,4.783411,3.805797,1.5573667714319814
0.448581,0,0.0,0.0003977714319813863,1.556969,50.191,kuramoto,0.465177,5.274414,3.855988,1.5573667714319814
0.523114,0,0.0,0.058914228568018645,1.616281,49.993,kuramoto,0.550501,5.782118,3.905981,1.5573667714319814
0.58805,1,0.0,0.11058822856801864,1.667955,50.819,kuramoto,0.628646,0.031523,3.956801,1.5573667714319814
0.995162,0,0.0,0.4345582285680185,1.991925,119.39,kuramoto,1.472393,1.283086,4.076191,1.5573667714319814
0.540054,0,0.0,0.07239422856801858,1.629761,30.332,kuramoto,0.570501,1.593692,4.106523,1.5573667714319814
0.530461,0,0.0,0.06476122856801858,1.622128,25.958,kuramoto,0.559145,1.858262,4.132482,1.5573667714319814
-0.958965,0,0.0,1.1204867714319815,0.43688,23.684,kuramoto,-1.858262,1.923275,4.156166,1.5573667714319814
-0.989799,0,0.0,0.7928259571104413,0.412343,21.649,kuramoto,-1.713757,1.979365,4.177815,1.2051689571104414
-0.992195,0,0.0,0.7947329571104413,0.410436,33.485,kuramoto,-1.445778,2.065719,4.2113,1.2051689571104414
-0.95575,0,0.0,0.7657309571104414,0.439438,26.858,kuramoto,-1.272199,2.139877,4.238159,1.2051689571104414
-0.823735,0,0.0,0.6606769571104414,0.544492,39.098,kuramoto,-0.967968,2.273638,4.277257,1.2051689571104414
-0.640714,0,0.0,0.5150329571104414,0.690136,41.982,kuramoto,-0.695428,2.455684,4.31924,1.2051689571104414
-0.426798,0,0.0,0.3448039571104413,0.860365,45.105,kuramoto,-0.44095,2.699516,4.364345,1.2051689571104414
-0.223295,0,0.0,0.1828619571104413,1.022307,47.488,kuramoto,-0.225194,3.004551,4.411833,1.2051689571104414
-0.045644,0,0.0,0.04149095711044137,1.163678,50.07,kuramoto,-0.04566,3.370641,4.461903,1.2051689571104414
0.073354,0,0.0,0.0532040428895586,1.258373,50.132,kuramoto,0.07342,3.767013,4.512035,1.2051689571104414
0.156123,0,0.0,0.11907004288955858,1.324239,49.568,kuramoto,0.156764,4.179442,4.561603,1.2051689571104414
0.227817,0,0.0,0.17612204288955868,1.381291,50.166,kuramoto,0.229835,4.614827,4.611769,1.2051689571104414
0.276372,0,0.0,0.21476104288955855,1.41993,50.173,kuramoto,0.280017,5.062454,4.661942,1.2051689571104414
0.309439,0,0.0,0.24107504288955872,1.446244,49.826,kuramoto,0.314603,5.515226,4.711768,1.2051689571104414
0.341345,0,0.0,0.26646504288955875,1.471634,50.271,kuramoto,0.348348,5.980059,4.762039,1.2051689571104414
0.364246,1,0.0,0.28468904288955854,1.489858,50.559,kuramoto,0.372823,0.170164,4.812599,1.2051689571104414
0.877466,0,0.0,0.6930960428895587,1.898265,121.0,kuramoto,1.070553,1.362879,4.933598,1.2051689571104414
0.159971,0,0.0,0.1221320428895587,1.327301,29.224,kuramoto,0.160661,1.606595,4.962822,1.2051689571104414
0.167662,0,0.0,0.1282520428895586,1.333421,25.988,kuramoto,0.168458,1.824328,4.98881,1.2051689571104414
0.189383,0,0.0,0.14553804288955874,1.350707,24.779,kuramoto,0.190534,2.034623,5.013589,1.2051689571104414
-0.894347,0,0.0,0.7168679571104414,0.488301,27.468,kuramoto,-2.034623,2.118898,5.041058,1.2051689571104414
-0.999876,0,0.0,0.8008449571104413,0.404324,59.507,kuramoto,-1.586554,2.270071,5.100564,1.2051689571104414
-0.991003,0,0.0,0.7937839571104414,0.411385,33.666,kuramoto,-1.436555,2.357091,5.13423,1.2051689571104414
-0.911256,0,0.0,0.7303239571104414,0.474845,42.17,kuramoto,-1.146324,2.482907,5.1764,1.2051689571104414
-0.761791,0,0.0,0.9116362172009477,0.593786,45.391,kuramoto,-0.866073,2.652255,5.221791,1.5054222172009477
-0.49611,0,0.0,0.7002142172009477,0.805208,57.714,kuramoto,-0.519112,2.944246,5.279505,1.5054222172009477
