event,model,source,t_s
pi_flash,kuramoto,pi_oscillator,0.851765
virtual_flash,kuramoto,camera,1.050034
pi_flash,kuramoto,pi_oscillator,1.562117
virtual_flash,kuramoto,camera,1.817896
pi_flash,kuramoto,pi_oscillator,2.25583
virtual_flash,kuramoto,camera,2.356808
virtual_flash,kuramoto,camera,2.786387
pi_flash,kuramoto,pi_oscillator,2.913431
virtual_flash,kuramoto,camera,3.314817
pi_flash,kuramoto,pi_oscillator,3.415275
pi_flash,kuramoto,pi_oscillator,3.902346
virtual_flash,kuramoto,camera,3.998625
virtual_flash,kuramoto,camera,4.395771
pi_flash,kuramoto,pi_oscillator,4.510649
virtual_flash,kuramoto,camera,4.938887
pi_flash,kuramoto,pi_oscillator,4.981098
virtual_flash,kuramoto,camera,5.486619
pi_flash,kuramoto,pi_oscillator,5.486619
virtual_flash,kuramoto,camera,6.036908
pi_flash,kuramoto,pi_oscillator,6.036908
virtual_flash,kuramoto,camera,6.564413
pi_flash,kuramoto,pi_oscillator,6.597786
virtual_flash,kuramoto,camera,6.977411
pi_flash,kuramoto,pi_oscillator,7.090258
virtual_flash,kuramoto,camera,7.543342
pi_flash,kuramoto,pi_oscillator,7.566108
virtual_flash,kuramoto,camera,8.092745
pi_flash,kuramoto,pi_oscillator,8.092745
virtual_flash,kuramoto,camera,8.52699
pi_flash,kuramoto,pi_oscillator,8.618058
virtual_flash,kuramoto,camera,9.067366
pi_flash,kuramoto,pi_oscillator,9.089642
virtual_flash,kuramoto,camera,9.611333
pi_flash,kuramoto,pi_oscillator,9.6452
virtual_flash,kuramoto,camera,10.027486
pi_flash,kuramoto,pi_oscillator,10.139872
virtual_flash,kuramoto,camera,10.568814
pi_flash,kuramoto,pi_oscillator,10.611796
virtual_flash,kuramoto,camera,11.121097
pi_flash,kuramoto,pi_oscillator,11.121097
virtual_flash,kuramoto,camera,11.564064
pi_flash,kuramoto,pi_oscillator,11.64105
virtual_flash,kuramoto,camera,12.094378
pi_flash,kuramoto,pi_oscillator,12.12415
virtual_flash,kuramoto,camera,12.649392
pi_flash,kuramoto,pi_oscillator,12.649392
virtual_flash,kuramoto,camera,13.061713
pi_flash,kuramoto,pi_oscillator,13.174955
virtual_flash,kuramoto,camera,13.603677
pi_flash,kuramoto,pi_oscillator,13.646403
virtual_flash,kuramoto,camera,14.154446
pi_flash,kuramoto,pi_oscillator,14.154446
virtual_flash,kuramoto,camera,14.570992
pi_flash,kuramoto,pi_oscillator,14.688093
virtual_flash,kuramoto,camera,15.120733
pi_flash,kuramoto,pi_oscillator,15.159774
virtual_flash,kuramoto,camera,15.666427
pi_flash,kuramoto,pi_oscillator,15.666427
virtual_flash,kuramoto,camera,16.093936
pi_flash,kuramoto,pi_oscillator,16.19035
virtual_flash,kuramoto,camera,16.644784
pi_flash,kuramoto,pi_oscillator,16.667009
virtual_flash,kuramoto,camera,17.193977
pi_flash,kuramoto,pi_oscillator,17.193977
virtual_flash,kuramoto,camera,17.618838
pi_flash,kuramoto,pi_oscillator,17.711508
virtual_flash,kuramoto,camera,18.161401
pi_flash,kuramoto,pi_oscillator,18.183293
virtual_flash,kuramoto,camera,18.692619
pi_flash,kuramoto,pi_oscillator,18.732038
virtual_flash,kuramoto,camera,19.138225
pi_flash,kuramoto,pi_oscillator,19.255533
virtual_flash,kuramoto,camera,19.669781
pi_flash,kuramoto,pi_oscillator,19.731242
virtual_flash,kuramoto,camera,20.210107
pi_flash,kuramoto,pi_oscillator,20.210107
virtual_flash,kuramoto,camera,20.637526
pi_flash,kuramoto,pi_oscillator,20.737009
virtual_flash,kuramoto,camera,21.193567
pi_flash,kuramoto,pi_oscillator,21.215756
virtual_flash,kuramoto,camera,21.738474
pi_flash,kuramoto,pi_oscillator,21.738474
virtual_flash,kuramoto,camera,22.164001
pi_flash,kuramoto,pi_oscillator,22.28175
virtual_flash,kuramoto,camera,22.708368
pi_flash,kuramoto,pi_oscillator,22.747496
virtual_flash,kuramoto,camera,23.238968
pi_flash,kuramoto,pi_oscillator,23.261052
virtual_flash,kuramoto,camera,23.671651
pi_flash,kuramoto,pi_oscillator,23.754068
virtual_flash,kuramoto,camera,24.222198
pi_flash,kuramoto,pi_oscillator,24.222198
virtual_flash,kuramoto,camera,24.779482
pi_flash,kuramoto,pi_oscillator,24.779482
virtual_flash,kuramoto,camera,25.205182
pi_flash,kuramoto,pi_oscillator,25.322096
virtual_flash,kuramoto,camera,25.747056
pi_flash,kuramoto,pi_oscillator,25.799458
virtual_flash,kuramoto,camera,26.278709
pi_flash,kuramoto,pi_oscillator,26.300475
virtual_flash,kuramoto,camera,26.81731
pi_flash,kuramoto,pi_oscillator,26.81731
virtual_flash,kuramoto,camera,27.260815
pi_flash,kuramoto,pi_oscillator,27.343858
virtual_flash,kuramoto,camera,27.799827
pi_flash,kuramoto,pi_oscillator,27.836138
virtual_flash,kuramoto,camera,28.358688
pi_flash,kuramoto,pi_oscillator,28.358688
virtual_flash,kuramoto,camera,28.774422
pi_flash,kuramoto,pi_oscillator,28.874634
virtual_flash,kuramoto,camera,29.315839
pi_flash,kuramoto,pi_oscillator,29.361141
virtual_flash,kuramoto,camera,29.864332
pi_flash,kuramoto,pi_oscillator,29.864332
