t_s,frequency_hz,phase_rad,fire_count,received_pi_flashes,feedback_enabled,flash_on,raw_flash_on
0.01542,2.0,0.4204996637045536,0,1,False,True,True
0.219784,2.0,2.942726068924024,0,1,False,True,True
0.401573,2.0,5.044231642460693,0,1,False,False,False
0.601606,2.0,1.2825627406405193,1,1,False,True,True
0.817013,2.0,4.218079482707142,1,2,False,False,False
1.020228,2.0,0.45646712961959324,2,2,False,True,True
1.224223,2.0,2.9744976235596603,2,2,False,True,True
1.402057,2.0,5.063357658610322,2,3,False,False,False
1.601416,2.0,1.3139786672056757,3,3,False,True,True
1.802012,2.0,3.824295923378429,3,3,False,False,False
2.025416,2.0,0.47657960569352276,4,4,False,True,True
2.212859,2.0,2.571027905883572,4,4,False,True,True
2.416451,2.0,5.514691425513324,4,4,False,False,False
2.618465,2.0,1.7456649139963167,5,4,False,True,True
2.823142,2.0,4.2694495489680255,5,5,False,False,False
3.001591,2.0,0.08931296604924406,6,5,False,True,True
3.214352,2.0,2.612568557178439,6,5,False,True,True
3.402109,2.0,5.12613798959453,6,6,False,False,False
3.602079,2.0,1.3561111946745608,7,6,False,True,True
3.824461,2.0,4.2906088040045,7,6,False,False,False
4.028804,2.0,0.526626433293347,8,7,False,True,True
4.202118,2.0,2.6272096355181196,8,7,False,True,True
4.40218,2.0,5.151949314979836,8,7,False,False,False
4.602101,2.0,1.3814801837376411,9,7,False,True,True
4.801948,2.0,3.9006567309925715,9,8,False,False,False
5.020708,2.0,0.16049014581305115,10,8,False,True,True
5.224428,2.0,3.0948005162580254,10,8,False,True,True
5.411476,2.0,5.195905222811261,10,9,False,False,False
5.60199,2.0,1.4319417014338294,11,9,False,True,True
5.80169,2.0,3.9482342666164736,11,9,False,False,False
6.002972,2.0,0.1804819849076805,12,10,False,True,True
6.202002,2.0,2.688484515177095,12,10,False,True,True
6.401919,2.0,5.209104938438114,12,10,False,False,False
6.601594,2.0,1.4341646924989015,13,10,False,True,True
6.821458,2.0,3.952519399075155,13,11,False,False,False
7.02567,2.0,0.6023626922868179,14,11,False,True,True
7.213187,2.0,2.6935324262885687,14,11,False,True,True
7.401559,2.0,5.221648689644272,14,12,False,False,False
7.601902,2.0,1.4496514878032314,15,12,False,True,True
7.826751,2.0,4.383665291472152,15,12,False,False,False
8.002934,2.0,0.1921234704165655,16,13,False,True,True
8.201903,2.0,2.7129160528029885,16,13,False,True,True
8.422592,2.0,5.231172741673554,16,13,False,False,False
8.602018,2.0,1.4686857691145927,17,13,False,True,True
8.802096,2.0,3.989734705584907,17,14,False,False,False
9.001828,2.0,0.22852070655325996,18,14,False,True,True
9.201971,2.0,2.7505372532484236,18,14,False,True,True
9.401965,2.0,5.296340683334187,18,15,False,False,False
9.625804,2.0,1.531722454182692,19,15,False,True,True
9.801719,2.0,4.050082187345465,19,15,False,False,False
10.016451,2.0,0.2868047899078499,20,16,False,True,True
10.201616,2.0,2.816190256485248,20,16,False,True,True
10.425142,2.0,5.334260963117478,20,16,False,False,False
10.611264,2.0,1.567953814061403,21,16,False,True,True
10.816296,2.0,4.091209404824869,21,17,False,False,False
11.001841,2.0,0.31924236250294985,22,17,False,True,True
11.202231,2.0,2.8343587152173377,22,17,False,True,True
11.423863,2.0,5.3455543604356635,22,18,False,False,False
11.601842,2.0,1.1613085741234954,23,18,False,True,True
11.81338,2.0,4.102118271200083,23,18,False,False,False
12.034009,2.0,0.3447219353722896,24,19,False,True,True
12.201674,2.0,2.4381234569655232,24,19,False,True,True
12.425412,2.0,5.377261826824624,24,19,False,False,False
12.612294,2.0,1.6035392623267313,25,19,False,True,True
12.801796,2.0,3.700705668331084,25,20,False,False,False
13.02073,2.0,0.37342478270966317,26,20,False,True,True
13.222721,2.0,2.8893981618426414,26,20,False,True,True
13.401731,2.0,4.9788123736684184,26,21,False,False,False
13.601984,2.0,1.2049113668119713,27,21,False,True,True
13.801835,2.0,3.725143489190128,27,21,False,False,False
14.020506,2.0,0.38858862202443684,28,22,False,True,True
14.201858,2.0,2.483886408753296,28,22,False,True,True
14.421968,2.0,5.423022265319137,28,22,False,False,False
14.625978,2.0,1.6517451165111947,29,22,False,True,True
14.802021,2.0,3.7427891865813954,29,23,False,False,False
15.001824,2.0,6.257960831747507,29,23,False,False,False
15.201613,2.0,2.4929945140395833,30,23,False,True,True
15.402136,2.0,5.005920548501281,30,24,False,False,False
15.601506,2.0,1.2260467455624744,31,24,False,True,True
15.802076,2.0,3.7400823905867635,31,24,False,False,False
16.041339,2.0,0.7912654018943394,32,25,False,True,True
