t_s,frequency_hz,phase_rad,fire_count,received_pi_flashes,pi_flash_posts_received,pi_flash_events_consumed,feedback_enabled,flash_on,raw_flash_on
0.022618,2.0,0.0,0,0,0,0,True,False,False
0.117428,2.229009568002708,1.41433497563012,0,1,1,1,True,False,False
0.201793,2.1354065537501823,2.759918616805172,0,1,1,1,True,False,False
0.320815,2.0792519143118513,4.063578538684075,0,1,1,1,True,False,False
0.428969,2.0462227690898858,5.342439102269915,0,1,1,1,True,False,False
0.502586,2.766902687009538,0.7878025808362037,1,2,2,2,True,True,False
0.614806,2.7109651682891536,2.4865885948523196,1,2,2,2,True,True,False
0.725041,2.6458089952498716,4.1458942835681345,1,2,2,2,True,True,False
0.804098,2.795707487416741,5.809963313479874,1,3,3,3,True,False,False
0.909826,2.7853642096905706,0.6833646822288918,2,3,3,3,True,True,False
1.020143,2.721488548493207,2.9633104241534385,2,3,3,3,True,True,False
1.102063,2.678457299601896,4.078567456486205,2,3,3,3,True,True,False
1.225637,2.5955871229967813,6.256172443930934,2,3,3,3,True,False,False
1.302516,2.408068654767784,0.9706637229981936,3,4,4,4,True,True,False
1.402586,2.417954195487806,2.4728781747921067,3,4,4,4,True,True,False
1.504982,2.4241818433783395,3.9796447916273996,3,4,4,4,True,True,False
1.603987,2.4281274513155497,5.489290040972296,3,4,4,4,True,False,False
1.721127,2.7104195401723574,1.4782007199894125,4,5,5,5,True,True,False
1.802257,2.666893083657977,2.588677979626192,4,5,5,5,True,True,False
1.901748,2.604516598928774,4.221341328999429,4,5,5,5,True,True,False
2.004876,2.5531829949691174,5.8195538448484925,4,5,5,5,True,False,False
2.103139,2.632406870409152,1.182892379439767,5,6,6,6,True,True,False
2.222079,2.5846752021700405,3.340389333979559,5,6,6,6,True,True,False
2.302737,2.5666523049066123,4.406527580910882,5,6,6,6,True,False,False
2.430604,2.540533771431619,0.2377625035056079,6,6,6,6,True,True,True
2.524239,2.245629062377485,1.1616281594521374,6,7,7,7,True,True,False
2.601873,2.320323960835346,2.5913247839078086,6,7,7,7,True,True,False
2.7021,2.3642918678242446,4.0539199350691515,6,7,7,7,True,False,False
2.817694,2.3908503984728973,5.536206858634247,6,7,7,7,True,False,False
2.902039,2.7299920418234915,0.9603150072613994,7,8,8,8,True,True,False
3.002979,2.6816947571509075,2.638506573549365,7,8,8,8,True,True,False
3.10229,2.6359867764776865,4.287384137323283,7,8,8,8,True,True,False
3.225741,2.5979474379444003,5.910880470129573,7,8,8,8,True,False,False
3.303648,2.593498276741064,1.2485447539341297,8,9,9,9,True,True,False
3.40232,2.5728105215197803,2.3175046759355835,8,9,9,9,True,True,False
3.502361,2.5488262035651186,3.9075750985626216,8,9,9,9,True,True,False
3.618714,2.7699156022905376,6.060032600455633,8,10,10,10,True,False,False
3.712974,2.7274693927191866,1.4828295363852488,9,10,10,10,True,True,False
3.802349,2.6946383230828865,2.6037060351406405,9,10,10,10,True,True,False
3.902823,2.646472207844735,4.259686169661775,9,10,10,10,True,True,False
4.006167,2.605167491090052,5.888358703031568,9,10,10,10,True,False,False
4.102302,2.6032215936746597,1.2325359129033744,10,11,11,11,True,True,False
4.215489,2.5627939416079206,3.36961769551334,10,11,11,11,True,True,False
4.327817,2.5419268044913883,4.9547845108756405,10,11,11,11,True,False,False
4.404342,2.531585850839795,6.005615545121693,10,11,11,11,True,False,False
4.509269,2.552885450483957,1.3151454629431,11,12,12,12,True,True,False
4.619478,2.5308204179890037,3.4203404424317494,11,12,12,12,True,True,False
4.702344,2.5232363926876333,4.467438721694096,11,12,12,12,True,False,False
4.825683,2.51282575817621,0.27123101099227664,12,12,12,12,True,True,True
4.902699,2.2425521795267347,1.1912044334454985,12,13,13,13,True,True,False
