t_s,timestamp_s,frame_index,roi_id,agent_id,raw_brightness,brightness_used,normalized_signal,signal_norm,state,rising_edge,accepted_flash_event,event_type,threshold_on,threshold_off,norm_on_threshold,norm_off_threshold,adaptive_low,adaptive_high,adaptive_amplitude,estimated_frequency_hz,signal_frequency_hz,accepted_flash_event_count,brightness_mean,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,periodicity_confidence,rising_edge_count,roi,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_quality,source_agent_id,top_percentile_brightness,use_adaptive
0.26735,14906.030683914,1,0,V0,58.0,58.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,58.0,local_contrast,False,,0,0.3944684189991676,118.94,,0.35,0.65,58.0,0.5979,0.0,0,"{'x': 77, 'y': 274, 'width': 222, 'height': 206}",109.64,96.0,154.0,0.0,V0,154.0,True
0.26735,14906.030683914,1,1,V1,49.0,49.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,49.0,local_contrast,False,,0,0.3944684189991676,118.94,,0.35,0.65,49.0,0.4298,0.0,0,"{'x': 437, 'y': 253, 'width': 203, 'height': 227}",114.21,113.0,162.0,0.0,V1,162.0,True
0.434107,14906.070330011,2,0,V0,18.0,18.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,18.0,local_contrast,False,,0,0.4341145159996813,104.75,,0.35,0.65,18.0,0.2951,0.0,0,"{'x': 77, 'y': 274, 'width': 222, 'height': 206}",60.57,60.0,78.0,0.0,V0,78.0,True
0.434107,14906.070330011,2,1,V1,50.0,50.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,50.0,local_contrast,False,,0,0.4341145159996813,104.75,,0.35,0.65,50.0,0.4808,0.0,0,"{'x': 437, 'y': 253, 'width': 203, 'height': 227}",105.74,103.0,153.0,0.0,V1,153.0,True
0.467389,14906.103611863,3,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.46739636799975415,108.47,,0.35,0.65,20.0,0.3125,0.0,0,"{'x': 77, 'y': 274, 'width': 222, 'height': 206}",63.71,63.0,83.0,0.0,V0,83.0,True
0.467389,14906.103611863,3,1,V1,50.0,50.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,50.0,local_contrast,False,,0,0.46739636799975415,108.47,,0.35,0.65,50.0,0.4854,0.0,0,"{'x': 437, 'y': 253, 'width': 203, 'height': 227}",105.9,102.0,152.0,0.0,V1,152.0,True
0.500738,14906.136960882,4,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.5007453870002792,99.14,,0.35,0.65,20.0,0.3125,0.0,0,"{'x': 77, 'y': 274, 'width': 222, 'height': 206}",63.98,63.0,83.0,0.0,V0,83.0,True
0.500738,14906.136960882,4,1,V1,8.0,8.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,8.0,local_contrast,False,,0,0.5007453870002792,99.14,,0.35,0.65,8.0,0.1739,0.0,0,"{'x': 437, 'y': 253, 'width': 203, 'height': 227}",44.87,45.0,53.0,0.0,V1,53.0,True
0.534047,14906.170270548,5,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.5340550529999746,99.03,,0.35,0.65,20.0,0.3125,0.0,0,"{'x': 77, 'y': 274, 'width': 222, 'height': 206}",63.91,63.0,83.0,0.0,V0,83.0,True
0.534047,14906.170270548,5,1,V1,8.0,8.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,8.0,local_contrast,False,,0,0.5340550529999746,99.03,,0.35,0.65,8.0,0.1739,0.0,0,"{'x': 437, 'y': 253, 'width': 203, 'height': 227}",44.82,45.0,53.0,0.0,V1,53.0,True
0.567375,14906.203597826,6,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.567382330998953,98.98,,0.35,0.65,20.0,0.3125,0.0,0,"{'x': 77, 'y': 274, 'width': 222, 'height': 206}",63.88,63.0,83.0,0.0,V0,83.0,True
0.567375,14906.203597826,6,1,V1,9.0,9.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,9.0,local_contrast,False,,0,0.567382330998953,98.98,,0.35,0.65,9.0,0.2,0.0,0,"{'x': 437, 'y': 253, 'width': 203, 'height': 227}",44.84,44.0,53.0,0.0,V1,53.0,True
