agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V1,pi_detected_virtual_flash,1.0,50.0,1,0.700593
V1,pi_detected_virtual_flash,0.8095,42.0,1,1.033716
V0,pi_detected_virtual_flash,0.85,52.0,0,1.166993
V1,pi_detected_virtual_flash,0.8333,43.0,1,1.533521
V1,pi_detected_virtual_flash,0.8095,42.0,1,2.033207
V0,pi_detected_virtual_flash,0.864,52.0,0,2.166473
V1,pi_detected_virtual_flash,0.7857,41.0,1,2.532957
V1,pi_detected_virtual_flash,0.7619,40.0,1,3.032699
V0,pi_detected_virtual_flash,0.8462,51.0,0,3.165963
V1,pi_detected_virtual_flash,0.7619,40.0,1,3.53251
V1,pi_detected_virtual_flash,0.7381,39.0,1,4.032194
V0,pi_detected_virtual_flash,0.8462,51.0,0,4.165444
V1,pi_detected_virtual_flash,0.7619,40.0,1,4.531948
V1,pi_detected_virtual_flash,0.7143,38.0,1,5.031697
V0,pi_detected_virtual_flash,0.8158,50.0,0,5.164953
V1,pi_detected_virtual_flash,0.7381,39.0,1,5.531498
V1,pi_detected_virtual_flash,0.6905,37.0,1,6.031171
V0,pi_detected_virtual_flash,0.7895,49.0,0,6.164446
V1,pi_detected_virtual_flash,0.6905,37.0,1,6.530918
V1,pi_detected_virtual_flash,0.9762,49.0,1,7.064161
V0,pi_detected_virtual_flash,0.7632,48.0,0,7.163936
V1,pi_detected_virtual_flash,1.0,50.0,1,7.563731
V1,pi_detected_virtual_flash,0.9535,49.0,1,8.063472
V0,pi_detected_virtual_flash,0.7632,48.0,0,8.163417
V1,pi_detected_virtual_flash,0.9767,50.0,1,8.563214
V1,pi_detected_virtual_flash,0.9535,49.0,1,9.062982
V0,pi_detected_virtual_flash,0.7105,46.0,0,9.162913
V1,pi_detected_virtual_flash,0.9767,50.0,1,9.562708
V1,pi_detected_virtual_flash,0.9535,49.0,1,10.06246
V0,pi_detected_virtual_flash,0.7105,46.0,0,10.162413
V1,pi_detected_virtual_flash,0.9767,50.0,1,10.562206
V1,pi_detected_virtual_flash,0.9767,50.0,1,11.061952
V0,pi_detected_virtual_flash,0.6579,44.0,0,11.161889
V1,pi_detected_virtual_flash,1.0,51.0,1,11.561695
V1,pi_detected_virtual_flash,0.9535,49.0,1,12.061417
V0,pi_detected_virtual_flash,1.0,57.0,0,12.194883
V1,pi_detected_virtual_flash,0.9767,50.0,1,12.561354
V1,pi_detected_virtual_flash,0.9767,50.0,1,13.061092
V0,pi_detected_virtual_flash,1.0,57.0,0,13.194183
V1,pi_detected_virtual_flash,0.9773,50.0,1,13.560687
V1,pi_detected_virtual_flash,0.9535,49.0,1,14.060405
V0,pi_detected_virtual_flash,1.0,57.0,0,14.193668
V1,pi_detected_virtual_flash,0.9767,50.0,1,14.560146
V1,pi_detected_virtual_flash,1.0,51.0,1,15.160482
V0,pi_detected_virtual_flash,1.0,57.0,0,15.193213
V1,pi_detected_virtual_flash,0.9767,50.0,1,15.559695
V1,pi_detected_virtual_flash,0.9767,50.0,1,16.05941
V0,pi_detected_virtual_flash,1.0,57.0,0,16.192691
V1,pi_detected_virtual_flash,0.9767,50.0,1,16.559142
V1,pi_detected_virtual_flash,0.9767,50.0,1,17.058881
V0,pi_detected_virtual_flash,1.0,57.0,0,17.192167
V1,pi_detected_virtual_flash,0.9767,50.0,1,17.558654
V1,pi_detected_virtual_flash,0.9535,49.0,1,18.05838
V0,pi_detected_virtual_flash,1.0,57.0,0,18.19183
V1,pi_detected_virtual_flash,0.9767,50.0,1,18.558136
V1,pi_detected_virtual_flash,0.9767,50.0,1,19.057878
V0,pi_detected_virtual_flash,1.0,57.0,0,19.191135
V1,pi_detected_virtual_flash,0.9767,50.0,1,19.557631
V1,pi_detected_virtual_flash,0.9767,50.0,1,20.057365
V0,pi_detected_virtual_flash,1.0,57.0,0,20.190625
V1,pi_detected_virtual_flash,1.0,51.0,1,20.557122
V1,pi_detected_virtual_flash,0.9767,50.0,1,21.056865
V0,pi_detected_virtual_flash,1.0,57.0,0,21.190131
V1,pi_detected_virtual_flash,0.9767,50.0,1,21.556623
V1,pi_detected_virtual_flash,0.9767,50.0,1,22.05635
V0,pi_detected_virtual_flash,1.0,57.0,0,22.189615
V1,pi_detected_virtual_flash,0.9767,50.0,1,22.556101
V1,pi_detected_virtual_flash,0.9767,50.0,1,23.055831
V0,pi_detected_virtual_flash,1.0,57.0,0,23.189115
V1,pi_detected_virtual_flash,0.9767,50.0,1,23.555617
V1,pi_detected_virtual_flash,0.9535,49.0,1,24.055339
V0,pi_detected_virtual_flash,1.0,57.0,0,24.188606
V1,pi_detected_virtual_flash,1.0,51.0,1,24.555084
V1,pi_detected_virtual_flash,0.9767,50.0,1,25.054828
V0,pi_detected_virtual_flash,1.0,57.0,0,25.188135
V1,pi_detected_virtual_flash,0.9767,50.0,1,25.554594
V1,pi_detected_virtual_flash,0.9535,49.0,1,26.054317
V0,pi_detected_virtual_flash,1.0,57.0,0,26.187594
V1,pi_detected_virtual_flash,0.9767,50.0,1,26.554068
V1,pi_detected_virtual_flash,0.9767,50.0,1,27.053811
V0,pi_detected_virtual_flash,1.0,57.0,0,27.187086
V1,pi_detected_virtual_flash,0.9767,50.0,1,27.553585
V1,pi_detected_virtual_flash,1.0,51.0,1,28.053303
V0,pi_detected_virtual_flash,1.0,57.0,0,28.186582
V1,pi_detected_virtual_flash,0.9767,50.0,1,28.553226
V1,pi_detected_virtual_flash,1.0,51.0,1,29.052968
V0,pi_detected_virtual_flash,1.0,57.0,0,29.18625
V1,pi_detected_virtual_flash,1.0,51.0,1,29.552564
