t_s,timestamp_s,frame_index,roi_id,agent_id,raw_brightness,brightness_used,normalized_signal,signal_norm,state,rising_edge,accepted_flash_event,event_type,threshold_on,threshold_off,norm_on_threshold,norm_off_threshold,adaptive_low,adaptive_high,adaptive_amplitude,estimated_frequency_hz,signal_frequency_hz,accepted_flash_event_count,brightness_mean,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,periodicity_confidence,rising_edge_count,roi,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_quality,source_agent_id,top_percentile_brightness,use_adaptive
0.267265,15557.489625108,1,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.38687602700156276,110.63,,0.35,0.65,20.0,0.2817,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",70.67,70.0,90.0,0.0,V0,90.0,True
0.267265,15557.489625108,1,1,V1,32.0,32.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,32.0,local_contrast,False,,0,0.38687602700156276,110.63,,0.35,0.65,32.0,0.4211,0.0,0,"{'x': 437, 'y': 254, 'width': 203, 'height': 226}",80.92,75.0,107.0,0.0,V1,107.0,True
0.400731,15557.503486494,2,0,V0,47.0,47.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,47.0,local_contrast,False,,0,0.4007374130014796,113.39,,0.35,0.65,47.0,0.5465,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",96.91,85.0,132.0,0.0,V0,132.0,True
0.400731,15557.503486494,2,1,V1,48.0,48.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,48.0,local_contrast,False,,0,0.4007374130014796,113.39,,0.35,0.65,48.0,0.4404,0.0,0,"{'x': 437, 'y': 254, 'width': 203, 'height': 226}",109.26,108.0,156.0,0.0,V1,156.0,True
0.434017,15557.536772436,3,0,V0,57.0,57.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,57.0,local_contrast,False,,0,0.4340233550010453,114.78,,0.35,0.65,57.0,0.6064,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",106.2,93.0,150.0,0.0,V0,150.0,True
0.434017,15557.536772436,3,1,V1,48.0,48.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,48.0,local_contrast,False,,0,0.4340233550010453,114.78,,0.35,0.65,48.0,0.4404,0.0,0,"{'x': 437, 'y': 254, 'width': 203, 'height': 226}",109.28,108.0,156.0,0.0,V1,156.0,True
0.467323,15557.570079082,4,0,V0,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.4673300009999366,114.76,,0.35,0.65,56.0,0.5895,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",106.26,94.0,150.0,0.0,V0,150.0,True
0.467323,15557.570079082,4,1,V1,48.0,48.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,48.0,local_contrast,False,,0,0.4673300009999366,114.76,,0.35,0.65,48.0,0.4404,0.0,0,"{'x': 437, 'y': 254, 'width': 203, 'height': 226}",109.23,108.0,156.0,0.0,V1,156.0,True
0.500635,15557.603390265,5,0,V0,57.0,57.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,57.0,local_contrast,False,,0,0.5006411840004148,113.0,,0.35,0.65,57.0,0.6196,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",104.45,91.0,148.0,0.0,V0,148.0,True
0.500635,15557.603390265,5,1,V1,49.0,49.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,49.0,local_contrast,False,,0,0.5006411840004148,113.0,,0.35,0.65,49.0,0.4579,0.0,0,"{'x': 437, 'y': 254, 'width': 203, 'height': 226}",107.46,106.0,155.0,0.0,V1,155.0,True
0.533958,15557.636713818,6,0,V0,57.0,57.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,57.0,local_contrast,False,,0,0.533964737000133,102.0,,0.35,0.65,57.0,0.6333,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",102.88,89.0,146.0,0.0,V0,146.0,True
0.533958,15557.636713818,6,1,V1,8.0,8.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,8.0,local_contrast,False,,0,0.533964737000133,102.0,,0.35,0.65,8.0,0.1818,0.0,0,"{'x': 437, 'y': 254, 'width': 203, 'height': 226}",43.31,43.0,51.0,0.0,V1,51.0,True
0.567286,15557.670042279,7,0,V0,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.5672931980006979,101.02,,0.35,0.65,56.0,0.6222,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",102.14,89.0,145.0,0.0,V0,145.0,True
0.567286,15557.670042279,7,1,V1,8.0,8.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,8.0,local_contrast,False,,0,0.5672931980006979,101.02,,0.35,0.65,8.0,0.1905,0.0,0,"{'x': 437, 'y': 254, 'width': 203, 'height': 226}",41.36,41.0,49.0,0.0,V1,49.0,True
0.600585,15557.703340628,8,0,V0,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.6005915470013861,101.24,,0.35,0.65,56.0,0.6222,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",102.42,89.0,145.0,0.0,V0,145.0,True
0.600585,15557.703340628,8,1,V1,8.0,8.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,8.0,local_contrast,False,,0,0.6005915470013861,101.24,,0.35,0.65,8.0,0.1905,0.0,0,"{'x': 437, 'y': 254, 'width': 203, 'height': 226}",41.45,41.0,49.0,0.0,V1,49.0,True
0.633911,15557.736666515,9,0,V0,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.6339174340009777,104.22,,0.35,0.65,56.0,0.6022,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",105.5,92.0,148.0,0.0,V0,148.0,True
