agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V1,pi_detected_virtual_flash,1.0,48.0,1,0.667257
V0,pi_detected_virtual_flash,1.0,56.0,0,0.700585
V1,pi_detected_virtual_flash,1.0,48.0,1,1.067046
V1,pi_detected_virtual_flash,0.9524,47.0,1,1.566831
V0,pi_detected_virtual_flash,1.0,56.0,0,1.700078
V1,pi_detected_virtual_flash,0.9761,48.0,1,2.066548
V1,pi_detected_virtual_flash,0.9512,47.0,1,2.5663
V0,pi_detected_virtual_flash,1.0,56.0,0,2.699875
V1,pi_detected_virtual_flash,1.0,49.0,1,3.066038
V1,pi_detected_virtual_flash,0.9758,48.0,1,3.565791
V0,pi_detected_virtual_flash,1.0,56.0,0,3.699055
V1,pi_detected_virtual_flash,1.0,49.0,1,4.065533
V1,pi_detected_virtual_flash,1.0,49.0,1,4.56529
V0,pi_detected_virtual_flash,1.0,56.0,0,4.698551
V1,pi_detected_virtual_flash,1.0,49.0,1,5.065053
V1,pi_detected_virtual_flash,0.9762,48.0,1,5.564778
V0,pi_detected_virtual_flash,1.0,56.0,0,5.698053
V1,pi_detected_virtual_flash,1.0,49.0,1,6.064522
V1,pi_detected_virtual_flash,0.9756,48.0,1,6.564275
V0,pi_detected_virtual_flash,1.0,56.0,0,6.697534
V1,pi_detected_virtual_flash,1.0,49.0,1,7.064034
V1,pi_detected_virtual_flash,1.0,49.0,1,7.56376
V0,pi_detected_virtual_flash,1.0,56.0,0,7.697046
V1,pi_detected_virtual_flash,0.9762,49.0,1,8.0635
V1,pi_detected_virtual_flash,0.9762,49.0,1,8.563256
V0,pi_detected_virtual_flash,1.0,56.0,0,8.696511
V1,pi_detected_virtual_flash,0.9524,48.0,1,9.062994
V1,pi_detected_virtual_flash,0.9762,49.0,1,9.562761
V0,pi_detected_virtual_flash,1.0,56.0,0,9.696033
V1,pi_detected_virtual_flash,0.9762,49.0,1,10.062484
V1,pi_detected_virtual_flash,0.9762,49.0,1,10.56225
V0,pi_detected_virtual_flash,0.9737,56.0,0,10.695519
V1,pi_detected_virtual_flash,0.9762,49.0,1,11.061982
V1,pi_detected_virtual_flash,0.9762,49.0,1,11.561732
V0,pi_detected_virtual_flash,0.9737,56.0,0,11.694996
V1,pi_detected_virtual_flash,0.9762,49.0,1,12.061478
V1,pi_detected_virtual_flash,0.9762,49.0,1,12.561246
V0,pi_detected_virtual_flash,0.9737,56.0,0,12.694489
V1,pi_detected_virtual_flash,0.9762,49.0,1,13.06097
V1,pi_detected_virtual_flash,0.9762,49.0,1,13.560719
V0,pi_detected_virtual_flash,0.9737,56.0,0,13.693993
V1,pi_detected_virtual_flash,0.9762,49.0,1,14.060452
V1,pi_detected_virtual_flash,0.9524,48.0,1,14.560198
V0,pi_detected_virtual_flash,0.9737,56.0,0,14.693492
V1,pi_detected_virtual_flash,1.0,50.0,1,15.193081
V1,pi_detected_virtual_flash,0.9762,49.0,1,15.55969
V0,pi_detected_virtual_flash,0.9737,56.0,0,15.692952
V1,pi_detected_virtual_flash,1.0,50.0,1,16.059418
V1,pi_detected_virtual_flash,0.9762,49.0,1,16.559174
V0,pi_detected_virtual_flash,0.9737,56.0,0,16.692437
V1,pi_detected_virtual_flash,0.9762,49.0,1,17.058909
V1,pi_detected_virtual_flash,1.0,50.0,1,17.558681
V0,pi_detected_virtual_flash,0.9737,56.0,0,17.691984
V1,pi_detected_virtual_flash,1.0,50.0,1,18.058653
V1,pi_detected_virtual_flash,0.9762,49.0,1,18.55818
V0,pi_detected_virtual_flash,0.9893,56.0,0,18.691456
V1,pi_detected_virtual_flash,1.0,50.0,1,19.057917
V1,pi_detected_virtual_flash,0.9762,49.0,1,19.557683
V0,pi_detected_virtual_flash,1.0,56.0,0,19.690923
V1,pi_detected_virtual_flash,1.0,50.0,1,20.057419
V1,pi_detected_virtual_flash,0.9762,49.0,1,20.557174
V0,pi_detected_virtual_flash,1.0,56.0,0,20.690415
V1,pi_detected_virtual_flash,0.9762,49.0,1,21.056916
V1,pi_detected_virtual_flash,0.9762,49.0,1,21.556684
V0,pi_detected_virtual_flash,1.0,56.0,0,21.689913
V1,pi_detected_virtual_flash,1.0,50.0,1,22.056411
V1,pi_detected_virtual_flash,1.0,50.0,1,22.556149
V0,pi_detected_virtual_flash,1.0,56.0,0,22.689407
V1,pi_detected_virtual_flash,1.0,50.0,1,23.055907
V1,pi_detected_virtual_flash,0.9762,49.0,1,23.555656
V0,pi_detected_virtual_flash,1.0,56.0,0,23.688926
V1,pi_detected_virtual_flash,0.9762,49.0,1,24.055385
V1,pi_detected_virtual_flash,0.9762,49.0,1,24.555128
V0,pi_detected_virtual_flash,0.9737,56.0,0,24.688397
V1,pi_detected_virtual_flash,1.0,50.0,1,25.054865
V1,pi_detected_virtual_flash,0.9762,49.0,1,25.554642
V0,pi_detected_virtual_flash,0.9737,56.0,0,25.687887
V1,pi_detected_virtual_flash,0.9762,49.0,1,26.054365
V1,pi_detected_virtual_flash,0.9762,49.0,1,26.554109
V0,pi_detected_virtual_flash,0.9737,56.0,0,26.687378
V1,pi_detected_virtual_flash,1.0,50.0,1,27.05387
V1,pi_detected_virtual_flash,0.9762,49.0,1,27.553625
V0,pi_detected_virtual_flash,1.0,57.0,0,27.686871
V1,pi_detected_virtual_flash,1.0,50.0,1,28.053355
V1,pi_detected_virtual_flash,0.9762,49.0,1,28.55328
V0,pi_detected_virtual_flash,1.0,57.0,0,28.686364
V1,pi_detected_virtual_flash,1.0,50.0,1,29.052854
V1,pi_detected_virtual_flash,0.9762,49.0,1,29.552621
V0,pi_detected_virtual_flash,1.0,57.0,0,29.685855
