agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V0,pi_detected_virtual_flash,0.9972,56.0,0,0.700575
V1,pi_detected_virtual_flash,0.9487,45.0,1,0.833834
V1,pi_detected_virtual_flash,0.9231,44.0,1,1.333588
V0,pi_detected_virtual_flash,0.973,55.0,0,1.466853
V1,pi_detected_virtual_flash,0.9231,44.0,1,1.833323
V1,pi_detected_virtual_flash,0.9,44.0,1,2.333156
V0,pi_detected_virtual_flash,0.9459,54.0,0,2.466326
V1,pi_detected_virtual_flash,0.932,45.0,1,2.832817
V1,pi_detected_virtual_flash,0.875,43.0,1,3.332585
V0,pi_detected_virtual_flash,0.9459,54.0,0,3.465838
V1,pi_detected_virtual_flash,0.9068,44.0,1,3.832321
V1,pi_detected_virtual_flash,0.875,43.0,1,4.332138
V0,pi_detected_virtual_flash,0.9459,54.0,0,4.465315
V1,pi_detected_virtual_flash,0.8875,43.5,1,4.831814
V1,pi_detected_virtual_flash,0.85,42.0,1,5.331565
V0,pi_detected_virtual_flash,0.9189,53.0,0,5.464817
V1,pi_detected_virtual_flash,0.875,43.0,1,5.831303
V1,pi_detected_virtual_flash,0.85,42.0,1,6.331135
V0,pi_detected_virtual_flash,0.9189,53.0,0,6.464311
V1,pi_detected_virtual_flash,0.825,41.0,1,6.830805
V1,pi_detected_virtual_flash,0.825,41.0,1,7.330543
V0,pi_detected_virtual_flash,0.8919,52.0,0,7.463805
V1,pi_detected_virtual_flash,0.825,41.0,1,7.830282
V1,pi_detected_virtual_flash,0.8,40.0,1,8.330298
V0,pi_detected_virtual_flash,0.8919,52.0,0,8.463319
V1,pi_detected_virtual_flash,0.8,40.0,1,8.829777
V1,pi_detected_virtual_flash,0.775,39.0,1,9.329522
V0,pi_detected_virtual_flash,0.8378,50.0,0,9.462786
V1,pi_detected_virtual_flash,0.775,39.0,1,9.829271
V1,pi_detected_virtual_flash,0.75,38.0,1,10.329094
V0,pi_detected_virtual_flash,0.8378,50.0,0,10.46229
V1,pi_detected_virtual_flash,0.75,38.0,1,10.828774
V1,pi_detected_virtual_flash,0.7,36.0,1,11.32852
V0,pi_detected_virtual_flash,0.8108,49.0,0,11.461791
V1,pi_detected_virtual_flash,0.725,37.0,1,11.828257
V1,pi_detected_virtual_flash,0.675,35.0,1,12.328069
V0,pi_detected_virtual_flash,0.8108,49.0,0,12.461275
V1,pi_detected_virtual_flash,0.675,35.0,1,12.827749
V1,pi_detected_virtual_flash,0.65,34.0,1,13.327498
V0,pi_detected_virtual_flash,0.7838,48.0,0,13.460949
V1,pi_detected_virtual_flash,0.65,34.0,1,13.82723
V1,pi_detected_virtual_flash,1.0,48.0,1,14.360314
V0,pi_detected_virtual_flash,0.7568,47.0,0,14.460245
V1,pi_detected_virtual_flash,1.0,48.0,1,14.860042
V1,pi_detected_virtual_flash,0.9582,47.0,1,15.359815
V0,pi_detected_virtual_flash,0.7568,47.0,0,15.459748
V1,pi_detected_virtual_flash,0.9756,48.0,1,15.859541
V1,pi_detected_virtual_flash,0.9512,47.0,1,16.359301
V0,pi_detected_virtual_flash,0.7027,45.0,0,16.459233
V1,pi_detected_virtual_flash,0.9756,48.0,1,16.859026
V1,pi_detected_virtual_flash,0.9512,47.0,1,17.358814
V0,pi_detected_virtual_flash,0.7027,45.0,0,17.458728
V1,pi_detected_virtual_flash,0.9756,48.0,1,17.858531
V1,pi_detected_virtual_flash,0.9512,47.0,1,18.358893
V0,pi_detected_virtual_flash,1.0,56.0,0,18.49155
V1,pi_detected_virtual_flash,0.9756,48.0,1,18.858015
V1,pi_detected_virtual_flash,0.9758,48.0,1,19.357756
V0,pi_detected_virtual_flash,1.0,56.0,0,19.491038
V1,pi_detected_virtual_flash,0.9762,48.0,1,19.857498
V1,pi_detected_virtual_flash,0.9524,47.0,1,20.357259
V0,pi_detected_virtual_flash,1.0,56.0,0,20.49052
V1,pi_detected_virtual_flash,0.9762,48.0,1,20.856999
V1,pi_detected_virtual_flash,0.9512,47.0,1,21.356767
V0,pi_detected_virtual_flash,1.0,56.0,0,21.490028
V1,pi_detected_virtual_flash,0.9756,48.0,1,21.85649
V1,pi_detected_virtual_flash,0.9512,47.0,1,22.356254
V0,pi_detected_virtual_flash,1.0,56.0,0,22.489511
V1,pi_detected_virtual_flash,0.9756,48.0,1,22.855996
V1,pi_detected_virtual_flash,0.9512,47.0,1,23.355738
V0,pi_detected_virtual_flash,1.0,56.0,0,23.488992
V1,pi_detected_virtual_flash,0.9756,48.0,1,23.855481
V1,pi_detected_virtual_flash,0.9512,47.0,1,24.355241
V0,pi_detected_virtual_flash,1.0,56.0,0,24.488496
V1,pi_detected_virtual_flash,0.9756,48.0,1,24.854981
V1,pi_detected_virtual_flash,0.9512,47.0,1,25.35473
V0,pi_detected_virtual_flash,1.0,56.0,0,25.487993
V1,pi_detected_virtual_flash,0.9512,47.0,1,25.854457
V1,pi_detected_virtual_flash,0.9512,47.0,1,26.35422
V0,pi_detected_virtual_flash,1.0,56.0,0,26.487479
V1,pi_detected_virtual_flash,0.9756,48.0,1,26.853959
V1,pi_detected_virtual_flash,0.9512,47.0,1,27.353708
V0,pi_detected_virtual_flash,1.0,56.0,0,27.486978
V1,pi_detected_virtual_flash,0.9756,48.0,1,27.85345
V1,pi_detected_virtual_flash,0.9512,47.0,1,28.353184
V0,pi_detected_virtual_flash,1.0,56.0,0,28.486471
V1,pi_detected_virtual_flash,1.0,49.0,1,28.853049
V1,pi_detected_virtual_flash,0.9512,47.0,1,29.352701
V0,pi_detected_virtual_flash,1.0,57.0,0,29.485959
V1,pi_detected_virtual_flash,1.0,49.0,1,29.852434
