t_s,timestamp_s,frame_index,roi_id,agent_id,raw_brightness,brightness_used,normalized_signal,signal_norm,state,rising_edge,accepted_flash_event,event_type,threshold_on,threshold_off,norm_on_threshold,norm_off_threshold,adaptive_low,adaptive_high,adaptive_amplitude,estimated_frequency_hz,signal_frequency_hz,accepted_flash_event_count,brightness_mean,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,periodicity_confidence,rising_edge_count,roi,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_quality,source_agent_id,top_percentile_brightness,use_adaptive
0.267282,15481.439890664,1,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.3976739930003532,105.83,,0.35,0.65,20.0,0.2857,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",70.34,69.0,89.0,0.0,V0,89.0,True
0.267282,15481.439890664,1,1,V1,9.0,9.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,9.0,local_contrast,False,,0,0.3976739930003532,105.83,,0.35,0.65,9.0,0.1765,0.0,0,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",50.45,50.0,59.0,0.0,V1,59.0,True
0.434036,15481.476260154,2,0,V0,19.0,19.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,19.0,local_contrast,False,,0,0.43404348300100537,110.49,,0.35,0.65,19.0,0.2879,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",65.64,65.0,84.0,0.0,V0,84.0,True
0.434036,15481.476260154,2,1,V1,46.0,46.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,46.0,local_contrast,False,,0,0.43404348300100537,110.49,,0.35,0.65,46.0,0.4071,0.0,0,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",111.76,112.0,158.0,0.0,V1,158.0,True
0.467331,15481.509554616,3,0,V0,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.46733794499959913,114.65,,0.35,0.65,56.0,0.6022,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",105.69,92.0,148.0,0.0,V0,148.0,True
0.467331,15481.509554616,3,1,V1,47.0,47.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,47.0,local_contrast,False,,0,0.46733794499959913,114.65,,0.35,0.65,47.0,0.4273,0.0,0,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",109.24,109.0,156.0,0.0,V1,156.0,True
0.500645,15481.542869356,4,0,V0,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.5006526850011142,114.86,,0.35,0.65,56.0,0.5957,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",106.24,93.0,149.0,0.0,V0,149.0,True
0.500645,15481.542869356,4,1,V1,47.0,47.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,47.0,local_contrast,False,,0,0.5006526850011142,114.86,,0.35,0.65,47.0,0.4273,0.0,0,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",109.41,109.0,156.0,0.0,V1,156.0,True
0.533976,15481.576200281,5,0,V0,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.5339836100010871,114.94,,0.35,0.65,56.0,0.5957,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",106.31,93.0,149.0,0.0,V0,149.0,True
0.533976,15481.576200281,5,1,V1,47.0,47.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,47.0,local_contrast,False,,0,0.5339836100010871,114.94,,0.35,0.65,47.0,0.4273,0.0,0,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",109.52,109.0,156.0,0.0,V1,156.0,True
