agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V1,pi_detected_virtual_flash,1.0,50.0,1,0.667294
V1,pi_detected_virtual_flash,0.9881,49.5,1,0.933813
V0,pi_detected_virtual_flash,1.0,56.0,0,1.033771
V1,pi_detected_virtual_flash,1.0,50.0,1,1.333617
V0,pi_detected_virtual_flash,1.0,56.0,0,1.700092
V1,pi_detected_virtual_flash,1.0,50.0,1,1.733402
V1,pi_detected_virtual_flash,0.9762,49.0,1,2.133192
V0,pi_detected_virtual_flash,1.0,57.0,0,2.366439
V1,pi_detected_virtual_flash,0.9762,49.0,1,2.533
V1,pi_detected_virtual_flash,0.9762,49.0,1,2.932808
V0,pi_detected_virtual_flash,0.9737,56.0,0,3.032767
V1,pi_detected_virtual_flash,1.0,50.0,1,3.332591
V0,pi_detected_virtual_flash,0.9737,56.0,0,3.699078
V1,pi_detected_virtual_flash,0.9762,49.0,1,3.732393
V1,pi_detected_virtual_flash,0.9762,49.0,1,4.132176
V0,pi_detected_virtual_flash,0.9737,56.0,0,4.365423
V1,pi_detected_virtual_flash,0.9762,49.0,1,4.531987
V1,pi_detected_virtual_flash,1.0,50.0,1,4.931794
V0,pi_detected_virtual_flash,0.9737,56.0,0,5.031744
V1,pi_detected_virtual_flash,1.0,50.0,1,5.331596
V0,pi_detected_virtual_flash,0.9737,56.0,0,5.698065
V1,pi_detected_virtual_flash,1.0,50.0,1,5.731365
V1,pi_detected_virtual_flash,1.0,50.0,1,6.131175
V0,pi_detected_virtual_flash,1.0,57.0,0,6.364429
V1,pi_detected_virtual_flash,0.9762,49.0,1,6.530998
V1,pi_detected_virtual_flash,1.0,50.0,1,6.930777
V0,pi_detected_virtual_flash,0.9737,56.0,0,7.030731
V1,pi_detected_virtual_flash,1.0,50.0,1,7.330593
V0,pi_detected_virtual_flash,1.0,56.0,0,7.697057
V1,pi_detected_virtual_flash,1.0,50.0,1,7.73036
V1,pi_detected_virtual_flash,1.0,50.0,1,8.130151
V0,pi_detected_virtual_flash,1.0,56.0,0,8.3634
