t_s,timestamp_s,frame_index,roi_id,agent_id,raw_brightness,brightness_used,normalized_signal,signal_norm,state,rising_edge,accepted_flash_event,event_type,threshold_on,threshold_off,norm_on_threshold,norm_off_threshold,adaptive_low,adaptive_high,adaptive_amplitude,estimated_frequency_hz,signal_frequency_hz,accepted_flash_event_count,brightness_mean,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,periodicity_confidence,rising_edge_count,roi,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_quality,source_agent_id,top_percentile_brightness,use_adaptive
0.267316,15694.880808818,1,0,V0,19.0,19.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,19.0,local_contrast,False,,0,0.38736644799973874,112.01,,0.35,0.65,19.0,0.2836,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",66.7,66.0,85.0,0.0,V0,85.0,True
0.267316,15694.880808818,1,1,V1,49.0,49.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,49.0,local_contrast,False,,0,0.38736644799973874,112.01,,0.35,0.65,49.0,0.4336,0.0,0,"{'x': 436, 'y': 254, 'width': 204, 'height': 226}",112.99,112.0,161.0,0.0,V1,161.0,True
0.400853,15694.894302612,2,0,V0,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.4008602419999079,106.29,,0.35,0.65,56.0,0.5833,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",107.87,95.0,151.0,0.0,V0,151.0,True
0.400853,15694.894302612,2,1,V1,8.0,8.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,8.0,local_contrast,False,,0,0.4008602419999079,106.29,,0.35,0.65,8.0,0.1702,0.0,0,"{'x': 436, 'y': 254, 'width': 204, 'height': 226}",45.83,46.0,54.0,0.0,V1,54.0,True
0.434066,15694.927515256,3,0,V0,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.4340728860006493,109.67,,0.35,0.65,56.0,0.56,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",111.75,99.0,155.0,0.0,V0,155.0,True
0.434066,15694.927515256,3,1,V1,8.0,8.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,8.0,local_contrast,False,,0,0.4340728860006493,109.67,,0.35,0.65,8.0,0.1633,0.0,0,"{'x': 436, 'y': 254, 'width': 204, 'height': 226}",47.84,48.0,56.0,0.0,V1,56.0,True
0.467428,15694.960878363,4,0,V0,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.4674359929995262,105.08,,0.35,0.65,56.0,0.5957,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",106.36,93.0,149.0,0.0,V0,149.0,True
0.467428,15694.960878363,4,1,V1,7.0,7.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,7.0,local_contrast,False,,0,0.4674359929995262,105.08,,0.35,0.65,7.0,0.1522,0.0,0,"{'x': 436, 'y': 254, 'width': 204, 'height': 226}",44.64,45.0,52.0,0.0,V1,52.0,True
0.500697,15694.994146748,5,0,V0,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.5007043780005915,107.68,,0.35,0.65,56.0,0.5957,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",106.59,93.0,149.0,0.0,V0,149.0,True
0.500697,15694.994146748,5,1,V1,22.0,22.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,22.0,local_contrast,False,,0,0.5007043780005915,107.68,,0.35,0.65,22.0,0.3929,0.0,0,"{'x': 436, 'y': 254, 'width': 204, 'height': 226}",61.06,55.0,77.0,0.0,V1,77.0,True
