t_s,timestamp_s,frame_index,roi_id,agent_id,raw_brightness,brightness_used,normalized_signal,signal_norm,state,rising_edge,accepted_flash_event,event_type,threshold_on,threshold_off,norm_on_threshold,norm_off_threshold,adaptive_low,adaptive_high,adaptive_amplitude,estimated_frequency_hz,signal_frequency_hz,accepted_flash_event_count,brightness_mean,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,periodicity_confidence,rising_edge_count,roi,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_quality,source_agent_id,top_percentile_brightness,use_adaptive
0.267309,15846.921948188,1,0,V0,19.0,19.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,19.0,local_contrast,False,,0,0.38881361100175127,97.69,,0.35,0.65,19.0,0.3016,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",62.73,62.0,81.0,0.0,V0,81.0,True
0.267309,15846.921948188,1,1,V1,8.0,8.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,8.0,local_contrast,False,,0,0.38881361100175127,97.69,,0.35,0.65,8.0,0.1818,0.0,0,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",43.08,43.0,51.0,0.0,V1,51.0,True
0.434031,15846.967172795,2,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.4340382180016604,103.8,,0.35,0.65,20.0,0.2899,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",69.05,68.0,88.0,0.0,V0,88.0,True
0.434031,15846.967172795,2,1,V1,8.0,8.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,8.0,local_contrast,False,,0,0.4340382180016604,103.8,,0.35,0.65,8.0,0.16,0.0,0,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",49.54,49.0,57.0,0.0,V1,57.0,True
0.467336,15847.000476567,3,0,V0,23.0,23.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,23.0,local_contrast,False,,0,0.46734199000093213,113.47,,0.35,0.65,23.0,0.2738,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",85.31,83.0,106.0,0.0,V0,106.0,True
0.467336,15847.000476567,3,1,V1,45.0,45.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,45.0,local_contrast,False,,0,0.46734199000093213,113.47,,0.35,0.65,45.0,0.4639,0.0,0,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",100.02,96.0,141.0,0.0,V1,141.0,True
0.500628,15847.033768968,4,0,V0,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.5006343910008582,119.79,,0.35,0.65,56.0,0.56,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",111.72,99.0,155.0,0.0,V0,155.0,True
0.500628,15847.033768968,4,1,V1,46.0,46.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,46.0,local_contrast,False,,0,0.5006343910008582,119.79,,0.35,0.65,46.0,0.3932,0.0,0,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",114.86,116.0,162.0,0.0,V1,162.0,True
0.533957,15847.067097574,5,0,V0,57.0,57.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,57.0,local_contrast,False,,0,0.5339629970003443,119.91,,0.35,0.65,57.0,0.57,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",111.87,99.0,156.0,0.0,V0,156.0,True
0.533957,15847.067097574,5,1,V1,47.0,47.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,47.0,local_contrast,False,,0,0.5339629970003443,119.91,,0.35,0.65,47.0,0.4017,0.0,0,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",114.96,116.0,163.0,0.0,V1,163.0,True
0.567258,15847.100399345,6,0,V0,57.0,57.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,57.0,local_contrast,False,,0,0.5672647680003138,117.57,,0.35,0.65,57.0,0.5876,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",109.13,96.0,153.0,0.0,V0,153.0,True
0.567258,15847.100399345,6,1,V1,47.0,47.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,47.0,local_contrast,False,,0,0.5672647680003138,117.57,,0.35,0.65,47.0,0.4123,0.0,0,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",112.31,113.0,160.0,0.0,V1,160.0,True
0.600585,15847.133726265,7,0,V0,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.6005916880003497,114.93,,0.35,0.65,56.0,0.5957,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",106.26,93.0,149.0,0.0,V0,149.0,True
0.600585,15847.133726265,7,1,V1,46.0,46.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,46.0,local_contrast,False,,0,0.6005916880003497,114.93,,0.35,0.65,46.0,0.4144,0.0,0,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",109.65,110.0,156.0,0.0,V1,156.0,True
0.633924,15847.167064667,8,0,V0,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.6339300900017406,112.68,,0.35,0.65,56.0,0.6087,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",103.98,91.0,147.0,0.0,V0,147.0,True
0.633924,15847.167064667,8,1,V1,47.0,47.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,47.0,local_contrast,False,,0,0.6339300900017406,112.68,,0.35,0.65,47.0,0.4352,0.0,0,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",107.5,107.0,154.0,0.0,V1,154.0,True
0.667271,15847.200412365,9,0,V0,57.0,57.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,57.0,local_contrast,False,,0,0.667277788001229,111.62,,0.35,0.65,57.0,0.6333,0.0,0,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",102.84,89.0,146.0,0.0,V0,146.0,True
0.667271,15847.200412365,9,1,V1,47.0,47.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,47.0,local_contrast,False,,0,0.667277788001229,111.62,,0.35,0.65,47.0,0.4393,0.0,0,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",106.51,106.0,153.0,0.0,V1,153.0,True
0.700564,15847.2337056,10,0,V0,56.0,56.0,0.973,0.973,ON,True,True,leader_rising_edge,180.0,120.0,0.65,0.35,19.9,57.0,37.1,0.0,0.0,1,56.0,local_contrast,False,,0,0.7005710230005207,111.0,15847.2337056,0.35,0.65,56.0,0.6222,0.0,1,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",102.23,89.0,145.0,0.9763,V0,145.0,True
0.700564,15847.2337056,10,1,V1,48.0,48.0,1.0,1.0,ON,True,True,leader_rising_edge,180.0,120.0,0.65,0.35,8.0,47.1,39.1,0.0,0.0,1,48.0,local_contrast,False,,0,0.7005710230005207,111.0,15847.2337056,0.35,0.65,48.0,0.4528,0.0,1,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",105.84,105.0,153.0,0.9775,V1,153.0,True
0.733938,15847.267079575,11,0,V0,19.0,19.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,19.0,57.0,38.0,0.0,0.0,1,19.0,local_contrast,False,,0,0.7339449980008794,95.77,15847.2337056,0.35,0.65,19.0,0.3065,0.0,1,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",61.69,61.0,80.0,1.0,V0,80.0,True
0.733938,15847.267079575,11,1,V1,9.0,9.0,0.0256,0.0256,OFF,False,False,,180.0,120.0,0.65,0.35,8.0,47.0,39.0,0.0,0.0,1,9.0,local_contrast,False,,0,0.7339449980008794,95.77,15847.2337056,0.35,0.65,9.0,0.2093,0.0,1,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",42.3,42.0,51.0,0.975,V1,51.0,True
0.767219,15847.300360329,12,0,V0,19.0,19.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,19.0,57.0,38.0,0.0,0.0,1,19.0,local_contrast,False,,0,0.7672257520007406,95.7,15847.2337056,0.35,0.65,19.0,0.3065,0.0,1,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",61.57,61.0,80.0,1.0,V0,80.0,True
0.767219,15847.300360329,12,1,V1,9.0,9.0,0.0231,0.0231,OFF,False,False,,180.0,120.0,0.65,0.35,8.1,47.0,38.9,0.0,0.0,1,9.0,local_contrast,False,,0,0.7672257520007406,95.7,15847.2337056,0.35,0.65,9.0,0.2093,0.0,1,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",42.2,42.0,51.0,0.9725,V1,51.0,True
0.800526,15847.333667156,13,0,V0,19.0,19.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,19.0,57.0,38.0,0.0,0.0,1,19.0,local_contrast,False,,0,0.8005325789999915,95.67,15847.2337056,0.35,0.65,19.0,0.3065,0.0,1,"{'x': 77, 'y': 276, 'width': 222, 'height': 204}",61.51,61.0,80.0,1.0,V0,80.0,True
0.800526,15847.333667156,13,1,V1,9.0,9.0,0.0206,0.0206,OFF,False,False,,180.0,120.0,0.65,0.35,8.2,47.0,38.8,0.0,0.0,1,9.0,local_contrast,False,,0,0.8005325789999915,95.67,15847.2337056,0.35,0.65,9.0,0.2093,0.0,1,"{'x': 438, 'y': 254, 'width': 202, 'height': 226}",42.2,42.0,51.0,0.97,V1,51.0,True
