agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V0,pi_detected_virtual_flash,0.6897,45.0,0,0.80049
V1,pi_detected_virtual_flash,0.975,47.0,1,0.80049
V0,pi_detected_virtual_flash,0.6579,44.0,0,1.300268
V1,pi_detected_virtual_flash,0.95,46.0,1,1.300268
V0,pi_detected_virtual_flash,0.6579,44.0,0,1.799987
V1,pi_detected_virtual_flash,0.975,47.0,1,1.799987
V1,pi_detected_virtual_flash,0.975,47.0,1,2.29976
V0,pi_detected_virtual_flash,1.0,57.0,0,2.333185
V1,pi_detected_virtual_flash,0.975,47.0,1,2.799483
V0,pi_detected_virtual_flash,0.9737,56.0,0,2.832814
V1,pi_detected_virtual_flash,1.0,48.0,1,3.29923
V0,pi_detected_virtual_flash,0.9737,56.0,0,3.332567
V1,pi_detected_virtual_flash,0.975,47.0,1,3.798982
V0,pi_detected_virtual_flash,0.9737,56.0,0,3.832299
V1,pi_detected_virtual_flash,0.975,47.0,1,4.298733
V0,pi_detected_virtual_flash,0.9737,56.0,0,4.332118
V1,pi_detected_virtual_flash,0.975,47.0,1,4.798477
V0,pi_detected_virtual_flash,0.9737,56.0,0,4.831793
V1,pi_detected_virtual_flash,0.975,47.0,1,5.298257
V0,pi_detected_virtual_flash,0.9737,56.0,0,5.331557
V1,pi_detected_virtual_flash,0.975,47.0,1,5.797962
V0,pi_detected_virtual_flash,0.9737,56.0,0,5.83128
V1,pi_detected_virtual_flash,0.975,47.0,1,6.297721
V0,pi_detected_virtual_flash,0.9737,56.0,0,6.331108
V1,pi_detected_virtual_flash,1.0,48.0,1,6.797453
V0,pi_detected_virtual_flash,0.9737,56.0,0,6.830775
V1,pi_detected_virtual_flash,0.975,47.0,1,7.297182
V0,pi_detected_virtual_flash,0.973,56.0,0,7.330524
V1,pi_detected_virtual_flash,0.975,47.0,1,7.796962
V0,pi_detected_virtual_flash,0.973,56.0,0,7.830275
V1,pi_detected_virtual_flash,0.975,47.0,1,8.296727
V0,pi_detected_virtual_flash,0.973,56.0,0,8.330124
V1,pi_detected_virtual_flash,0.975,47.0,1,8.796427
V0,pi_detected_virtual_flash,1.0,56.0,0,8.829744
V1,pi_detected_virtual_flash,0.975,47.0,1,9.296271
V0,pi_detected_virtual_flash,1.0,56.0,0,9.329515
V1,pi_detected_virtual_flash,0.975,47.0,1,9.795937
V0,pi_detected_virtual_flash,1.0,56.0,0,9.829244
V1,pi_detected_virtual_flash,0.975,47.0,1,10.295657
V0,pi_detected_virtual_flash,1.0,56.0,0,10.329075
V1,pi_detected_virtual_flash,0.975,47.0,1,10.7954
V0,pi_detected_virtual_flash,1.0,56.0,0,10.828731
V1,pi_detected_virtual_flash,0.95,46.0,1,11.295165
V0,pi_detected_virtual_flash,1.0,56.0,0,11.328498
V1,pi_detected_virtual_flash,0.975,47.0,1,11.794888
V0,pi_detected_virtual_flash,1.0,56.0,0,11.828224
V1,pi_detected_virtual_flash,0.95,46.0,1,12.29467
V0,pi_detected_virtual_flash,1.0,56.0,0,12.328046
V1,pi_detected_virtual_flash,0.975,47.0,1,12.794563
V0,pi_detected_virtual_flash,1.0,56.0,0,12.827724
V1,pi_detected_virtual_flash,0.975,47.0,1,13.294148
V0,pi_detected_virtual_flash,1.0,56.0,0,13.327495
V1,pi_detected_virtual_flash,0.9268,46.0,1,13.793895
V0,pi_detected_virtual_flash,1.0,56.0,0,13.827189
V1,pi_detected_virtual_flash,0.9268,46.0,1,14.293645
V0,pi_detected_virtual_flash,0.9737,56.0,0,14.327069
V1,pi_detected_virtual_flash,0.9268,46.0,1,14.793355
V0,pi_detected_virtual_flash,0.9737,56.0,0,14.826704
V1,pi_detected_virtual_flash,0.9268,46.0,1,15.293122
V0,pi_detected_virtual_flash,0.9737,56.0,0,15.32645
V1,pi_detected_virtual_flash,0.9268,46.0,1,15.792851
V0,pi_detected_virtual_flash,0.9737,56.0,0,15.826177
V1,pi_detected_virtual_flash,0.9024,45.0,1,16.292612
V0,pi_detected_virtual_flash,0.9737,56.0,0,16.326018
V1,pi_detected_virtual_flash,0.9268,46.0,1,16.792335
V0,pi_detected_virtual_flash,0.9737,56.0,0,16.825661
V1,pi_detected_virtual_flash,0.9024,45.0,1,17.292102
V0,pi_detected_virtual_flash,0.9737,56.0,0,17.325447
V1,pi_detected_virtual_flash,0.9024,45.0,1,17.791847
V0,pi_detected_virtual_flash,0.9737,56.0,0,17.825406
V1,pi_detected_virtual_flash,0.9024,45.0,1,18.291587
V0,pi_detected_virtual_flash,0.9737,56.0,0,18.324987
V1,pi_detected_virtual_flash,0.878,44.0,1,18.791328
V0,pi_detected_virtual_flash,0.9737,56.0,0,18.824657
V1,pi_detected_virtual_flash,0.878,44.0,1,19.291081
V0,pi_detected_virtual_flash,0.9737,56.0,0,19.324414
V1,pi_detected_virtual_flash,0.878,44.0,1,19.790811
V0,pi_detected_virtual_flash,0.9737,56.0,0,19.82415
V1,pi_detected_virtual_flash,0.878,44.0,1,20.290585
V0,pi_detected_virtual_flash,0.9737,56.0,0,20.324031
V1,pi_detected_virtual_flash,0.8537,43.0,1,20.790317
V0,pi_detected_virtual_flash,0.9744,56.0,0,20.823633
V1,pi_detected_virtual_flash,0.8537,43.0,1,21.29007
V0,pi_detected_virtual_flash,0.9744,56.0,0,21.323417
V1,pi_detected_virtual_flash,0.8293,42.0,1,21.789802
V0,pi_detected_virtual_flash,0.9744,56.0,0,21.823158
V1,pi_detected_virtual_flash,0.8293,42.0,1,22.289569
V0,pi_detected_virtual_flash,0.975,56.0,0,22.322948
V1,pi_detected_virtual_flash,0.8293,42.0,1,22.7893
V0,pi_detected_virtual_flash,0.9756,56.0,0,22.822616
V1,pi_detected_virtual_flash,0.8293,42.0,1,23.289235
V0,pi_detected_virtual_flash,0.9762,56.0,0,23.32238
V1,pi_detected_virtual_flash,0.8049,41.0,1,23.78879
V0,pi_detected_virtual_flash,0.9767,56.0,0,23.822117
V1,pi_detected_virtual_flash,0.8049,41.0,1,24.288556
V0,pi_detected_virtual_flash,0.9773,56.0,0,24.321951
V1,pi_detected_virtual_flash,0.7805,40.0,1,24.788281
V0,pi_detected_virtual_flash,1.0,57.0,0,24.821623
V1,pi_detected_virtual_flash,0.7561,39.0,1,25.288055
V0,pi_detected_virtual_flash,0.9778,56.0,0,25.321384
V1,pi_detected_virtual_flash,0.7561,39.0,1,25.787792
V0,pi_detected_virtual_flash,0.9778,56.0,0,25.821099
V1,pi_detected_virtual_flash,0.7317,38.0,1,26.287531
V0,pi_detected_virtual_flash,1.0,57.0,0,26.320966
V1,pi_detected_virtual_flash,0.7317,38.0,1,26.787273
V0,pi_detected_virtual_flash,1.0,57.0,0,26.820599
V1,pi_detected_virtual_flash,0.7317,38.0,1,27.28703
V0,pi_detected_virtual_flash,1.0,57.0,0,27.320354
V1,pi_detected_virtual_flash,0.6829,36.0,1,27.786756
V0,pi_detected_virtual_flash,0.9756,56.0,0,27.820078
V1,pi_detected_virtual_flash,0.6829,36.0,1,28.286503
V0,pi_detected_virtual_flash,1.0,57.0,0,28.320101
V1,pi_detected_virtual_flash,0.6585,35.0,1,28.786254
V0,pi_detected_virtual_flash,1.0,57.0,0,28.819579
V0,pi_detected_virtual_flash,1.0,57.0,0,29.319355
V1,pi_detected_virtual_flash,1.0,49.0,1,29.319355
V0,pi_detected_virtual_flash,0.9737,56.0,0,29.819062
V1,pi_detected_virtual_flash,0.9756,48.0,1,29.819062
