t_s,timestamp_s,frame_index,roi_id,agent_id,raw_brightness,brightness_used,normalized_signal,signal_norm,state,rising_edge,accepted_flash_event,event_type,threshold_on,threshold_off,norm_on_threshold,norm_off_threshold,adaptive_low,adaptive_high,adaptive_amplitude,estimated_frequency_hz,signal_frequency_hz,accepted_flash_event_count,brightness_mean,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,periodicity_confidence,rising_edge_count,roi,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_quality,source_agent_id,top_percentile_brightness,use_adaptive
0.267299,15740.210392989,1,0,V0,58.0,58.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,58.0,local_contrast,False,,0,0.38797599600002286,107.67,,0.35,0.65,58.0,0.5979,0.0,0,"{'x': 77, 'y': 275, 'width': 222, 'height': 205}",109.06,96.0,154.0,0.0,V0,154.0,True
0.267299,15740.210392989,1,1,V1,9.0,9.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,9.0,local_contrast,False,,0,0.38797599600002286,107.67,,0.35,0.65,9.0,0.1915,0.0,0,"{'x': 436, 'y': 252, 'width': 204, 'height': 228}",46.34,46.0,55.0,0.0,V1,55.0,True
0.433959,15740.256382854,2,0,V0,27.0,27.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,27.0,local_contrast,False,,0,0.4339658610006154,110.16,,0.35,0.65,27.0,0.3333,0.0,0,"{'x': 77, 'y': 275, 'width': 222, 'height': 205}",84.62,80.0,107.0,0.0,V0,107.0,True
0.433959,15740.256382854,2,1,V1,49.0,49.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,49.0,local_contrast,False,,0,0.4339658610006154,110.16,,0.35,0.65,49.0,0.5444,0.0,0,"{'x': 436, 'y': 252, 'width': 204, 'height': 228}",96.14,89.0,138.0,0.0,V1,138.0,True
0.467327,15740.289750609,3,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.46733361599945056,109.58,,0.35,0.65,20.0,0.3077,0.0,0,"{'x': 77, 'y': 275, 'width': 222, 'height': 205}",65.12,64.0,84.0,0.0,V0,84.0,True
0.467327,15740.289750609,3,1,V1,51.0,51.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,51.0,local_contrast,False,,0,0.46733361599945056,109.58,,0.35,0.65,51.0,0.4722,0.0,0,"{'x': 436, 'y': 252, 'width': 204, 'height': 228}",109.83,107.0,158.0,0.0,V1,158.0,True
0.500654,15740.323078141,4,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.5006611480002903,109.58,,0.35,0.65,20.0,0.3077,0.0,0,"{'x': 77, 'y': 275, 'width': 222, 'height': 205}",65.02,64.0,84.0,0.0,V0,84.0,True
0.500654,15740.323078141,4,1,V1,52.0,52.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,52.0,local_contrast,False,,0,0.5006611480002903,109.58,,0.35,0.65,52.0,0.4815,0.0,0,"{'x': 436, 'y': 252, 'width': 204, 'height': 228}",109.94,107.0,159.0,0.0,V1,159.0,True
0.533958,15740.356381395,5,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.5339644020004926,109.59,,0.35,0.65,20.0,0.3077,0.0,0,"{'x': 77, 'y': 275, 'width': 222, 'height': 205}",64.97,64.0,84.0,0.0,V0,84.0,True
0.533958,15740.356381395,5,1,V1,52.0,52.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,52.0,local_contrast,False,,0,0.5339644020004926,109.59,,0.35,0.65,52.0,0.4815,0.0,0,"{'x': 436, 'y': 252, 'width': 204, 'height': 228}",109.98,107.0,159.0,0.0,V1,159.0,True
0.567275,15740.389698983,6,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.5672819899991737,109.59,,0.35,0.65,20.0,0.3077,0.0,0,"{'x': 77, 'y': 275, 'width': 222, 'height': 205}",64.92,64.0,84.0,0.0,V0,84.0,True
0.567275,15740.389698983,6,1,V1,51.0,51.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,51.0,local_contrast,False,,0,0.5672819899991737,109.59,,0.35,0.65,51.0,0.4722,0.0,0,"{'x': 436, 'y': 252, 'width': 204, 'height': 228}",110.0,107.0,158.0,0.0,V1,158.0,True
0.600595,15740.423018386,7,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.6006013930000336,109.6,,0.35,0.65,20.0,0.3077,0.0,0,"{'x': 77, 'y': 275, 'width': 222, 'height': 205}",64.9,64.0,84.0,0.0,V0,84.0,True
0.600595,15740.423018386,7,1,V1,51.0,51.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,51.0,local_contrast,False,,0,0.6006013930000336,109.6,,0.35,0.65,51.0,0.4722,0.0,0,"{'x': 436, 'y': 252, 'width': 204, 'height': 228}",110.03,107.0,158.0,0.0,V1,158.0,True
