agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V1,pi_detected_virtual_flash,1.0,52.0,1,0.667276
V0,pi_detected_virtual_flash,1.0,57.0,0,0.867233
V1,pi_detected_virtual_flash,0.9773,51.0,1,1.100382
V0,pi_detected_virtual_flash,1.0,57.0,0,1.366908
V1,pi_detected_virtual_flash,0.9773,51.0,1,1.600124
V0,pi_detected_virtual_flash,0.9737,56.0,0,1.866667
V1,pi_detected_virtual_flash,0.9773,51.0,1,2.099887
V0,pi_detected_virtual_flash,1.0,57.0,0,2.366429
V1,pi_detected_virtual_flash,0.9773,51.0,1,2.59963
V0,pi_detected_virtual_flash,1.0,56.0,0,2.866158
V1,pi_detected_virtual_flash,0.9773,51.0,1,3.09938
V0,pi_detected_virtual_flash,1.0,56.0,0,3.365914
V1,pi_detected_virtual_flash,0.9773,51.0,1,3.599135
V0,pi_detected_virtual_flash,1.0,56.0,0,3.865671
V1,pi_detected_virtual_flash,0.9772,51.0,1,4.098892
V0,pi_detected_virtual_flash,1.0,56.0,0,4.36541
V1,pi_detected_virtual_flash,0.9767,51.0,1,4.598615
V0,pi_detected_virtual_flash,1.0,56.0,0,4.865157
V1,pi_detected_virtual_flash,1.0,52.0,1,5.098369
V0,pi_detected_virtual_flash,1.0,56.0,0,5.364887
V1,pi_detected_virtual_flash,1.0,52.0,1,5.598104
V0,pi_detected_virtual_flash,1.0,56.0,0,5.865279
V1,pi_detected_virtual_flash,1.0,52.0,1,6.097845
V0,pi_detected_virtual_flash,1.0,56.0,0,6.364431
V1,pi_detected_virtual_flash,1.0,52.0,1,6.597594
V0,pi_detected_virtual_flash,1.0,56.0,0,6.864183
V1,pi_detected_virtual_flash,0.9767,51.0,1,7.097331
V0,pi_detected_virtual_flash,1.0,56.0,0,7.363872
V1,pi_detected_virtual_flash,1.0,52.0,1,7.597224
V0,pi_detected_virtual_flash,1.0,56.0,0,7.863642
V1,pi_detected_virtual_flash,1.0,52.0,1,8.096835
V0,pi_detected_virtual_flash,1.0,56.0,0,8.363386
V1,pi_detected_virtual_flash,1.0,52.0,1,8.596591
V0,pi_detected_virtual_flash,1.0,56.0,0,8.863134
V1,pi_detected_virtual_flash,0.9767,51.0,1,9.096325
V0,pi_detected_virtual_flash,1.0,56.0,0,9.362866
V1,pi_detected_virtual_flash,1.0,52.0,1,9.596073
V0,pi_detected_virtual_flash,1.0,56.0,0,9.862619
V1,pi_detected_virtual_flash,1.0,52.0,1,10.095813
V0,pi_detected_virtual_flash,1.0,56.0,0,10.362376
V1,pi_detected_virtual_flash,0.9767,51.0,1,10.595575
V0,pi_detected_virtual_flash,1.0,56.0,0,10.862109
V1,pi_detected_virtual_flash,1.0,52.0,1,11.095321
V0,pi_detected_virtual_flash,1.0,56.0,0,11.361855
V1,pi_detected_virtual_flash,1.0,52.0,1,11.595057
V0,pi_detected_virtual_flash,1.0,56.0,0,11.861616
V1,pi_detected_virtual_flash,0.9545,51.0,1,12.094817
V0,pi_detected_virtual_flash,1.0,56.0,0,12.361348
V1,pi_detected_virtual_flash,0.9773,52.0,1,12.594567
V0,pi_detected_virtual_flash,1.0,56.0,0,12.861128
V1,pi_detected_virtual_flash,0.9773,52.0,1,13.094286
V0,pi_detected_virtual_flash,1.0,56.0,0,13.360824
V1,pi_detected_virtual_flash,0.9773,52.0,1,13.59403
V0,pi_detected_virtual_flash,1.0,56.0,0,13.860565
V1,pi_detected_virtual_flash,0.9773,52.0,1,14.093781
V0,pi_detected_virtual_flash,1.0,56.0,0,14.360316
V1,pi_detected_virtual_flash,0.9773,52.0,1,14.59351
V0,pi_detected_virtual_flash,0.9744,56.0,0,14.860057
V1,pi_detected_virtual_flash,0.9773,52.0,1,15.193151
V0,pi_detected_virtual_flash,0.9744,56.0,0,15.359811
V1,pi_detected_virtual_flash,0.9545,51.0,1,15.593018
V0,pi_detected_virtual_flash,0.975,56.0,0,15.859582
V1,pi_detected_virtual_flash,0.9954,52.0,1,16.092775
V0,pi_detected_virtual_flash,0.9756,56.0,0,16.35932
V1,pi_detected_virtual_flash,0.9767,51.0,1,16.592521
V0,pi_detected_virtual_flash,0.9762,56.0,0,16.859039
V1,pi_detected_virtual_flash,1.0,52.0,1,17.092262
V0,pi_detected_virtual_flash,0.9767,56.0,0,17.358814
V1,pi_detected_virtual_flash,0.9767,51.0,1,17.591997
V0,pi_detected_virtual_flash,0.9773,56.0,0,17.858548
V1,pi_detected_virtual_flash,1.0,52.0,1,18.091771
V0,pi_detected_virtual_flash,0.9775,56.0,0,18.358284
V1,pi_detected_virtual_flash,0.9767,51.0,1,18.591501
V0,pi_detected_virtual_flash,0.9773,56.0,0,18.858068
V1,pi_detected_virtual_flash,0.9767,51.0,1,19.09125
V0,pi_detected_virtual_flash,0.977,56.0,0,19.357774
V1,pi_detected_virtual_flash,0.9767,51.0,1,19.590976
V0,pi_detected_virtual_flash,0.9764,56.0,0,19.857544
V1,pi_detected_virtual_flash,0.9767,51.0,1,20.090742
V0,pi_detected_virtual_flash,0.9762,56.0,0,20.357272
V1,pi_detected_virtual_flash,0.9535,50.0,1,20.590485
V0,pi_detected_virtual_flash,0.975,56.0,0,20.857037
V1,pi_detected_virtual_flash,0.9767,51.0,1,21.090225
V0,pi_detected_virtual_flash,0.9744,56.0,0,21.356765
V1,pi_detected_virtual_flash,0.9767,51.0,1,21.589993
V0,pi_detected_virtual_flash,0.9737,56.0,0,21.856513
V1,pi_detected_virtual_flash,0.9535,50.0,1,22.089715
V0,pi_detected_virtual_flash,0.9737,56.0,0,22.356269
V1,pi_detected_virtual_flash,0.9535,50.0,1,22.589454
V0,pi_detected_virtual_flash,0.973,56.0,0,22.85618
V1,pi_detected_virtual_flash,0.9535,50.0,1,23.089227
V0,pi_detected_virtual_flash,0.973,56.0,0,23.355759
V1,pi_detected_virtual_flash,0.9535,50.0,1,23.588962
V0,pi_detected_virtual_flash,0.973,56.0,0,23.855514
V1,pi_detected_virtual_flash,0.9535,50.0,1,24.088705
V0,pi_detected_virtual_flash,0.973,56.0,0,24.355245
V1,pi_detected_virtual_flash,0.9535,50.0,1,24.588447
V0,pi_detected_virtual_flash,0.973,56.0,0,24.855031
V1,pi_detected_virtual_flash,0.9535,50.0,1,25.08821
V0,pi_detected_virtual_flash,0.973,56.0,0,25.354736
V1,pi_detected_virtual_flash,0.9535,50.0,1,25.58794
V0,pi_detected_virtual_flash,0.973,56.0,0,25.8545
V1,pi_detected_virtual_flash,0.9302,49.0,1,26.087693
V0,pi_detected_virtual_flash,0.973,56.0,0,26.35422
V1,pi_detected_virtual_flash,0.9302,49.0,1,26.587437
V0,pi_detected_virtual_flash,0.973,56.0,0,26.853982
V1,pi_detected_virtual_flash,0.9302,49.0,1,27.087194
V0,pi_detected_virtual_flash,0.973,56.0,0,27.35374
V1,pi_detected_virtual_flash,0.907,48.0,1,27.586924
V0,pi_detected_virtual_flash,0.973,56.0,0,27.853484
V1,pi_detected_virtual_flash,0.9302,49.0,1,28.086865
V0,pi_detected_virtual_flash,1.0,57.0,0,28.353236
V1,pi_detected_virtual_flash,0.907,48.0,1,28.586425
V0,pi_detected_virtual_flash,0.973,56.0,0,28.852956
V1,pi_detected_virtual_flash,0.907,48.0,1,29.086172
V0,pi_detected_virtual_flash,0.973,56.0,0,29.35271
V1,pi_detected_virtual_flash,0.907,48.0,1,29.586774
V0,pi_detected_virtual_flash,0.973,56.0,0,29.852462
