t_s,timestamp_s,frame_index,roi_id,agent_id,raw_brightness,brightness_used,normalized_signal,signal_norm,state,rising_edge,accepted_flash_event,event_type,threshold_on,threshold_off,norm_on_threshold,norm_off_threshold,adaptive_low,adaptive_high,adaptive_amplitude,estimated_frequency_hz,signal_frequency_hz,accepted_flash_event_count,brightness_mean,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,periodicity_confidence,rising_edge_count,roi,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_quality,source_agent_id,top_percentile_brightness,use_adaptive
0.267286,14982.027412223,1,0,V0,49.0,49.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,49.0,local_contrast,False,,0,0.3891154209995875,116.02,,0.35,0.65,49.0,0.4579,0.0,0,"{'x': 30, 'y': 308, 'width': 223, 'height': 172}",116.16,106.0,155.0,0.0,V0,155.0,True
0.267286,14982.027412223,1,1,V1,72.0,72.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,72.0,local_contrast,False,,0,0.3891154209995875,116.02,,0.35,0.65,72.0,0.8,0.0,0,"{'x': 484, 'y': 224, 'width': 156, 'height': 250}",104.42,89.0,161.0,0.0,V1,161.0,True
0.433998,14982.072302229,2,0,V0,23.0,23.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,23.0,local_contrast,False,,0,0.43400542699964717,104.27,,0.35,0.65,23.0,0.3433,0.0,0,"{'x': 30, 'y': 308, 'width': 223, 'height': 172}",67.05,66.0,89.0,0.0,V0,89.0,True
0.433998,14982.072302229,2,1,V1,72.0,72.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,72.0,local_contrast,False,,0,0.43400542699964717,104.27,,0.35,0.65,72.0,0.8675,0.0,0,"{'x': 484, 'y': 224, 'width': 156, 'height': 250}",97.72,82.0,154.0,0.0,V1,154.0,True
0.467323,14982.105626855,3,0,V0,24.0,24.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,24.0,local_contrast,False,,0,0.4673300529993867,107.51,,0.35,0.65,24.0,0.3429,0.0,0,"{'x': 30, 'y': 308, 'width': 223, 'height': 172}",70.48,69.0,93.0,0.0,V0,93.0,True
0.467323,14982.105626855,3,1,V1,70.0,70.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,70.0,local_contrast,False,,0,0.4673300529993867,107.51,,0.35,0.65,70.0,0.8537,0.0,0,"{'x': 484, 'y': 224, 'width': 156, 'height': 250}",96.91,81.0,151.0,0.0,V1,151.0,True
0.500639,14982.138942777,4,0,V0,24.0,24.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,24.0,local_contrast,False,,0,0.500645974998406,100.6,,0.35,0.65,24.0,0.3429,0.0,0,"{'x': 30, 'y': 308, 'width': 223, 'height': 172}",70.45,69.0,93.0,0.0,V0,93.0,True
0.500639,14982.138942777,4,1,V1,10.0,10.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,10.0,local_contrast,False,,0,0.500645974998406,100.6,,0.35,0.65,10.0,0.2174,0.0,0,"{'x': 484, 'y': 224, 'width': 156, 'height': 250}",45.7,45.0,55.0,0.0,V1,55.0,True
0.533969,14982.172273106,5,0,V0,23.0,23.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,23.0,local_contrast,False,,0,0.5339763039992249,100.45,,0.35,0.65,23.0,0.3286,0.0,0,"{'x': 30, 'y': 308, 'width': 223, 'height': 172}",70.33,69.0,92.0,0.0,V0,92.0,True
0.533969,14982.172273106,5,1,V1,10.0,10.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,10.0,local_contrast,False,,0,0.5339763039992249,100.45,,0.35,0.65,10.0,0.2174,0.0,0,"{'x': 484, 'y': 224, 'width': 156, 'height': 250}",45.68,45.0,55.0,0.0,V1,55.0,True
