agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V1,pi_detected_virtual_flash,0.9841,72.0,1,0.700823
V1,pi_detected_virtual_flash,0.9524,70.0,1,1.033912
V0,pi_detected_virtual_flash,1.0,48.0,0,1.167201
V1,pi_detected_virtual_flash,0.9683,71.0,1,1.533547
V1,pi_detected_virtual_flash,0.9365,69.0,1,2.033232
V0,pi_detected_virtual_flash,0.9595,47.0,0,2.166495
V1,pi_detected_virtual_flash,0.9688,71.0,1,2.533003
V1,pi_detected_virtual_flash,0.9231,69.0,1,3.032723
V0,pi_detected_virtual_flash,0.9583,47.0,0,3.166011
V1,pi_detected_virtual_flash,0.9385,70.0,1,3.532526
V1,pi_detected_virtual_flash,0.9231,69.0,1,4.032229
V0,pi_detected_virtual_flash,0.9583,47.0,0,4.165491
V1,pi_detected_virtual_flash,0.9231,69.0,1,4.531975
V1,pi_detected_virtual_flash,0.9231,69.0,1,5.031715
V0,pi_detected_virtual_flash,0.9583,47.0,0,5.164987
V1,pi_detected_virtual_flash,0.9231,69.0,1,5.531526
V1,pi_detected_virtual_flash,0.9077,68.0,1,6.031228
V0,pi_detected_virtual_flash,0.9583,47.0,0,6.164477
V1,pi_detected_virtual_flash,0.9231,69.0,1,6.531125
V1,pi_detected_virtual_flash,0.8923,67.0,1,7.0307
V0,pi_detected_virtual_flash,0.9583,47.0,0,7.163982
V1,pi_detected_virtual_flash,0.9077,68.0,1,7.5305
V1,pi_detected_virtual_flash,0.8769,66.0,1,8.030181
V0,pi_detected_virtual_flash,0.9583,47.0,0,8.16346
V1,pi_detected_virtual_flash,0.8923,67.0,1,8.529944
V1,pi_detected_virtual_flash,0.8923,67.0,1,9.029682
V0,pi_detected_virtual_flash,1.0,48.0,0,9.162964
V1,pi_detected_virtual_flash,0.8939,67.0,1,9.529506
V1,pi_detected_virtual_flash,0.8636,65.0,1,10.029179
V0,pi_detected_virtual_flash,0.9583,47.0,0,10.162436
V1,pi_detected_virtual_flash,0.8788,66.0,1,10.52893
V1,pi_detected_virtual_flash,0.8485,64.0,1,11.028668
V0,pi_detected_virtual_flash,0.9583,47.0,0,11.161945
V1,pi_detected_virtual_flash,0.8923,66.0,1,11.528463
V1,pi_detected_virtual_flash,0.8615,64.0,1,12.028339
V0,pi_detected_virtual_flash,0.9583,47.0,0,12.161422
V1,pi_detected_virtual_flash,0.8923,66.0,1,12.527909
V1,pi_detected_virtual_flash,0.8615,64.0,1,13.027652
V0,pi_detected_virtual_flash,0.9583,47.0,0,13.160918
V1,pi_detected_virtual_flash,0.8615,64.0,1,13.527459
V1,pi_detected_virtual_flash,0.8182,62.0,1,14.027163
V0,pi_detected_virtual_flash,0.9167,46.0,0,14.160424
V1,pi_detected_virtual_flash,0.8333,63.0,1,14.526894
V1,pi_detected_virtual_flash,0.8182,62.0,1,15.026656
V0,pi_detected_virtual_flash,1.0,48.0,0,15.193129
V1,pi_detected_virtual_flash,0.8318,63.0,1,15.526439
V1,pi_detected_virtual_flash,0.8,61.0,1,16.026129
V0,pi_detected_virtual_flash,0.88,45.0,0,16.159397
V1,pi_detected_virtual_flash,0.8154,62.0,1,16.525867
V1,pi_detected_virtual_flash,0.7846,60.0,1,17.026147
