t_s,timestamp_s,frame_index,roi_id,agent_id,raw_brightness,brightness_used,normalized_signal,signal_norm,state,rising_edge,accepted_flash_event,event_type,threshold_on,threshold_off,norm_on_threshold,norm_off_threshold,adaptive_low,adaptive_high,adaptive_amplitude,estimated_frequency_hz,signal_frequency_hz,accepted_flash_event_count,brightness_mean,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,periodicity_confidence,rising_edge_count,roi,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_quality,source_agent_id,top_percentile_brightness,use_adaptive
0.267314,15130.887326964,1,0,V0,58.0,58.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,58.0,local_contrast,False,,0,0.3890948850003042,108.95,,0.35,0.65,58.0,0.5979,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",109.76,96.0,154.0,0.0,V0,154.0,True
0.267314,15130.887326964,1,1,V1,4.0,4.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,4.0,local_contrast,False,,0,0.3890948850003042,108.95,,0.35,0.65,4.0,0.0851,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",45.59,46.0,50.0,0.0,V1,50.0,True
0.434021,15130.932260405,2,0,V0,58.0,58.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,58.0,local_contrast,False,,0,0.4340283259989519,107.07,,0.35,0.65,58.0,0.6237,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",105.82,92.0,150.0,0.0,V0,150.0,True
0.434021,15130.932260405,2,1,V1,99.0,99.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,99.0,local_contrast,False,,0,0.4340283259989519,107.07,,0.35,0.65,99.0,1.9038,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",68.3,51.0,150.0,0.0,V1,150.0,True
0.467414,15130.965652932,3,0,V0,57.0,57.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,57.0,local_contrast,False,,0,0.4674208529995667,106.67,,0.35,0.65,57.0,0.6129,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",105.4,92.0,149.0,0.0,V0,149.0,True
0.467414,15130.965652932,3,1,V1,100.0,100.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,100.0,local_contrast,False,,0,0.4674208529995667,106.67,,0.35,0.65,100.0,1.9608,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",67.83,50.0,150.0,0.0,V1,150.0,True
0.500693,15130.998931329,4,0,V0,13.0,13.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,13.0,local_contrast,False,,0,0.5006992500002525,102.37,,0.35,0.65,13.0,0.1667,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",75.56,77.0,90.0,0.0,V0,90.0,True
0.500693,15130.998931329,4,1,V1,99.0,99.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,99.0,local_contrast,False,,0,0.5006992500002525,102.37,,0.35,0.65,99.0,1.9038,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",68.24,51.0,150.0,0.0,V1,150.0,True
0.534022,15131.032260856,5,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.5340287769995484,101.01,,0.35,0.65,20.0,0.3077,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",65.02,64.0,84.0,0.0,V0,84.0,True
0.534022,15131.032260856,5,1,V1,99.0,99.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,99.0,local_contrast,False,,0,0.5340287769995484,101.01,,0.35,0.65,99.0,1.9038,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",68.79,51.0,150.0,0.0,V1,150.0,True
0.567355,15131.065593512,6,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.5673614329989505,100.98,,0.35,0.65,20.0,0.3077,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",64.9,64.0,84.0,0.0,V0,84.0,True
0.567355,15131.065593512,6,1,V1,99.0,99.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,99.0,local_contrast,False,,0,0.5673614329989505,100.98,,0.35,0.65,99.0,1.9038,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",68.83,51.0,150.0,0.0,V1,150.0,True
0.600661,15131.098899742,7,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.6006676630004222,103.22,,0.35,0.65,20.0,0.2985,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",66.91,66.0,86.0,0.0,V0,86.0,True
0.600661,15131.098899742,7,1,V1,98.0,98.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,98.0,local_contrast,False,,0,0.6006676630004222,103.22,,0.35,0.65,98.0,1.7818,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",71.19,54.0,152.0,0.0,V1,152.0,True
0.633961,15131.132200306,8,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.633968226999059,102.4,,0.35,0.65,20.0,0.2941,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",67.82,67.0,87.0,0.0,V0,87.0,True
0.633961,15131.132200306,8,1,V1,5.0,5.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,5.0,local_contrast,False,,0,0.633968226999059,102.4,,0.35,0.65,5.0,0.1064,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",45.8,46.0,51.0,0.0,V1,51.0,True
0.667296,15131.165535092,9,0,V0,19.0,19.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,19.0,local_contrast,False,,0,0.6673030129986728,103.05,,0.35,0.65,19.0,0.2754,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",68.41,68.0,87.0,0.0,V0,87.0,True
0.667296,15131.165535092,9,1,V1,5.0,5.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,5.0,local_contrast,False,,0,0.6673030129986728,103.05,,0.35,0.65,5.0,0.1042,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",47.09,47.0,52.0,0.0,V1,52.0,True
0.700595,15131.198834174,10,0,V0,20.0,20.0,0.0404,0.0404,OFF,False,False,,180.0,120.0,0.65,0.35,18.4,58.0,39.6,0.0,0.0,0,20.0,local_contrast,False,,0,0.7006020949993399,102.85,,0.35,0.65,20.0,0.2941,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",68.15,67.0,87.0,0.88,V0,87.0,True
0.700595,15131.198834174,10,1,V1,5.0,5.0,0.0011,0.0011,OFF,False,False,,180.0,120.0,0.65,0.35,4.9,99.1,94.2,0.0,0.0,0,5.0,local_contrast,False,,0,0.7006020949993399,102.85,,0.35,0.65,5.0,0.1042,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",46.92,47.0,52.0,0.9812,V1,52.0,True
0.733946,15131.232184627,11,0,V0,20.0,20.0,0.0256,0.0256,OFF,False,False,,180.0,120.0,0.65,0.35,19.0,58.0,39.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.7339525480001612,103.68,,0.35,0.65,20.0,0.2899,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",68.98,68.0,88.0,0.8667,V0,88.0,True
0.733946,15131.232184627,11,1,V1,4.0,4.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,4.0,99.0,95.0,0.0,0.0,0,4.0,local_contrast,False,,0,0.7339525480001612,103.68,,0.35,0.65,4.0,0.0816,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",47.92,48.0,52.0,0.9896,V1,52.0,True
0.767217,15131.265455839,12,0,V0,20.0,20.0,0.0232,0.0232,OFF,False,False,,180.0,120.0,0.65,0.35,19.1,57.9,38.8,0.0,0.0,0,20.0,local_contrast,False,,0,0.7672237599999789,103.46,,0.35,0.65,20.0,0.2899,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",68.72,68.0,88.0,0.8622,V0,88.0,True
0.767217,15131.265455839,12,1,V1,4.0,4.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,4.0,99.0,95.0,0.0,0.0,0,4.0,local_contrast,False,,0,0.7672237599999789,103.46,,0.35,0.65,4.0,0.0816,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",47.61,48.0,52.0,0.9896,V1,52.0,True
0.80052,15131.298758792,13,0,V0,20.0,20.0,0.0207,0.0207,OFF,False,False,,180.0,120.0,0.65,0.35,19.2,57.8,38.6,0.0,0.0,0,20.0,local_contrast,False,,0,0.8005267129992717,103.31,,0.35,0.65,20.0,0.2899,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",68.54,68.0,88.0,0.8578,V0,88.0,True
0.80052,15131.298758792,13,1,V1,5.0,5.0,0.0105,0.0105,OFF,False,False,,180.0,120.0,0.65,0.35,4.0,99.0,95.0,0.0,0.0,0,5.0,local_contrast,False,,0,0.8005267129992717,103.31,,0.35,0.65,5.0,0.1042,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",47.42,47.0,52.0,0.9896,V1,52.0,True
0.833842,15131.332081189,14,0,V0,20.0,20.0,0.0182,0.0182,OFF,False,False,,180.0,120.0,0.65,0.35,19.3,57.7,38.4,0.0,0.0,0,20.0,local_contrast,False,,0,0.8338491100003012,103.2,,0.35,0.65,20.0,0.2899,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",68.42,68.0,88.0,0.8533,V0,88.0,True
0.833842,15131.332081189,14,1,V1,5.0,5.0,0.0105,0.0105,OFF,False,False,,180.0,120.0,0.65,0.35,4.0,99.0,95.0,0.0,0.0,0,5.0,local_contrast,False,,0,0.8338491100003012,103.2,,0.35,0.65,5.0,0.1042,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",47.28,47.0,52.0,0.9896,V1,52.0,True
0.867153,15131.365391512,15,0,V0,20.0,20.0,0.0157,0.0157,OFF,False,False,,180.0,120.0,0.65,0.35,19.4,57.6,38.2,0.0,0.0,0,20.0,local_contrast,False,,0,0.8671594329989603,103.91,,0.35,0.65,20.0,0.2941,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",68.28,67.0,87.0,0.8489,V0,87.0,True
0.867153,15131.365391512,15,1,V1,64.0,64.0,0.6316,0.6316,OFF,False,False,,180.0,120.0,0.65,0.35,4.0,99.0,95.0,0.0,0.0,0,64.0,local_contrast,False,,0,0.8671594329989603,103.91,,0.35,0.65,64.0,1.2549,0.0,0,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",59.78,50.0,114.0,0.9896,V1,114.0,True
0.900467,15131.398705964,16,0,V0,21.0,21.0,0.0395,0.0395,OFF,False,False,,180.0,120.0,0.65,0.35,19.5,57.5,38.0,0.0,0.0,0,21.0,local_contrast,False,,0,0.900473884999883,104.62,,0.35,0.65,21.0,0.3088,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",68.19,67.0,88.0,0.8444,V0,88.0,True
0.900467,15131.398705964,16,1,V1,100.0,100.0,1.0,1.0,ON,True,True,leader_rising_edge,180.0,120.0,0.65,0.35,4.0,99.5,95.5,0.0,0.0,1,100.0,local_contrast,False,,0,0.900473884999883,104.62,15131.398705964,0.35,0.65,100.0,1.8182,0.0,1,"{'x': 495, 'y': 305, 'width': 141, 'height': 139}",71.46,54.0,154.0,0.9948,V1,154.0,True
0.933796,15131.432034324,17,0,V0,20.0,20.0,0.0106,0.0106,OFF,False,False,,180.0,120.0,0.65,0.35,19.6,57.4,37.8,0.0,0.0,0,20.0,local_contrast,False,,0,0.9338022449992422,104.6,,0.35,0.65,20.0,0.2941,0.0,0,"{'x': 76, 'y': 274, 'width': 224, 'height': 206}",68.13,67.0,87.0,0.84,V0,87.0,True
