agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V1,pi_detected_virtual_flash,1.0,101.0,1,0.700681
V1,pi_detected_virtual_flash,1.0,101.0,1,1.20045
V0,pi_detected_virtual_flash,1.0,57.0,0,1.333736
V1,pi_detected_virtual_flash,0.9897,100.0,1,1.700197
V1,pi_detected_virtual_flash,1.0,101.0,1,2.199943
V0,pi_detected_virtual_flash,0.9973,57.0,0,2.333286
V1,pi_detected_virtual_flash,1.0,101.0,1,2.69968
V1,pi_detected_virtual_flash,0.9896,100.0,1,3.199428
V0,pi_detected_virtual_flash,0.9737,57.0,0,3.332714
V1,pi_detected_virtual_flash,0.9897,100.0,1,3.699176
V1,pi_detected_virtual_flash,1.0,100.0,1,4.198923
V0,pi_detected_virtual_flash,0.9737,57.0,0,4.332293
V1,pi_detected_virtual_flash,1.0,100.0,1,4.698691
V1,pi_detected_virtual_flash,1.0,100.0,1,5.198413
V0,pi_detected_virtual_flash,1.0,57.0,0,5.33171
V1,pi_detected_virtual_flash,0.9896,99.0,1,5.698192
V1,pi_detected_virtual_flash,0.9895,99.0,1,6.197915
V0,pi_detected_virtual_flash,1.0,57.0,0,6.331265
V1,pi_detected_virtual_flash,1.0,100.0,1,6.697668
V1,pi_detected_virtual_flash,0.9789,98.0,1,7.197401
V0,pi_detected_virtual_flash,1.0,57.0,0,7.330701
V1,pi_detected_virtual_flash,0.9789,98.0,1,7.697144
V1,pi_detected_virtual_flash,0.9789,98.0,1,8.196894
V0,pi_detected_virtual_flash,1.0,57.0,0,8.330257
V1,pi_detected_virtual_flash,0.9789,98.0,1,8.696641
V1,pi_detected_virtual_flash,0.9684,97.0,1,9.196388
V0,pi_detected_virtual_flash,1.0,57.0,0,9.329679
V1,pi_detected_virtual_flash,0.9688,98.0,1,9.696141
V1,pi_detected_virtual_flash,0.9583,97.0,1,10.196054
V0,pi_detected_virtual_flash,1.0,57.0,0,10.329418
V1,pi_detected_virtual_flash,0.9688,98.0,1,10.695806
V1,pi_detected_virtual_flash,0.9479,96.0,1,11.195376
V0,pi_detected_virtual_flash,1.0,57.0,0,11.328664
V1,pi_detected_virtual_flash,0.9583,97.0,1,11.695125
V1,pi_detected_virtual_flash,0.9375,95.0,1,12.194872
V0,pi_detected_virtual_flash,1.0,57.0,0,12.328233
V1,pi_detected_virtual_flash,0.9485,96.0,1,12.694631
V1,pi_detected_virtual_flash,0.9278,94.0,1,13.194362
V0,pi_detected_virtual_flash,0.9737,57.0,0,13.327641
V1,pi_detected_virtual_flash,0.9286,95.0,1,13.694118
V1,pi_detected_virtual_flash,0.9072,93.0,1,14.193851
V0,pi_detected_virtual_flash,0.9737,57.0,0,14.327215
V1,pi_detected_virtual_flash,0.9072,93.0,1,14.693615
V1,pi_detected_virtual_flash,0.8969,92.0,1,15.193253
V0,pi_detected_virtual_flash,0.9737,57.0,0,15.326617
V1,pi_detected_virtual_flash,0.8969,92.0,1,15.693086
V1,pi_detected_virtual_flash,0.8969,92.0,1,16.192991
V0,pi_detected_virtual_flash,1.0,58.0,0,16.326332
V1,pi_detected_virtual_flash,0.8969,92.0,1,16.692571
V1,pi_detected_virtual_flash,0.8763,90.0,1,17.192309
V0,pi_detected_virtual_flash,1.0,58.0,0,17.325612
V1,pi_detected_virtual_flash,0.8866,91.0,1,17.692062
V1,pi_detected_virtual_flash,0.866,89.0,1,18.191811
V0,pi_detected_virtual_flash,0.9737,57.0,0,18.325156
V1,pi_detected_virtual_flash,0.8763,90.0,1,18.69156
V1,pi_detected_virtual_flash,0.8557,88.0,1,19.191308
V0,pi_detected_virtual_flash,0.9737,57.0,0,19.324583
V1,pi_detected_virtual_flash,0.866,89.0,1,19.691054
V1,pi_detected_virtual_flash,0.8454,87.0,1,20.190814
V0,pi_detected_virtual_flash,0.9737,57.0,0,20.324127
V1,pi_detected_virtual_flash,0.8454,87.0,1,20.690555
V1,pi_detected_virtual_flash,0.8351,86.0,1,21.190294
V0,pi_detected_virtual_flash,1.0,58.0,0,21.323577
V1,pi_detected_virtual_flash,0.8454,87.0,1,21.690207
V1,pi_detected_virtual_flash,0.8247,85.0,1,22.189954
V0,pi_detected_virtual_flash,0.9737,57.0,0,22.323286
V1,pi_detected_virtual_flash,0.8247,85.0,1,22.689697
V1,pi_detected_virtual_flash,0.8041,83.0,1,23.189439
V0,pi_detected_virtual_flash,0.9737,57.0,0,23.322723
V1,pi_detected_virtual_flash,0.8144,84.0,1,23.68921
V1,pi_detected_virtual_flash,0.7938,82.0,1,24.188923
V0,pi_detected_virtual_flash,0.9474,56.0,0,24.322282
V1,pi_detected_virtual_flash,0.7938,82.0,1,24.688673
V1,pi_detected_virtual_flash,0.7732,80.0,1,25.188269
V0,pi_detected_virtual_flash,0.9474,56.0,0,25.321537
V1,pi_detected_virtual_flash,0.7835,81.0,1,25.688003
V1,pi_detected_virtual_flash,0.7526,78.0,1,26.18775
V0,pi_detected_virtual_flash,0.9474,56.0,0,26.321103
V1,pi_detected_virtual_flash,0.7629,79.0,1,26.68749
V1,pi_detected_virtual_flash,0.7423,77.0,1,27.18726
V0,pi_detected_virtual_flash,0.9211,55.0,0,27.320533
V1,pi_detected_virtual_flash,0.7423,77.0,1,27.687002
V1,pi_detected_virtual_flash,0.7216,75.0,1,28.18673
V0,pi_detected_virtual_flash,0.9211,55.0,0,28.32006
V1,pi_detected_virtual_flash,0.732,76.0,1,28.686479
V1,pi_detected_virtual_flash,0.7113,74.0,1,29.186245
V0,pi_detected_virtual_flash,0.8947,54.0,0,29.319501
V1,pi_detected_virtual_flash,0.7113,74.0,1,29.685986
