t_s,timestamp_s,frame_index,roi_id,agent_id,raw_brightness,brightness_used,normalized_signal,signal_norm,state,rising_edge,accepted_flash_event,event_type,threshold_on,threshold_off,norm_on_threshold,norm_off_threshold,adaptive_low,adaptive_high,adaptive_amplitude,estimated_frequency_hz,signal_frequency_hz,accepted_flash_event_count,brightness_mean,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,periodicity_confidence,rising_edge_count,roi,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_quality,source_agent_id,top_percentile_brightness,use_adaptive
0.267316,15237.461251742,1,0,V0,10.0,10.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,10.0,local_contrast,False,,0,0.38739721799902327,106.36,,0.35,0.65,10.0,0.1429,0.0,0,"{'x': 124, 'y': 322, 'width': 126, 'height': 128}",69.38,69.0,79.0,0.0,V0,79.0,True
0.267316,15237.461251742,1,1,V1,4.0,4.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,4.0,local_contrast,False,,0,0.38739721799902327,106.36,,0.35,0.65,4.0,0.0784,0.0,0,"{'x': 494, 'y': 305, 'width': 143, 'height': 139}",49.38,50.0,54.0,0.0,V1,54.0,True
0.400748,15237.474610114,2,0,V0,10.0,10.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,10.0,local_contrast,False,,0,0.40075559000069916,103.51,,0.35,0.65,10.0,0.1515,0.0,0,"{'x': 124, 'y': 322, 'width': 126, 'height': 128}",65.19,65.0,75.0,0.0,V0,75.0,True
0.400748,15237.474610114,2,1,V1,101.0,101.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,101.0,local_contrast,False,,0,0.40075559000069916,103.51,,0.35,0.65,101.0,1.8704,0.0,0,"{'x': 494, 'y': 305, 'width': 143, 'height': 139}",70.63,53.0,154.0,0.0,V1,154.0,True
0.434035,15237.507897212,3,0,V0,74.0,74.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,74.0,local_contrast,False,,0,0.4340426880007726,104.17,,0.35,0.65,74.0,1.0,0.0,0,"{'x': 124, 'y': 322, 'width': 126, 'height': 128}",82.41,73.0,147.0,0.0,V0,147.0,True
0.434035,15237.507897212,3,1,V1,100.0,100.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,100.0,local_contrast,False,,0,0.4340426880007726,104.17,,0.35,0.65,100.0,1.8519,0.0,0,"{'x': 494, 'y': 305, 'width': 143, 'height': 139}",70.31,53.0,153.0,0.0,V1,153.0,True
0.467342,15237.541204401,4,0,V0,74.0,74.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,74.0,local_contrast,False,,0,0.4673498770007427,104.43,,0.35,0.65,74.0,1.0,0.0,0,"{'x': 124, 'y': 322, 'width': 126, 'height': 128}",82.85,73.0,147.0,0.0,V0,147.0,True
0.467342,15237.541204401,4,1,V1,100.0,100.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,100.0,local_contrast,False,,0,0.4673498770007427,104.43,,0.35,0.65,100.0,1.8519,0.0,0,"{'x': 494, 'y': 305, 'width': 143, 'height': 139}",70.6,53.0,153.0,0.0,V1,153.0,True
0.500665,15237.574527221,5,0,V0,75.0,75.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,75.0,local_contrast,False,,0,0.500672697000482,104.54,,0.35,0.65,75.0,1.0135,0.0,0,"{'x': 124, 'y': 322, 'width': 126, 'height': 128}",82.91,73.0,148.0,0.0,V0,148.0,True
0.500665,15237.574527221,5,1,V1,100.0,100.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,100.0,local_contrast,False,,0,0.500672697000482,104.54,,0.35,0.65,100.0,1.8519,0.0,0,"{'x': 494, 'y': 305, 'width': 143, 'height': 139}",70.73,53.0,153.0,0.0,V1,153.0,True
0.533973,15237.607835892,6,0,V0,73.0,73.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,73.0,local_contrast,False,,0,0.5339813680002408,104.62,,0.35,0.65,73.0,0.9733,0.0,0,"{'x': 124, 'y': 322, 'width': 126, 'height': 128}",82.99,74.0,147.0,0.0,V0,147.0,True
0.533973,15237.607835892,6,1,V1,99.0,99.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,99.0,local_contrast,False,,0,0.5339813680002408,104.62,,0.35,0.65,99.0,1.8333,0.0,0,"{'x': 494, 'y': 305, 'width': 143, 'height': 139}",70.57,53.0,152.0,0.0,V1,152.0,True
0.567308,15237.641170193,7,0,V0,73.0,73.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,73.0,local_contrast,False,,0,0.5673156689990719,103.15,,0.35,0.65,73.0,0.9733,0.0,0,"{'x': 124, 'y': 322, 'width': 126, 'height': 128}",83.09,74.0,147.0,0.0,V0,147.0,True
0.567308,15237.641170193,7,1,V1,4.0,4.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,4.0,local_contrast,False,,0,0.5673156689990719,103.15,,0.35,0.65,4.0,0.0833,0.0,0,"{'x': 494, 'y': 305, 'width': 143, 'height': 139}",46.77,47.0,51.0,0.0,V1,51.0,True
0.600591,15237.674453291,8,0,V0,73.0,73.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,73.0,local_contrast,False,,0,0.6005987669996102,103.17,,0.35,0.65,73.0,0.9733,0.0,0,"{'x': 124, 'y': 322, 'width': 126, 'height': 128}",83.14,74.0,147.0,0.0,V0,147.0,True
0.600591,15237.674453291,8,1,V1,5.0,5.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,5.0,local_contrast,False,,0,0.6005987669996102,103.17,,0.35,0.65,5.0,0.1042,0.0,0,"{'x': 494, 'y': 305, 'width': 143, 'height': 139}",46.64,47.0,52.0,0.0,V1,52.0,True
0.633929,15237.707791629,9,0,V0,73.0,73.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,73.0,local_contrast,False,,0,0.633937104999859,103.2,,0.35,0.65,73.0,0.9733,0.0,0,"{'x': 124, 'y': 322, 'width': 126, 'height': 128}",83.18,74.0,147.0,0.0,V0,147.0,True
