agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V1,pi_detected_virtual_flash,0.999,102.0,1,0.667271
V0,pi_detected_virtual_flash,1.0,75.0,0,0.767196
V1,pi_detected_virtual_flash,1.0,102.0,1,1.133713
V1,pi_detected_virtual_flash,1.0,103.0,1,1.633391
V0,pi_detected_virtual_flash,0.7385,58.0,0,1.733336
V1,pi_detected_virtual_flash,0.9928,102.0,1,2.133138
V1,pi_detected_virtual_flash,0.9897,101.0,1,2.632875
V0,pi_detected_virtual_flash,0.7231,57.0,0,2.732887
V1,pi_detected_virtual_flash,1.0,102.0,1,3.132687
V1,pi_detected_virtual_flash,1.0,102.0,1,3.632374
V0,pi_detected_virtual_flash,0.6923,55.0,0,3.732324
V1,pi_detected_virtual_flash,0.9898,102.0,1,4.132126
V1,pi_detected_virtual_flash,0.9796,101.0,1,4.631883
V0,pi_detected_virtual_flash,0.6615,53.0,0,4.731883
V1,pi_detected_virtual_flash,0.9796,101.0,1,5.131869
V1,pi_detected_virtual_flash,0.9897,101.0,1,5.63154
V0,pi_detected_virtual_flash,0.9846,74.0,0,5.764815
V1,pi_detected_virtual_flash,0.9897,101.0,1,6.131303
V1,pi_detected_virtual_flash,1.0,102.0,1,6.631082
V0,pi_detected_virtual_flash,0.9846,74.0,0,6.764349
V1,pi_detected_virtual_flash,0.9897,101.0,1,7.130845
V1,pi_detected_virtual_flash,0.9897,101.0,1,7.63054
V0,pi_detected_virtual_flash,0.9846,74.0,0,7.764605
V1,pi_detected_virtual_flash,0.9897,101.0,1,8.130298
V1,pi_detected_virtual_flash,0.9897,101.0,1,8.630031
V0,pi_detected_virtual_flash,0.9846,74.0,0,8.763319
V1,pi_detected_virtual_flash,1.0,102.0,1,9.129817
V1,pi_detected_virtual_flash,0.9897,101.0,1,9.629529
V0,pi_detected_virtual_flash,0.9846,74.0,0,9.762807
V1,pi_detected_virtual_flash,0.9897,101.0,1,10.129281
V1,pi_detected_virtual_flash,0.9897,101.0,1,10.629014
V0,pi_detected_virtual_flash,0.9846,74.0,0,10.762309
V1,pi_detected_virtual_flash,0.9897,101.0,1,11.128815
V1,pi_detected_virtual_flash,0.9897,101.0,1,11.628523
