agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V1,pi_detected_virtual_flash,1.0,99.0,1,0.733923
V0,pi_detected_virtual_flash,1.0,59.0,0,0.833822
V1,pi_detected_virtual_flash,1.0,100.0,1,1.233604
V1,pi_detected_virtual_flash,1.0,100.0,1,1.73335
V0,pi_detected_virtual_flash,0.7622,58.0,0,1.833277
V1,pi_detected_virtual_flash,0.9897,99.0,1,2.233093
V1,pi_detected_virtual_flash,0.9897,99.0,1,2.732897
V0,pi_detected_virtual_flash,0.7538,57.0,0,2.832782
V1,pi_detected_virtual_flash,1.0,100.0,1,3.232564
V1,pi_detected_virtual_flash,0.9897,99.0,1,3.73231
V0,pi_detected_virtual_flash,0.7231,55.0,0,3.832262
V1,pi_detected_virtual_flash,1.0,100.0,1,4.23205
V1,pi_detected_virtual_flash,1.0,100.0,1,4.731869
V0,pi_detected_virtual_flash,0.7077,54.0,0,4.832039
V1,pi_detected_virtual_flash,1.0,100.0,1,5.23172
V1,pi_detected_virtual_flash,0.9897,99.0,1,5.731478
V0,pi_detected_virtual_flash,0.6769,52.0,0,5.831435
V1,pi_detected_virtual_flash,0.9897,99.0,1,6.231221
V1,pi_detected_virtual_flash,1.0,100.0,1,6.731019
V0,pi_detected_virtual_flash,0.6562,51.0,0,6.830929
V1,pi_detected_virtual_flash,1.0,99.0,1,7.230709
V1,pi_detected_virtual_flash,1.0,99.0,1,7.73045
V0,pi_detected_virtual_flash,1.0,73.0,0,7.863772
V1,pi_detected_virtual_flash,1.0,99.0,1,8.230226
V1,pi_detected_virtual_flash,1.0,100.0,1,8.730029
V0,pi_detected_virtual_flash,1.0,73.0,0,8.863252
V1,pi_detected_virtual_flash,0.9897,99.0,1,9.229727
V1,pi_detected_virtual_flash,0.9896,99.0,1,9.729463
V0,pi_detected_virtual_flash,1.0,73.0,0,9.862742
V1,pi_detected_virtual_flash,0.9896,99.0,1,10.229213
V1,pi_detected_virtual_flash,0.9896,99.0,1,10.729019
V0,pi_detected_virtual_flash,1.0,74.0,0,10.862207
V1,pi_detected_virtual_flash,1.0,100.0,1,11.228703
V1,pi_detected_virtual_flash,0.9896,99.0,1,11.728445
V0,pi_detected_virtual_flash,1.0,74.0,0,11.861713
V1,pi_detected_virtual_flash,1.0,100.0,1,12.228184
V1,pi_detected_virtual_flash,1.0,100.0,1,12.727993
V0,pi_detected_virtual_flash,1.0,74.0,0,12.861201
V1,pi_detected_virtual_flash,1.0,100.0,1,13.22767
V1,pi_detected_virtual_flash,0.9896,99.0,1,13.727423
V0,pi_detected_virtual_flash,1.0,74.0,0,13.860691
V1,pi_detected_virtual_flash,0.9896,99.0,1,14.227175
V1,pi_detected_virtual_flash,0.9896,99.0,1,14.72698
V0,pi_detected_virtual_flash,1.0,74.0,0,14.860184
V1,pi_detected_virtual_flash,0.9896,99.0,1,15.226497
V1,pi_detected_virtual_flash,0.9896,99.0,1,15.726235
V0,pi_detected_virtual_flash,1.0,74.0,0,15.85949
V1,pi_detected_virtual_flash,0.9896,99.0,1,16.225979
V1,pi_detected_virtual_flash,0.9896,99.0,1,16.725787
V0,pi_detected_virtual_flash,1.0,73.0,0,16.858985
V1,pi_detected_virtual_flash,0.9896,99.0,1,17.225477
V1,pi_detected_virtual_flash,1.0,100.0,1,17.725806
V0,pi_detected_virtual_flash,1.0,73.0,0,17.858487
V1,pi_detected_virtual_flash,1.0,100.0,1,18.224955
V1,pi_detected_virtual_flash,1.0,100.0,1,18.724789
V0,pi_detected_virtual_flash,1.0,74.0,0,18.857965
V1,pi_detected_virtual_flash,1.0,100.0,1,19.224445
V1,pi_detected_virtual_flash,1.0,100.0,1,19.724194
V0,pi_detected_virtual_flash,1.0,73.0,0,19.857472
V1,pi_detected_virtual_flash,1.0,100.0,1,20.224147
V1,pi_detected_virtual_flash,1.0,100.0,1,20.72392
V0,pi_detected_virtual_flash,1.0,73.0,0,20.857143
