t_s,timestamp_s,frame_index,roi_id,agent_id,raw_brightness,brightness_used,normalized_signal,signal_norm,state,rising_edge,accepted_flash_event,event_type,threshold_on,threshold_off,norm_on_threshold,norm_off_threshold,adaptive_low,adaptive_high,adaptive_amplitude,estimated_frequency_hz,signal_frequency_hz,accepted_flash_event_count,brightness_mean,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,periodicity_confidence,rising_edge_count,roi,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_quality,source_agent_id,top_percentile_brightness,use_adaptive
0.267452,15374.753455605,1,0,V0,75.0,75.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,75.0,local_contrast,False,,0,0.3879250640002283,105.99,,0.35,0.65,75.0,1.0135,0.0,0,"{'x': 132, 'y': 330, 'width': 109, 'height': 112}",79.7,73.0,148.0,0.0,V0,148.0,True
0.267452,15374.753455605,1,1,V1,23.0,23.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,23.0,local_contrast,False,,0,0.3879250640002283,105.99,,0.35,0.65,23.0,0.4423,0.0,0,"{'x': 506, 'y': 314, 'width': 120, 'height': 120}",52.99,51.0,74.0,0.0,V1,74.0,True
0.400914,15374.766451551,2,0,V0,73.0,73.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,73.0,local_contrast,False,,0,0.4009210100011842,102.77,,0.35,0.65,73.0,1.0139,0.0,0,"{'x': 132, 'y': 330, 'width': 109, 'height': 112}",77.07,71.0,144.0,0.0,V0,144.0,True
0.400914,15374.766451551,2,1,V1,5.0,5.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,5.0,local_contrast,False,,0,0.4009210100011842,102.77,,0.35,0.65,5.0,0.1064,0.0,0,"{'x': 506, 'y': 314, 'width': 120, 'height': 120}",46.58,46.0,51.0,0.0,V1,51.0,True
0.434205,15374.799742997,3,0,V0,73.0,73.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,73.0,local_contrast,False,,0,0.43421245600075054,102.77,,0.35,0.65,73.0,1.0139,0.0,0,"{'x': 132, 'y': 330, 'width': 109, 'height': 112}",77.08,71.0,144.0,0.0,V0,144.0,True
0.434205,15374.799742997,3,1,V1,5.0,5.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,5.0,local_contrast,False,,0,0.43421245600075054,102.77,,0.35,0.65,5.0,0.1064,0.0,0,"{'x': 506, 'y': 314, 'width': 120, 'height': 120}",46.56,46.0,51.0,0.0,V1,51.0,True
0.467538,15374.833075887,4,0,V0,73.0,73.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,73.0,local_contrast,False,,0,0.4675453460004064,102.88,,0.35,0.65,73.0,1.0139,0.0,0,"{'x': 132, 'y': 330, 'width': 109, 'height': 112}",77.2,71.0,144.0,0.0,V0,144.0,True
0.467538,15374.833075887,4,1,V1,4.0,4.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,4.0,local_contrast,False,,0,0.4675453460004064,102.88,,0.35,0.65,4.0,0.0833,0.0,0,"{'x': 506, 'y': 314, 'width': 120, 'height': 120}",46.72,47.0,51.0,0.0,V1,51.0,True
0.500838,15374.866376091,5,0,V0,73.0,73.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,73.0,local_contrast,False,,0,0.5008455500010314,103.15,,0.35,0.65,73.0,1.0139,0.0,0,"{'x': 132, 'y': 330, 'width': 109, 'height': 112}",77.19,71.0,144.0,0.0,V0,144.0,True
0.500838,15374.866376091,5,1,V1,44.0,44.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,44.0,local_contrast,False,,0,0.5008455500010314,103.15,,0.35,0.65,44.0,0.898,0.0,0,"{'x': 506, 'y': 314, 'width': 120, 'height': 120}",52.39,48.0,92.0,0.0,V1,92.0,True
