agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V1,pi_detected_virtual_flash,1.0,22.0,1,0.933783
V1,pi_detected_virtual_flash,1.0,23.0,1,1.433516
V1,pi_detected_virtual_flash,1.0,23.0,1,1.933309
V1,pi_detected_virtual_flash,0.9545,23.0,1,2.433033
V1,pi_detected_virtual_flash,0.9545,23.0,1,2.932734
V1,pi_detected_virtual_flash,0.9545,23.0,1,3.432487
V1,pi_detected_virtual_flash,0.9545,23.0,1,3.9323
V1,pi_detected_virtual_flash,0.9545,23.0,1,4.431947
V1,pi_detected_virtual_flash,0.9545,23.0,1,4.931901
V1,pi_detected_virtual_flash,0.9545,23.0,1,5.431605
V1,pi_detected_virtual_flash,0.9545,23.0,1,5.931409
V1,pi_detected_virtual_flash,0.9545,23.0,1,6.431154
V1,pi_detected_virtual_flash,0.9545,23.0,1,6.930882
V1,pi_detected_virtual_flash,1.0,23.0,1,7.430603
V1,pi_detected_virtual_flash,1.0,23.0,1,7.930428
V1,pi_detected_virtual_flash,1.0,23.0,1,8.430087
V1,pi_detected_virtual_flash,1.0,23.0,1,8.929877
V1,pi_detected_virtual_flash,1.0,23.0,1,9.429622
V1,pi_detected_virtual_flash,1.0,23.0,1,9.9294
V1,pi_detected_virtual_flash,1.0,23.0,1,10.429098
V1,pi_detected_virtual_flash,1.0,23.0,1,10.928853
V1,pi_detected_virtual_flash,1.0,23.0,1,11.428598
V1,pi_detected_virtual_flash,1.0,23.0,1,11.928365
V1,pi_detected_virtual_flash,1.0,23.0,1,12.42807
V1,pi_detected_virtual_flash,1.0,23.0,1,12.927842
V1,pi_detected_virtual_flash,0.9545,23.0,1,13.427591
V1,pi_detected_virtual_flash,0.9545,23.0,1,13.92737
V1,pi_detected_virtual_flash,0.9545,23.0,1,14.427088
V1,pi_detected_virtual_flash,1.0,23.0,1,14.926839
V1,pi_detected_virtual_flash,0.9813,23.0,1,15.426371
V1,pi_detected_virtual_flash,1.0,23.0,1,15.926183
V1,pi_detected_virtual_flash,1.0,23.0,1,16.425889
V1,pi_detected_virtual_flash,0.9813,23.0,1,16.925603
V1,pi_detected_virtual_flash,1.0,23.0,1,17.425358
V1,pi_detected_virtual_flash,1.0,23.0,1,17.92516
V1,pi_detected_virtual_flash,1.0,23.0,1,18.425017
V1,pi_detected_virtual_flash,0.9524,22.0,1,18.924973
V1,pi_detected_virtual_flash,0.9524,22.0,1,19.424369
V1,pi_detected_virtual_flash,0.9524,22.0,1,19.924141
V1,pi_detected_virtual_flash,0.9524,22.0,1,20.424102
V1,pi_detected_virtual_flash,0.9524,22.0,1,20.923597
V1,pi_detected_virtual_flash,0.9524,22.0,1,21.423346
V1,pi_detected_virtual_flash,0.9524,22.0,1,21.923155
V1,pi_detected_virtual_flash,0.9524,22.0,1,22.422809
V1,pi_detected_virtual_flash,0.9524,22.0,1,22.922584
V1,pi_detected_virtual_flash,0.9524,22.0,1,23.422322
V1,pi_detected_virtual_flash,0.9524,22.0,1,23.922126
V1,pi_detected_virtual_flash,0.9524,22.0,1,24.421818
V1,pi_detected_virtual_flash,0.9524,22.0,1,24.921569
V1,pi_detected_virtual_flash,0.9048,21.0,1,25.421294
V1,pi_detected_virtual_flash,0.9048,21.0,1,25.921264
V1,pi_detected_virtual_flash,0.9048,21.0,1,26.420976
V1,pi_detected_virtual_flash,0.9048,21.0,1,26.920695
V1,pi_detected_virtual_flash,0.8571,20.0,1,27.42043
V1,pi_detected_virtual_flash,0.8571,20.0,1,27.920268
V1,pi_detected_virtual_flash,0.8571,20.0,1,28.419927
V1,pi_detected_virtual_flash,0.8571,20.0,1,28.919694
V1,pi_detected_virtual_flash,0.8571,20.0,1,29.419437
V1,pi_detected_virtual_flash,0.8095,19.0,1,29.919257
