t_s,timestamp_s,frame_index,roi_id,agent_id,raw_brightness,brightness_used,normalized_signal,signal_norm,state,rising_edge,accepted_flash_event,event_type,threshold_on,threshold_off,norm_on_threshold,norm_off_threshold,adaptive_low,adaptive_high,adaptive_amplitude,estimated_frequency_hz,signal_frequency_hz,accepted_flash_event_count,brightness_mean,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,periodicity_confidence,rising_edge_count,roi,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_quality,source_agent_id,top_percentile_brightness,use_adaptive
0.2674,19970.069162666,1,0,V0,14.0,14.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,14.0,local_contrast,False,,0,0.38728414499928476,111.8,,0.35,0.65,14.0,0.1772,0.0,0,"{'x': 103, 'y': 328, 'width': 127, 'height': 129}",79.03,78.0,92.0,0.0,V0,92.0,True
0.2674,19970.069162666,1,1,V1,2.0,2.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,2.0,local_contrast,False,,0,0.38728414499928476,111.8,,0.35,0.65,2.0,0.0286,0.0,0,"{'x': 474, 'y': 316, 'width': 144, 'height': 140}",68.58,69.0,71.0,0.0,V1,71.0,True
0.400719,19970.08260367,2,0,V0,14.0,14.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,14.0,local_contrast,False,,0,0.4007251489965711,108.41,,0.35,0.65,14.0,0.1842,0.0,0,"{'x': 103, 'y': 328, 'width': 127, 'height': 129}",75.93,75.0,89.0,0.0,V0,89.0,True
0.400719,19970.08260367,2,1,V1,11.0,11.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,11.0,local_contrast,False,,0,0.4007251489965711,108.41,,0.35,0.65,11.0,0.1642,0.0,0,"{'x': 474, 'y': 316, 'width': 144, 'height': 140}",67.59,66.0,77.0,0.0,V1,77.0,True
0.434022,19970.11590708,3,0,V0,13.0,13.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,13.0,local_contrast,False,,0,0.4340285589969426,110.21,,0.35,0.65,13.0,0.1667,0.0,0,"{'x': 103, 'y': 328, 'width': 127, 'height': 129}",77.7,77.0,90.0,0.0,V0,90.0,True
0.434022,19970.11590708,3,1,V1,21.0,21.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,21.0,local_contrast,False,,0,0.4340285589969426,110.21,,0.35,0.65,21.0,0.3,0.0,0,"{'x': 474, 'y': 316, 'width': 144, 'height': 140}",71.59,69.0,90.0,0.0,V1,90.0,True
0.467357,19970.149241137,4,0,V0,13.0,13.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,13.0,local_contrast,False,,0,0.46736261600017315,110.07,,0.35,0.65,13.0,0.1667,0.0,0,"{'x': 103, 'y': 328, 'width': 127, 'height': 129}",77.53,77.0,90.0,0.0,V0,90.0,True
0.467357,19970.149241137,4,1,V1,23.0,23.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,23.0,local_contrast,False,,0,0.46736261600017315,110.07,,0.35,0.65,23.0,0.3333,0.0,0,"{'x': 474, 'y': 316, 'width': 144, 'height': 140}",71.53,68.0,91.0,0.0,V1,91.0,True
0.500649,19970.182533269,5,0,V0,14.0,14.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,14.0,local_contrast,False,,0,0.5006547479970322,109.99,,0.35,0.65,14.0,0.1818,0.0,0,"{'x': 103, 'y': 328, 'width': 127, 'height': 129}",77.42,76.0,90.0,0.0,V0,90.0,True
0.500649,19970.182533269,5,1,V1,23.0,23.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,23.0,local_contrast,False,,0,0.5006547479970322,109.99,,0.35,0.65,23.0,0.3333,0.0,0,"{'x': 474, 'y': 316, 'width': 144, 'height': 140}",71.49,68.0,91.0,0.0,V1,91.0,True
