agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V1,pi_detected_virtual_flash,0.8038,75.0,1,0.901037
V0,pi_detected_virtual_flash,0.6842,47.0,0,1.034379
V1,pi_detected_virtual_flash,0.9494,85.0,1,1.401162
V1,pi_detected_virtual_flash,0.7987,74.0,1,1.901281
V0,pi_detected_virtual_flash,0.6667,47.0,0,2.067954
V1,pi_detected_virtual_flash,0.9487,85.0,1,2.401436
V1,pi_detected_virtual_flash,0.7975,74.0,1,2.901551
V0,pi_detected_virtual_flash,0.675,47.0,0,3.034905
V1,pi_detected_virtual_flash,0.962,86.0,1,3.401681
V1,pi_detected_virtual_flash,0.825,76.0,1,3.901804
V0,pi_detected_virtual_flash,0.6758,47.0,0,4.035153
V1,pi_detected_virtual_flash,0.9241,83.0,1,4.401932
V1,pi_detected_virtual_flash,0.8176,75.0,1,4.902061
V0,pi_detected_virtual_flash,0.6829,47.0,0,5.035416
V1,pi_detected_virtual_flash,0.961,85.0,1,5.402383
V1,pi_detected_virtual_flash,0.8184,74.0,1,5.902276
V0,pi_detected_virtual_flash,0.8537,54.0,0,6.035672
V1,pi_detected_virtual_flash,0.987,87.0,1,6.402511
V1,pi_detected_virtual_flash,0.8182,74.0,1,6.902581
V0,pi_detected_virtual_flash,0.675,46.0,0,7.03594
V1,pi_detected_virtual_flash,0.961,85.0,1,7.402728
V1,pi_detected_virtual_flash,0.8182,74.0,1,7.902797
V0,pi_detected_virtual_flash,0.675,46.0,0,8.036148
V1,pi_detected_virtual_flash,0.9605,85.0,1,8.402935
V1,pi_detected_virtual_flash,0.8158,74.0,1,8.903002
V0,pi_detected_virtual_flash,0.6667,46.0,0,9.03634
V1,pi_detected_virtual_flash,0.9737,86.0,1,9.403115
V1,pi_detected_virtual_flash,0.8182,75.0,1,9.903205
V0,pi_detected_virtual_flash,0.6579,46.0,0,10.036546
V1,pi_detected_virtual_flash,0.9615,86.0,1,10.403332
V1,pi_detected_virtual_flash,0.8205,75.0,1,10.903439
V0,pi_detected_virtual_flash,0.6842,47.0,0,11.036771
V1,pi_detected_virtual_flash,0.9615,86.0,1,11.403576
