t_s,timestamp_s,frame_index,roi_id,agent_id,raw_brightness,brightness_used,normalized_signal,signal_norm,state,rising_edge,accepted_flash_event,event_type,threshold_on,threshold_off,norm_on_threshold,norm_off_threshold,adaptive_low,adaptive_high,adaptive_amplitude,estimated_frequency_hz,signal_frequency_hz,accepted_flash_event_count,brightness_mean,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,periodicity_confidence,rising_edge_count,roi,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_quality,source_agent_id,top_percentile_brightness,use_adaptive
0.267654,507.064745797,1,0,V0,60.0,60.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,60.0,local_contrast,False,,0,0.4193885029999933,113.79,,0.35,0.65,60.0,0.3922,0.0,0,"{'x': 0, 'y': 127, 'width': 225, 'height': 221}",162.08,152.0,212.0,0.0,V0,212.0,True
0.267654,507.064745797,1,1,V1,12.0,12.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,12.0,local_contrast,False,,0,0.4193885029999933,113.79,,0.35,0.65,12.0,0.1364,0.0,0,"{'x': 348, 'y': 130, 'width': 262, 'height': 252}",87.87,87.0,99.0,0.0,V1,99.0,True
0.434299,507.079663245,2,0,V0,59.0,59.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,59.0,local_contrast,False,,0,0.4343059509999989,124.11,,0.35,0.65,59.0,0.3933,0.0,0,"{'x': 0, 'y': 127, 'width': 225, 'height': 221}",158.48,149.0,208.0,0.0,V0,208.0,True
0.434299,507.079663245,2,1,V1,87.0,87.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,87.0,local_contrast,False,,0,0.4343059509999989,124.11,,0.35,0.65,87.0,0.685,0.0,0,"{'x': 348, 'y': 130, 'width': 262, 'height': 252}",144.52,126.0,213.0,0.0,V1,213.0,True
0.467623,507.112987918,3,0,V0,59.0,59.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,59.0,local_contrast,False,,0,0.46763062399998034,123.75,,0.35,0.65,59.0,0.3933,0.0,0,"{'x': 0, 'y': 127, 'width': 225, 'height': 221}",158.15,149.0,208.0,0.0,V0,208.0,True
0.467623,507.112987918,3,1,V1,88.0,88.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,88.0,local_contrast,False,,0,0.46763062399998034,123.75,,0.35,0.65,88.0,0.6984,0.0,0,"{'x': 348, 'y': 130, 'width': 262, 'height': 252}",144.19,125.0,213.0,0.0,V1,213.0,True
0.500959,507.146323275,4,0,V0,50.0,50.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,50.0,local_contrast,False,,0,0.5009659809999789,118.39,,0.35,0.65,50.0,0.3571,0.0,0,"{'x': 0, 'y': 127, 'width': 225, 'height': 221}",147.12,139.0,189.0,0.0,V0,189.0,True
0.500959,507.146323275,4,1,V1,89.0,89.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,89.0,local_contrast,False,,0,0.5009659809999789,118.39,,0.35,0.65,89.0,0.7295,0.0,0,"{'x': 348, 'y': 130, 'width': 262, 'height': 252}",140.1,121.0,210.0,0.0,V1,210.0,True
0.534303,507.179667596,5,0,V0,22.0,22.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,22.0,local_contrast,False,,0,0.5343103019999944,108.47,,0.35,0.65,22.0,0.2075,0.0,0,"{'x': 0, 'y': 127, 'width': 225, 'height': 221}",106.15,105.0,127.0,0.0,V0,127.0,True
0.534303,507.179667596,5,1,V1,90.0,90.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,90.0,local_contrast,False,,0,0.5343103019999944,108.47,,0.35,0.65,90.0,0.7627,0.0,0,"{'x': 348, 'y': 130, 'width': 262, 'height': 252}",136.68,117.0,207.0,0.0,V1,207.0,True
