elapsed_ms,endpoint,error,monotonic_time_s,ok
9.472,POST /api/reset,,645.078587,1
9.027,POST /api/mode,,645.088068,1
18.012,POST /api/leader/config,,645.097103,1
17.777,POST /api/mutual/config,,645.115122,1
13.49,POST /api/agents/0,,645.13291,1
18.436,POST /api/agents/1,,645.14641,1
18.174,POST /api/agents/2,,645.164854,1
9.605,POST /api/start,,645.183036,1
7.285,POST /api/feedback,,645.192646,1
11.428,GET /api/agents,,645.699999,1
8.123,GET /api/mutual/config,,645.711443,1
17.498,GET /api/agents,,651.719635,1
11.735,GET /api/frontend/display_state,,660.327461,1
10.99,POST /api/pause,,660.743637,1
