agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V1,pi_detected_virtual_flash,0.8462,16.0,1,0.934847
V1,pi_detected_virtual_flash,0.9231,17.0,1,1.435186
V1,pi_detected_virtual_flash,0.9231,17.0,1,1.935538
V1,pi_detected_virtual_flash,0.9231,17.0,1,2.435854
V1,pi_detected_virtual_flash,0.9231,17.0,1,2.936132
V1,pi_detected_virtual_flash,0.9231,17.0,1,3.43648
V1,pi_detected_virtual_flash,0.9231,17.0,1,3.936814
V1,pi_detected_virtual_flash,1.0,18.0,1,4.437086
V1,pi_detected_virtual_flash,1.0,18.0,1,4.937405
V1,pi_detected_virtual_flash,1.0,18.0,1,5.43774
V1,pi_detected_virtual_flash,1.0,18.0,1,5.938272
V1,pi_detected_virtual_flash,1.0,18.0,1,6.438376
V1,pi_detected_virtual_flash,1.0,18.0,1,6.938693
V1,pi_detected_virtual_flash,1.0,18.0,1,7.439016
V1,pi_detected_virtual_flash,1.0,18.0,1,7.93938
V1,pi_detected_virtual_flash,1.0,18.0,1,8.439713
V1,pi_detected_virtual_flash,0.9286,18.0,1,8.939976
V1,pi_detected_virtual_flash,0.9286,18.0,1,9.44031
V1,pi_detected_virtual_flash,0.9286,18.0,1,9.940667
V1,pi_detected_virtual_flash,0.9286,18.0,1,10.440933
V1,pi_detected_virtual_flash,0.9286,18.0,1,10.941346
V1,pi_detected_virtual_flash,0.9286,18.0,1,11.441581
V1,pi_detected_virtual_flash,1.0,19.0,1,11.941948
V1,pi_detected_virtual_flash,0.9286,18.0,1,12.44222
V1,pi_detected_virtual_flash,0.9286,18.0,1,12.942529
V1,pi_detected_virtual_flash,0.9286,18.0,1,13.442874
V1,pi_detected_virtual_flash,0.9286,18.0,1,13.943226
V1,pi_detected_virtual_flash,1.0,19.0,1,14.443543
V1,pi_detected_virtual_flash,1.0,19.0,1,14.943818
V1,pi_detected_virtual_flash,1.0,19.0,1,15.444126
V1,pi_detected_virtual_flash,0.9286,18.0,1,15.944509
V1,pi_detected_virtual_flash,1.0,19.0,1,16.444779
V1,pi_detected_virtual_flash,0.9286,18.0,1,16.945094
V1,pi_detected_virtual_flash,1.0,19.0,1,17.445429
V1,pi_detected_virtual_flash,1.0,19.0,1,17.945795
V1,pi_detected_virtual_flash,0.9286,18.0,1,18.446052
V1,pi_detected_virtual_flash,0.9286,18.0,1,18.946387
V1,pi_detected_virtual_flash,0.9286,18.0,1,19.446692
V1,pi_detected_virtual_flash,0.9286,18.0,1,19.947078
V1,pi_detected_virtual_flash,0.9286,18.0,1,20.447378
V1,pi_detected_virtual_flash,0.9286,18.0,1,20.947653
V1,pi_detected_virtual_flash,1.0,19.0,1,21.44799
V1,pi_detected_virtual_flash,1.0,19.0,1,21.948347
V1,pi_detected_virtual_flash,0.9286,18.0,1,22.448613
V1,pi_detected_virtual_flash,0.9286,18.0,1,22.948934
V1,pi_detected_virtual_flash,1.0,19.0,1,23.449264
V1,pi_detected_virtual_flash,1.0,19.0,1,23.949634
V1,pi_detected_virtual_flash,0.9286,18.0,1,24.449898
V1,pi_detected_virtual_flash,0.9286,18.0,1,24.95022
V1,pi_detected_virtual_flash,1.0,19.0,1,25.450554
V1,pi_detected_virtual_flash,1.0,19.0,1,25.950923
V1,pi_detected_virtual_flash,0.9286,18.0,1,26.45125
V1,pi_detected_virtual_flash,0.9286,18.0,1,26.951502
V1,pi_detected_virtual_flash,1.0,19.0,1,27.451847
V1,pi_detected_virtual_flash,1.0,19.0,1,27.952191
V1,pi_detected_virtual_flash,0.9333,18.0,1,28.452482
V1,pi_detected_virtual_flash,1.0,19.0,1,28.95281
V1,pi_detected_virtual_flash,0.9333,18.0,1,29.453142
V1,pi_detected_virtual_flash,0.9333,18.0,1,29.953499
