agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V1,pi_detected_virtual_flash,0.8438,49.0,1,0.901482
V0,pi_detected_virtual_flash,1.0,30.0,0,1.034822
V1,pi_detected_virtual_flash,1.0,56.0,1,1.401684
V1,pi_detected_virtual_flash,0.8421,49.0,1,1.901982
V0,pi_detected_virtual_flash,1.0,30.0,0,2.035325
V1,pi_detected_virtual_flash,1.0,56.0,1,2.402187
V1,pi_detected_virtual_flash,0.8211,48.0,1,2.902496
V0,pi_detected_virtual_flash,1.0,30.0,0,3.035857
V1,pi_detected_virtual_flash,1.0,56.0,1,3.402697
V1,pi_detected_virtual_flash,0.8125,48.0,1,3.903006
V0,pi_detected_virtual_flash,1.0,31.0,0,4.036372
V1,pi_detected_virtual_flash,1.0,57.0,1,4.403206
V1,pi_detected_virtual_flash,0.7917,47.0,1,4.903521
V0,pi_detected_virtual_flash,1.0,30.0,0,5.036896
V1,pi_detected_virtual_flash,1.0,57.0,1,5.403715
V1,pi_detected_virtual_flash,0.8333,49.0,1,5.90404
V0,pi_detected_virtual_flash,1.0,30.0,0,6.037396
V1,pi_detected_virtual_flash,1.0,57.0,1,6.40424
V1,pi_detected_virtual_flash,0.8333,49.0,1,6.90457
V0,pi_detected_virtual_flash,1.0,31.0,0,7.037918
V1,pi_detected_virtual_flash,1.0,58.0,1,7.404744
V1,pi_detected_virtual_flash,0.8367,49.0,1,7.905066
V0,pi_detected_virtual_flash,1.0,31.0,0,8.038409
V1,pi_detected_virtual_flash,1.0,57.0,1,8.40526
V1,pi_detected_virtual_flash,0.8367,49.0,1,8.905568
V0,pi_detected_virtual_flash,1.0,31.0,0,9.038936
V1,pi_detected_virtual_flash,1.0,57.0,1,9.405775
V1,pi_detected_virtual_flash,0.8163,48.0,1,9.906097
V0,pi_detected_virtual_flash,1.0,31.0,0,10.039433
V1,pi_detected_virtual_flash,1.0,57.0,1,10.406287
V1,pi_detected_virtual_flash,0.8163,48.0,1,10.906768
V0,pi_detected_virtual_flash,1.0,31.0,0,11.039966
V1,pi_detected_virtual_flash,1.0,57.0,1,11.406808
V1,pi_detected_virtual_flash,0.8367,49.0,1,11.907113
V0,pi_detected_virtual_flash,1.0,31.0,0,12.040479
V1,pi_detected_virtual_flash,1.0,57.0,1,12.407314
V1,pi_detected_virtual_flash,0.8163,48.0,1,12.907638
V0,pi_detected_virtual_flash,1.0,30.0,0,13.040978
V1,pi_detected_virtual_flash,1.0,57.0,1,13.407823
V1,pi_detected_virtual_flash,0.8163,48.0,1,13.908159
V0,pi_detected_virtual_flash,1.0,30.0,0,14.041486
V1,pi_detected_virtual_flash,1.0,57.0,1,14.408354
V1,pi_detected_virtual_flash,0.7921,47.0,1,14.908653
V0,pi_detected_virtual_flash,1.0,27.0,0,15.17533
V1,pi_detected_virtual_flash,1.0,58.0,1,15.408863
V1,pi_detected_virtual_flash,0.8085,48.0,1,15.90918
V0,pi_detected_virtual_flash,1.0,31.0,0,16.042525
V1,pi_detected_virtual_flash,1.0,58.0,1,16.409367
V1,pi_detected_virtual_flash,0.8085,48.0,1,16.909698
V0,pi_detected_virtual_flash,1.0,31.0,0,17.043033
V1,pi_detected_virtual_flash,1.0,58.0,1,17.409888
V1,pi_detected_virtual_flash,0.7789,47.0,1,17.910205
V0,pi_detected_virtual_flash,1.0,31.0,0,18.043569
V1,pi_detected_virtual_flash,1.0,58.0,1,18.410387
V1,pi_detected_virtual_flash,0.7917,48.0,1,18.91071
V0,pi_detected_virtual_flash,1.0,31.0,0,19.044088
V1,pi_detected_virtual_flash,0.9792,57.0,1,19.410906
V1,pi_detected_virtual_flash,0.7708,47.0,1,19.911216
V0,pi_detected_virtual_flash,1.0,30.0,0,20.044581
V1,pi_detected_virtual_flash,0.9792,57.0,1,20.411419
V1,pi_detected_virtual_flash,0.7708,47.0,1,20.911743
V0,pi_detected_virtual_flash,1.0,30.0,0,21.045278
V1,pi_detected_virtual_flash,0.9989,57.0,1,21.411948
V1,pi_detected_virtual_flash,0.7864,47.0,1,21.912269
V0,pi_detected_virtual_flash,1.0,30.0,0,22.04561
V1,pi_detected_virtual_flash,1.0,57.0,1,22.412456
V1,pi_detected_virtual_flash,0.7872,47.0,1,22.912797
V0,pi_detected_virtual_flash,1.0,30.0,0,23.046119
V1,pi_detected_virtual_flash,1.0,57.0,1,23.412974
V1,pi_detected_virtual_flash,0.8085,48.0,1,23.913277
V0,pi_detected_virtual_flash,1.0,30.0,0,24.046616
V1,pi_detected_virtual_flash,1.0,57.0,1,24.413472
V1,pi_detected_virtual_flash,0.8085,48.0,1,24.913796
V0,pi_detected_virtual_flash,1.0,31.0,0,25.047159
V1,pi_detected_virtual_flash,1.0,58.0,1,25.413988
V1,pi_detected_virtual_flash,0.8085,48.0,1,25.914312
V0,pi_detected_virtual_flash,1.0,30.0,0,26.047655
V1,pi_detected_virtual_flash,1.0,57.0,1,26.414512
V1,pi_detected_virtual_flash,0.7872,47.0,1,26.914826
V0,pi_detected_virtual_flash,1.0,29.0,0,27.048188
V1,pi_detected_virtual_flash,1.0,57.0,1,27.415015
V1,pi_detected_virtual_flash,0.8085,48.0,1,27.915335
V0,pi_detected_virtual_flash,1.0,29.0,0,28.048719
V1,pi_detected_virtual_flash,1.0,58.0,1,28.415545
V1,pi_detected_virtual_flash,0.8085,48.0,1,28.915878
V0,pi_detected_virtual_flash,1.0,30.0,0,29.049222
V1,pi_detected_virtual_flash,0.9979,57.0,1,29.416074
V1,pi_detected_virtual_flash,0.8108,48.0,1,29.916385
