t_s,timestamp_s,frame_index,roi_id,agent_id,raw_brightness,brightness_used,normalized_signal,signal_norm,state,rising_edge,accepted_flash_event,event_type,threshold_on,threshold_off,norm_on_threshold,norm_off_threshold,adaptive_low,adaptive_high,adaptive_amplitude,estimated_frequency_hz,signal_frequency_hz,accepted_flash_event_count,brightness_mean,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,periodicity_confidence,rising_edge_count,roi,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_quality,source_agent_id,top_percentile_brightness,use_adaptive
0.267574,584.240342539,1,0,V0,27.0,27.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,27.0,local_contrast,False,,0,0.3882108730000482,150.48,,0.35,0.65,27.0,0.1475,0.0,0,"{'x': 9, 'y': 137, 'width': 201, 'height': 209}",184.1,182.0,209.0,0.0,V0,209.0,True
0.267574,584.240342539,1,1,V1,9.0,9.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,9.0,local_contrast,False,,0,0.3882108730000482,150.48,,0.35,0.65,9.0,0.0672,0.0,0,"{'x': 349, 'y': 131, 'width': 260, 'height': 249}",132.71,133.0,142.0,0.0,V1,142.0,True
0.434453,584.286592489,2,0,V0,27.0,27.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,27.0,local_contrast,False,,0,0.4344608229999949,151.97,,0.35,0.65,27.0,0.1525,0.0,0,"{'x': 9, 'y': 137, 'width': 201, 'height': 209}",177.71,176.0,203.0,0.0,V0,203.0,True
0.434453,584.286592489,2,1,V1,57.0,57.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,57.0,local_contrast,False,,0,0.4344608229999949,151.97,,0.35,0.65,57.0,0.3654,0.0,0,"{'x': 349, 'y': 131, 'width': 260, 'height': 249}",164.6,155.0,212.0,0.0,V1,212.0,True
0.467881,584.32002009,3,0,V0,27.0,27.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,27.0,local_contrast,False,,0,0.4678884239999661,151.82,,0.35,0.65,27.0,0.1525,0.0,0,"{'x': 9, 'y': 137, 'width': 201, 'height': 209}",177.53,176.0,203.0,0.0,V0,203.0,True
0.467881,584.32002009,3,1,V1,57.0,57.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,57.0,local_contrast,False,,0,0.4678884239999661,151.82,,0.35,0.65,57.0,0.3654,0.0,0,"{'x': 349, 'y': 131, 'width': 260, 'height': 249}",164.49,155.0,212.0,0.0,V1,212.0,True
0.501234,584.353373231,4,0,V0,22.0,22.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,22.0,local_contrast,False,,0,0.5012415649999866,145.96,,0.35,0.65,22.0,0.1302,0.0,0,"{'x': 9, 'y': 137, 'width': 201, 'height': 209}",168.12,168.0,190.0,0.0,V0,190.0,True
0.501234,584.353373231,4,1,V1,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.5012415649999866,145.96,,0.35,0.65,56.0,0.3709,0.0,0,"{'x': 349, 'y': 131, 'width': 260, 'height': 249}",159.02,150.0,206.0,0.0,V1,206.0,True
0.534568,584.386707595,5,0,V0,18.0,18.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,18.0,local_contrast,False,,0,0.5345759289999705,138.17,,0.35,0.65,18.0,0.1314,0.0,0,"{'x': 9, 'y': 137, 'width': 201, 'height': 209}",136.88,136.0,154.0,0.0,V0,154.0,True
0.534568,584.386707595,5,1,V1,55.0,55.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,55.0,local_contrast,False,,0,0.5345759289999705,138.17,,0.35,0.65,55.0,0.3741,0.0,0,"{'x': 349, 'y': 131, 'width': 260, 'height': 249}",155.1,146.0,201.0,0.0,V1,201.0,True
0.567943,584.420081864,6,0,V0,18.0,18.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,18.0,local_contrast,False,,0,0.5679501980000623,135.84,,0.35,0.65,18.0,0.1343,0.0,0,"{'x': 9, 'y': 137, 'width': 201, 'height': 209}",134.02,133.0,151.0,0.0,V0,151.0,True
0.567943,584.420081864,6,1,V1,55.0,55.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,55.0,local_contrast,False,,0,0.5679501980000623,135.84,,0.35,0.65,55.0,0.3793,0.0,0,"{'x': 349, 'y': 131, 'width': 260, 'height': 249}",152.83,144.0,199.0,0.0,V1,199.0,True
0.6013,584.453439227,7,0,V0,19.0,19.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,19.0,local_contrast,False,,0,0.6013075609999987,134.55,,0.35,0.65,19.0,0.1439,0.0,0,"{'x': 9, 'y': 137, 'width': 201, 'height': 209}",132.35,131.0,150.0,0.0,V0,150.0,True
0.6013,584.453439227,7,1,V1,56.0,56.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,56.0,local_contrast,False,,0,0.6013075609999987,134.55,,0.35,0.65,56.0,0.3916,0.0,0,"{'x': 349, 'y': 131, 'width': 260, 'height': 249}",151.6,142.0,198.0,0.0,V1,198.0,True
0.63486,584.486999545,8,0,V0,18.0,18.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,18.0,local_contrast,False,,0,0.6348678790000122,131.28,,0.35,0.65,18.0,0.1364,0.0,0,"{'x': 9, 'y': 137, 'width': 201, 'height': 209}",131.64,131.0,149.0,0.0,V0,149.0,True
0.63486,584.486999545,8,1,V1,42.0,42.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,42.0,local_contrast,False,,0,0.6348678790000122,131.28,,0.35,0.65,42.0,0.3206,0.0,0,"{'x': 349, 'y': 131, 'width': 260, 'height': 249}",138.95,130.0,172.0,0.0,V1,172.0,True
0.668233,584.520372037,9,0,V0,18.0,18.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,18.0,local_contrast,False,,0,0.6682403710000244,126.18,,0.35,0.65,18.0,0.1364,0.0,0,"{'x': 9, 'y': 137, 'width': 201, 'height': 209}",132.1,131.0,149.0,0.0,V0,149.0,True
0.668233,584.520372037,9,1,V1,9.0,9.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,9.0,local_contrast,False,,0,0.6682403710000244,126.18,,0.35,0.65,9.0,0.0783,0.0,0,"{'x': 349, 'y': 131, 'width': 260, 'height': 249}",113.49,114.0,123.0,0.0,V1,123.0,True
0.701576,584.553715734,10,0,V0,18.0,18.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,18.0,27.0,9.0,0.0,0.0,0,18.0,local_contrast,False,,0,0.7015840679999883,126.2,,0.35,0.65,18.0,0.1364,0.0,0,"{'x': 9, 'y': 137, 'width': 201, 'height': 209}",132.17,131.0,149.0,0.0,V0,149.0,True
0.701576,584.553715734,10,1,V1,10.0,10.0,0.0208,0.0208,OFF,False,False,,180.0,120.0,0.65,0.35,9.0,57.0,48.0,0.0,0.0,0,10.0,local_contrast,False,,0,0.7015840679999883,126.2,,0.35,0.65,10.0,0.0877,0.0,0,"{'x': 349, 'y': 131, 'width': 260, 'height': 249}",113.42,113.0,123.0,1.0,V1,123.0,True
0.734747,584.586886566,11,0,V0,19.0,19.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,18.0,27.0,9.0,0.0,0.0,0,19.0,local_contrast,False,,0,0.7347548999999844,134.59,,0.35,0.65,19.0,0.1348,0.0,0,"{'x': 9, 'y': 137, 'width': 201, 'height': 209}",141.19,140.0,159.0,0.0,V0,159.0,True
0.734747,584.586886566,11,1,V1,9.0,9.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,9.0,57.0,48.0,0.0,0.0,0,9.0,local_contrast,False,,0,0.7347548999999844,134.59,,0.35,0.65,9.0,0.0738,0.0,0,"{'x': 349, 'y': 131, 'width': 260, 'height': 249}",121.03,121.0,130.0,1.0,V1,130.0,True
0.768079,584.6202183,12,0,V0,18.0,18.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,18.0,27.0,9.0,0.0,0.0,0,18.0,local_contrast,False,,0,0.7680866340000421,144.47,,0.35,0.65,18.0,0.1192,0.0,0,"{'x': 9, 'y': 137, 'width': 201, 'height': 209}",150.82,150.0,168.0,0.0,V0,168.0,True
