agent_id,f_lock_hz,fire_count,flash_on,frequency_hz,lock_hold_state,phase_rad,pi_flash_events_consumed,received_neighbour_events,role,t_s,topology
V0,,2,1,2.347068,acquisition,0.179209,0,1,virtual,3e-06,all_to_all
V1,,1,0,1.806889,acquisition,4.465237,0,1,virtual,3e-06,all_to_all
P0,,0,0,1.68112,acquisition,3.845354,,0,pi,3e-06,all_to_all
V0,,2,1,2.347068,acquisition,2.038924,0,1,virtual,0.412882,all_to_all
V1,,1,0,1.822683,acquisition,6.05291,0,2,virtual,0.412882,all_to_all
P0,,1,1,1.68112,acquisition,1.923318,,0,pi,0.412882,all_to_all
V0,,2,0,2.341992,acquisition,3.867094,1,3,virtual,0.615508,all_to_all
V1,,2,1,1.843648,acquisition,1.394695,1,3,virtual,0.615508,all_to_all
P0,,1,0,1.68112,acquisition,4.063619,,0,pi,0.615508,all_to_all
V0,,3,1,2.320569,acquisition,0.239459,1,3,virtual,0.815569,all_to_all
V1,,2,0,1.871892,acquisition,3.863123,1,3,virtual,0.815569,all_to_all
P0,,1,0,1.68112,acquisition,6.201145,,0,pi,0.815569,all_to_all
V0,,3,1,2.294648,acquisition,3.023973,2,4,virtual,1.016386,all_to_all
V1,,3,1,1.899528,acquisition,0.092739,2,5,virtual,1.016386,all_to_all
P0,,2,0,1.68112,acquisition,2.086377,,0,pi,1.016386,all_to_all
V0,,3,0,2.270722,acquisition,5.858139,2,5,virtual,1.216409,all_to_all
V1,,3,1,1.936656,acquisition,2.701348,2,5,virtual,1.216409,all_to_all
P0,,2,0,1.698096,acquisition,4.195569,,0,pi,1.216409,all_to_all
V0,,4,1,2.243971,acquisition,3.384526,2,5,virtual,1.416561,all_to_all
V1,,3,0,1.98848,acquisition,6.079155,2,6,virtual,1.416561,all_to_all
P0,,3,1,1.746817,acquisition,0.014067,,0,pi,1.416561,all_to_all
V0,,4,0,2.227963,acquisition,5.341028,3,7,virtual,1.616565,all_to_all
V1,,4,1,2.008187,acquisition,1.413977,3,7,virtual,1.616565,all_to_all
P0,,3,0,1.79063,acquisition,2.239096,,0,pi,1.616565,all_to_all
