elapsed_ms,endpoint,error,monotonic_time_s,ok
6.949,POST /api/reset,,17988.513475,1
12.522,POST /api/mode,,17988.520433,1
6.807,POST /api/leader/config,,17988.532961,1
8.305,POST /api/mutual/config,,17988.539775,1
5.416,POST /api/agents/0,,17988.548095,1
10.794,POST /api/agents/1,,17988.553519,1
8.318,POST /api/agents/2,,17988.564321,1
9.756,POST /api/start,,17988.572647,1
8.65,POST /api/feedback,,17988.582408,1
16.69,POST /api/stabilizer/config,,17988.59107,1
10.014,GET /api/agents,,17989.075477,1
14.273,POST /api/pi_flash,,17989.181189,1
8.996,GET /api/agents,,17989.195476,1
15.704,GET /api/agents,,17989.321751,1
14.063,GET /api/agents,,17989.521656,1
18.817,POST /api/pi_flash,,17989.615111,1
12.459,GET /api/agents,,17989.722242,1
18.819,GET /api/agents,,17989.922383,1
24.145,POST /api/pi_flash,,17990.182764,1
16.174,GET /api/agents,,17990.206921,1
10.075,GET /api/agents,,17990.322873,1
12.637,GET /api/agents,,17990.522789,1
14.022,POST /api/pi_flash,,17990.750271,1
10.193,GET /api/agents,,17990.789946,1
13.95,GET /api/agents,,17991.023013,1
14.087,POST /api/pi_flash,,17991.28345,1
11.833,GET /api/agents,,17991.297549,1
18.637,GET /api/agents,,17991.45692,1
10.583,GET /api/agents,,17991.656984,1
12.209,POST /api/pi_flash,,17991.817015,1
9.591,GET /api/agents,,17991.856933,1
10.024,GET /api/agents,,17992.090623,1
8.374,POST /api/pi_flash,,17992.317504,1
14.068,GET /api/agents,,17992.357583,1
16.652,GET /api/agents,,17992.590998,1
10.13,POST /api/pi_flash,,17992.85103,1
68.748,GET /api/agents,,17992.89127,1
45.815,GET /api/agents,,17993.124683,1
7.694,POST /api/pi_flash,,17993.351345,1
31.174,GET /api/agents,,17993.390823,1
8.889,GET /api/agents,,17993.624946,1
12.518,POST /api/pi_flash,,17993.851723,1
6.91,GET /api/agents,,17993.891596,1
10.751,GET /api/agents,,17994.125412,1
8.618,POST /api/pi_flash,,17994.38542,1
10.784,GET /api/agents,,17994.394048,1
8.237,POST /api/pi_flash,,17994.485476,1
6.835,GET /api/agents,,17994.52556,1
9.78,GET /api/agents,,17994.759267,1
17.677,POST /api/pi_flash,,17994.919018,1
9.903,GET /api/agents,,17994.958869,1
16.968,GET /api/agents,,17995.192605,1
8.658,GET /api/agents,,17995.392723,1
11.581,POST /api/pi_flash,,17995.485977,1
9.983,GET /api/agents,,17995.59308,1
16.256,GET /api/agents,,17995.792466,1
8.41,POST /api/pi_flash,,17996.019719,1
7.22,GET /api/agents,,17996.059444,1
9.143,GET /api/agents,,17996.293481,1
10.379,POST /api/pi_flash,,17996.58676,1
7.692,GET /api/agents,,17996.597151,1
28.021,GET /api/agents,,17996.727117,1
9.782,GET /api/agents,,17996.960342,1
17.079,POST /api/pi_flash,,17997.120453,1
16.139,POST /api/pi_flash,,17997.220578,1
10.614,GET /api/agents,,17997.23673,1
14.312,GET /api/agents,,17997.394119,1
32.383,POST /api/pi_flash,,17997.687558,1
7.389,GET /api/agents,,17997.719952,1
11.184,GET /api/agents,,17997.827788,1
13.358,GET /api/agents,,17998.061169,1
11.92,POST /api/pi_flash,,17998.22117,1
7.018,GET /api/agents,,17998.261318,1
8.835,GET /api/agents,,17998.494953,1
15.661,POST /api/pi_flash,,17998.754986,1
6.458,GET /api/agents,,17998.794963,1
24.178,GET /api/agents,,17999.028585,1
11.847,POST /api/pi_flash,,17999.292929,1
9.713,GET /api/agents,,17999.30479,1
16.02,GET /api/agents,,17999.462008,1
15.908,GET /api/agents,,17999.661891,1
10.182,POST /api/pi_flash,,17999.82219,1
12.322,GET /api/agents,,17999.861654,1
9.979,GET /api/agents,,18000.095892,1
