agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
P0,,,pi_flash,2.277602,,,,4.146358,,,,0.429614
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,0.429614,0.429614
P0,,,pi_flash,2.277602,,,,0.139242,,,,0.588662
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,0.588662,0.588662
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9195,,76.0,0,,0.822428
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9394,,108.0,1,,0.822428
P0,,,pi_flash,2.277602,,,,0.276844,,,,1.056545
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.056545,1.056545
V1,,0,pi_detected_virtual_flash,,0.0,1,1.0,,118.0,1,,1.165587
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8363,,71.0,0,,1.223014
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9815,,115.0,1,,1.456641
P0,,,pi_flash,2.344033,,,,0.449694,,,,1.523744
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.523744,1.523744
P0,,,pi_flash,2.431709,,,,0.164082,,,,1.924343
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.924343,1.924343
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7266,,87.0,1,,2.19166
P0,,,pi_flash,2.508671,,,,0.479926,,,,2.357788
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,2.357788,2.357788
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8987,,105.0,1,,2.524532
P0,,,pi_flash,2.548488,,,,6.273078,,,,2.736556
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,2.736556,2.736556
P0,,,pi_flash,2.552423,,,,1.411405,,,,2.827109
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,2.827109,2.827109
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7326,,73.0,0,,2.964344
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8952,,104.0,1,,2.964344
P0,,,pi_flash,2.52032,,,,0.29133,,,,3.158135
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,3.158135,3.158135
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9289,,80.0,0,,3.291383
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8973,,106.0,1,,3.291383
P0,,,pi_flash,2.502775,,,,0.038953,,,,3.558501
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,3.558501,3.558501
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8104,,75.0,0,,3.724993
V1,,0,pi_detected_virtual_flash,,0.0,1,0.926,,110.0,1,,3.724993
P0,,,pi_flash,2.515284,,,,0.283775,,,,3.991789
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,3.991789,3.991789
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8234,,72.0,0,,4.103963
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9815,,116.0,1,,4.103963
P0,,,pi_flash,2.511929,,,,0.175056,,,,4.39259
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,4.39259,4.39259
V0,,0,pi_detected_virtual_flash,,0.0,1,0.914,,77.0,0,,4.502791
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9352,,111.0,1,,4.502791
P0,,,pi_flash,2.513042,,,,0.163634,,,,4.792779
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,4.792779,4.792779
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8302,,73.0,0,,4.935164
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9907,,117.0,1,,4.935164
P0,,,pi_flash,2.503176,,,,6.256612,,,,5.192846
