common_frequency_hz,f_lock_hz,frequency_disagreement_hz,lock_acquired,lock_hold_enabled,lock_hold_state,lock_time_s,mean_pairwise_phase_error_cycles,order_parameter_R,relock_count,t_s,unlock_count
1.851503,,0.218108,0,1,acquisition,,0.145048,0.831085,0,1e-06,0
1.851503,,0.218108,0,1,acquisition,,0.184813,0.747065,0,0.441922,0
1.851596,,0.217831,0,1,acquisition,,0.077369,0.94929,0,0.655048,0
1.867869,,0.1865,0,1,acquisition,,0.081719,0.944023,0,0.855503,0
1.936958,,0.128274,0,1,acquisition,,0.089763,0.931019,0,1.05601,0
2.03862,,0.191802,0,1,acquisition,,0.096952,0.910128,0,1.327852,0
2.078181,,0.228347,0,1,acquisition,,0.128885,0.876377,0,1.556551,0
2.098894,,0.231647,0,1,acquisition,,0.112097,0.907671,0,1.859395,0
2.089109,,0.195127,0,1,acquisition,,0.17401,0.776969,0,2.090531,0
2.07324,,0.161598,0,1,acquisition,,0.124984,0.881058,0,2.361663,0
2.061539,,0.131635,0,1,acquisition,,0.12344,0.877505,0,2.590393,0
2.05037,,0.102861,0,1,acquisition,,0.106607,0.903482,0,2.859231,0
2.042306,,0.083358,0,1,acquisition,,0.098244,0.915037,0,3.091089,0
2.033742,,0.067513,0,1,acquisition,,0.074454,0.9499,0,3.36787,0
2.026873,,0.05752,0,1,acquisition,,0.079783,0.940718,0,3.591049,0
2.020053,,0.048386,0,1,acquisition,,0.06333,0.961724,0,3.862521,0
2.015323,,0.040667,0,1,acquisition,,0.058956,0.966156,0,4.091558,0
2.010955,,0.032647,0,1,acquisition,,0.040898,0.983833,0,4.363268,0
2.0078,,0.026874,0,1,acquisition,,0.037974,0.986275,0,4.59199,0
2.004015,,0.019943,0,1,acquisition,,0.020838,0.996028,0,4.895983,0
2.000485,,0.014949,0,1,acquisition,,0.016699,0.997406,0,5.125689,0
1.99674,,0.012234,0,1,acquisition,,0.003159,0.99992,0,5.398774,0
1.993821,,0.010635,0,1,acquisition,,0.003175,0.999915,0,5.626301,0
1.990367,,0.013093,0,1,acquisition,,0.008799,0.999413,0,5.912421,0
1.987463,,0.012384,0,1,acquisition,,0.022903,0.995913,0,6.126202,0
1.983549,,0.011086,0,1,acquisition,,0.037148,0.988688,0,6.395625,0
1.978477,,0.014992,0,1,acquisition,,0.030453,0.992679,0,6.627033,0
1.972436,,0.019711,0,1,acquisition,,0.021703,0.996449,0,6.929131,0
1.968812,,0.016276,0,1,acquisition,,0.006083,0.999706,0,7.160437,0
1.964635,,0.014714,0,1,acquisition,,0.110507,0.886226,0,7.48087,0
1.961135,,0.01565,0,1,acquisition,,0.052211,0.975286,0,7.694155,0
1.953469,,0.021077,0,1,acquisition,,0.142759,0.820529,0,7.995143,0
1.951338,,0.021991,0,1,acquisition,,0.035488,0.990227,0,8.227941,0
1.946692,,0.024074,0,1,acquisition,,0.052912,0.978218,0,8.642804,0
1.941897,,0.024871,0,1,acquisition,,0.040485,0.987845,0,8.861422,0
1.938192,,0.025448,0,1,acquisition,,0.060441,0.97208,0,9.067832,0
1.933591,,0.026047,0,1,acquisition,,0.05225,0.97969,0,9.295116,0
1.926583,,0.025182,0,1,acquisition,,0.050859,0.980937,0,9.733668,0
1.918741,,0.022195,0,1,acquisition,,0.051399,0.980534,0,9.961677,0
1.911835,,0.02464,0,1,acquisition,,0.067102,0.966141,0,10.162178,0
1.906777,,0.028704,0,1,acquisition,,0.072836,0.959161,0,10.362573,0
1.901575,,0.034033,0,1,acquisition,,0.072472,0.958249,0,10.663816,0
