accepted_flash_event,accepted_flash_event_count,adaptive_amplitude,adaptive_high,adaptive_low,agent_id,brightness_mean,brightness_used,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,estimated_frequency_hz,event_type,frame_index,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,norm_off_threshold,norm_on_threshold,normalized_signal,periodicity_confidence,raw_brightness,rising_edge,rising_edge_count,roi,roi_id,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_frequency_hz,signal_norm,signal_quality,source_agent_id,state,t_s,threshold_off,threshold_on,timestamp_s,top_percentile_brightness,use_adaptive
False,0,0.0,1.0,0.0,V0,55.0,55.0,local_contrast,False,,0,0.394440880001639,0.0,,1,173.33,,0.35,0.65,55.0,0.2736,0.35,0.65,0.0,0.0,55.0,False,0,"{'x': 0, 'y': 104, 'width': 234, 'height': 227}",0,208.25,200.0,255.0,0.0,0.0,0.0,V0,OFF,1e-06,120.0,180.0,18117.711500918,255.0,True
False,0,0.0,1.0,0.0,V1,74.0,74.0,local_contrast,False,,0,0.394440880001639,0.0,,1,173.33,,0.35,0.65,74.0,0.4066,0.35,0.65,0.0,0.0,74.0,False,0,"{'x': 352, 'y': 110, 'width': 276, 'height': 263}",1,194.61,181.0,255.0,0.0,0.0,0.0,V1,OFF,1e-06,120.0,180.0,18117.711500918,255.0,True
False,0,0.0,1.0,0.0,V0,85.0,85.0,local_contrast,False,,0,0.4743610199984687,0.0,,2,85.08,,0.35,0.65,85.0,0.8095,0.35,0.65,0.0,0.0,85.0,False,0,"{'x': 0, 'y': 104, 'width': 234, 'height': 227}",0,120.97,104.0,189.0,0.0,0.0,0.0,V0,OFF,0.441922,120.0,180.0,18117.791421058,189.0,True
False,0,0.0,1.0,0.0,V1,109.0,109.0,local_contrast,False,,0,0.4743610199984687,0.0,,2,85.08,,0.35,0.65,109.0,1.2386,0.35,0.65,0.0,0.0,109.0,False,0,"{'x': 352, 'y': 110, 'width': 276, 'height': 263}",1,112.15,87.0,196.0,0.0,0.0,0.0,V1,OFF,0.441922,120.0,180.0,18117.791421058,196.0,True
False,0,0.0,1.0,0.0,V0,18.0,18.0,local_contrast,False,,0,0.5745112180011347,0.0,,3,53.45,,0.35,0.65,18.0,0.3103,0.35,0.65,0.0,0.0,18.0,False,0,"{'x': 0, 'y': 104, 'width': 234, 'height': 227}",0,57.5,57.0,75.0,0.0,0.0,0.0,V0,OFF,0.567572,120.0,180.0,18117.891571256,75.0,True
False,0,0.0,1.0,0.0,V1,9.0,9.0,local_contrast,False,,0,0.5745112180011347,0.0,,3,53.45,,0.35,0.65,9.0,0.225,0.35,0.65,0.0,0.0,9.0,False,0,"{'x': 352, 'y': 110, 'width': 276, 'height': 263}",1,38.45,39.0,48.0,0.0,0.0,0.0,V1,OFF,0.567572,120.0,180.0,18117.891571256,48.0,True
False,0,0.0,1.0,0.0,V0,17.0,17.0,local_contrast,False,,0,0.6079834619995381,0.0,,4,53.25,,0.35,0.65,17.0,0.2931,0.35,0.65,0.0,0.0,17.0,False,0,"{'x': 0, 'y': 104, 'width': 234, 'height': 227}",0,57.34,57.0,74.0,0.0,0.0,0.0,V0,OFF,0.588493,120.0,180.0,18117.9250435,74.0,True
False,0,0.0,1.0,0.0,V1,9.0,9.0,local_contrast,False,,0,0.6079834619995381,0.0,,4,53.25,,0.35,0.65,9.0,0.225,0.35,0.65,0.0,0.0,9.0,False,0,"{'x': 352, 'y': 110, 'width': 276, 'height': 263}",1,38.37,39.0,48.0,0.0,0.0,0.0,V1,OFF,0.588493,120.0,180.0,18117.9250435,48.0,True
False,0,0.0,1.0,0.0,V0,17.0,17.0,local_contrast,False,,0,0.6413280220003799,0.0,,5,56.46,,0.35,0.65,17.0,0.2742,0.35,0.65,0.0,0.0,17.0,False,0,"{'x': 0, 'y': 104, 'width': 234, 'height': 227}",0,61.36,61.0,78.0,0.0,0.0,0.0,V0,OFF,0.622178,120.0,180.0,18117.95838806,78.0,True
False,0,0.0,1.0,0.0,V1,9.0,9.0,local_contrast,False,,0,0.6413280220003799,0.0,,5,56.46,,0.35,0.65,9.0,0.2093,0.35,0.65,0.0,0.0,9.0,False,0,"{'x': 352, 'y': 110, 'width': 276, 'height': 263}",1,42.03,42.0,51.0,0.0,0.0,0.0,V1,OFF,0.622178,120.0,180.0,18117.95838806,51.0,True
