agent_id,f_lock_hz,fire_count,flash_on,frequency_hz,lock_hold_state,phase_rad,pi_flash_events_consumed,received_neighbour_events,role,t_s,topology
V0,,2,1,2.347068,acquisition,0.644034,0,1,virtual,2e-06,all_to_all
V1,,1,0,1.808834,acquisition,4.854197,0,2,virtual,2e-06,all_to_all
P0,,0,0,1.68112,acquisition,3.845354,,0,pi,2e-06,all_to_all
V0,,2,1,2.347068,acquisition,2.038924,0,1,virtual,0.424713,all_to_all
V1,,1,0,1.82272,acquisition,6.052935,0,2,virtual,0.424713,all_to_all
P0,,1,1,1.68112,acquisition,2.048299,,0,pi,0.424713,all_to_all
V0,,2,0,2.339159,acquisition,4.315461,1,3,virtual,0.64868,all_to_all
V1,,2,1,1.848671,acquisition,1.803419,1,3,virtual,0.64868,all_to_all
P0,,1,0,1.68112,acquisition,4.414012,,0,pi,0.64868,all_to_all
V0,,3,1,2.303538,acquisition,2.040754,2,4,virtual,0.955819,all_to_all
V1,,2,0,1.888946,acquisition,5.52862,2,5,virtual,0.955819,all_to_all
P0,,2,0,1.68112,acquisition,1.425581,,1,pi,0.955819,all_to_all
V0,,3,0,2.274407,acquisition,5.291672,2,5,virtual,1.18302,all_to_all
V1,,3,1,1.930049,acquisition,2.260551,2,5,virtual,1.18302,all_to_all
P0,,2,0,1.692029,acquisition,3.86,,0,pi,1.18302,all_to_all
V0,,4,1,2.243612,acquisition,3.281783,2,5,virtual,1.41619,all_to_all
V1,,3,0,1.982534,acquisition,0.009218,2,6,virtual,1.41619,all_to_all
P0,,3,1,1.747062,acquisition,6.280226,,0,pi,1.41619,all_to_all
V0,,4,0,2.227505,acquisition,5.237187,4,7,virtual,1.659065,all_to_all
V1,,3,0,1.997734,acquisition,1.803139,4,8,virtual,1.659065,all_to_all
P0,,4,0,1.765237,acquisition,2.654714,,0,pi,1.659065,all_to_all
V0,,5,1,2.203608,acquisition,2.875097,4,7,virtual,1.882656,all_to_all
V1,,3,0,2.030075,acquisition,5.180469,4,9,virtual,1.882656,all_to_all
P0,,4,0,1.827973,acquisition,5.214129,,1,pi,1.882656,all_to_all
V0,,5,0,2.192302,acquisition,5.295098,5,9,virtual,2.086238,all_to_all
V1,,4,1,2.051511,acquisition,0.877518,5,10,virtual,2.086238,all_to_all
P0,,5,0,1.869876,acquisition,1.389646,,0,pi,2.086238,all_to_all
V0,,6,1,2.176696,acquisition,2.38846,5,9,virtual,2.316643,all_to_all
V1,,4,0,2.080616,acquisition,3.688129,5,11,virtual,2.316643,all_to_all
P0,,5,0,1.898405,acquisition,4.197193,,1,pi,2.316643,all_to_all
V0,,6,0,2.16069,acquisition,6.183838,5,10,virtual,2.516991,all_to_all
