elapsed_ms,endpoint,error,monotonic_time_s,ok
13.344,POST /api/reset,,18313.46028,1
8.128,POST /api/mode,,18313.473632,1
7.556,POST /api/leader/config,,18313.481768,1
6.74,POST /api/mutual/config,,18313.48933,1
13.099,POST /api/agents/0,,18313.496085,1
18.459,POST /api/agents/1,,18313.509192,1
9.98,POST /api/agents/2,,18313.527659,1
12.666,POST /api/start,,18313.537647,1
7.136,POST /api/feedback,,18313.550318,1
15.668,POST /api/stabilizer/config,,18313.557466,1
20.084,GET /api/agents,,18314.041858,1
8.046,POST /api/pi_flash,,18314.145292,1
12.978,GET /api/agents,,18314.153354,1
9.875,GET /api/agents,,18314.319567,1
13.4,POST /api/pi_flash,,18314.579806,1
16.646,GET /api/agents,,18314.619402,1
11.485,GET /api/agents,,18314.854102,1
22.19,POST /api/pi_flash,,18315.147021,1
8.904,GET /api/agents,,18315.169223,1
15.749,POST /api/pi_flash,,18315.280705,1
6.074,GET /api/agents,,18315.320296,1
15.529,GET /api/agents,,18315.553995,1
9.571,POST /api/pi_flash,,18315.714057,1
10.456,GET /api/agents,,18315.754087,1
9.888,GET /api/agents,,18315.987977,1
10.998,POST /api/pi_flash,,18316.247583,1
8.329,GET /api/agents,,18316.258593,1
25.909,GET /api/agents,,18316.421757,1
7.917,GET /api/agents,,18316.621514,1
8.299,POST /api/pi_flash,,18316.780857,1
25.526,GET /api/agents,,18316.821465,1
14.214,GET /api/agents,,18317.055232,1
9.097,POST /api/pi_flash,,18317.314501,1
5.574,GET /api/agents,,18317.355391,1
18.389,GET /api/agents,,18317.588962,1
8.916,POST /api/pi_flash,,18317.814984,1
12.709,GET /api/agents,,18317.856044,1
9.235,GET /api/agents,,18318.088963,1
8.872,POST /api/pi_flash,,18318.315865,1
11.808,GET /api/agents,,18318.356089,1
10.938,GET /api/agents,,18318.589139,1
7.917,POST /api/pi_flash,,18318.815656,1
15.091,GET /api/agents,,18318.861665,1
10.055,GET /api/agents,,18319.090175,1
10.331,POST /api/pi_flash,,18319.315795,1
7.461,GET /api/agents,,18319.356811,1
9.15,GET /api/agents,,18319.59057,1
10.514,POST /api/pi_flash,,18319.81649,1
10.923,GET /api/agents,,18319.856516,1
14.028,GET /api/agents,,18320.090592,1
16.877,POST /api/pi_flash,,18320.349908,1
6.775,GET /api/agents,,18320.390276,1
54.385,GET /api/agents,,18320.624138,1
9.697,POST /api/pi_flash,,18320.850326,1
10.777,GET /api/agents,,18320.890646,1
13.833,GET /api/agents,,18321.124789,1
9.227,POST /api/pi_flash,,18321.384142,1
13.882,GET /api/agents,,18321.424277,1
9.509,GET /api/agents,,18321.658193,1
12.468,POST /api/pi_flash,,18321.917673,1
6.746,GET /api/agents,,18321.957674,1
15.102,GET /api/agents,,18322.192157,1
25.948,POST /api/pi_flash,,18322.45136,1
9.756,GET /api/agents,,18322.525117,1
20.211,GET /api/agents,,18322.725716,1
13.902,POST /api/pi_flash,,18323.018472,1
14.026,GET /api/agents,,18323.032383,1
9.028,GET /api/agents,,18323.159458,1
10.035,GET /api/agents,,18323.391877,1
13.879,POST /api/pi_flash,,18323.551995,1
7.063,GET /api/agents,,18323.59303,1
9.472,GET /api/agents,,18323.826511,1
15.896,POST /api/pi_flash,,18324.052247,1
13.593,POST /api/pi_flash,,18324.157159,1
9.64,GET /api/agents,,18324.170763,1
9.543,GET /api/agents,,18324.326605,1
9.597,POST /api/pi_flash,,18324.585939,1
11.8,GET /api/agents,,18324.626953,1
14.456,GET /api/agents,,18324.860357,1
8.651,POST /api/pi_flash,,18325.119783,1
5.91,GET /api/agents,,18325.159452,1
12.255,GET /api/agents,,18325.394025,1
8.043,POST /api/pi_flash,,18325.686807,1
9.85,GET /api/agents,,18325.694861,1
21.372,GET /api/agents,,18325.827867,1
44.081,GET /api/agents,,18326.027066,1
79.565,POST /api/pi_flash,,18326.220314,1
159.645,GET /api/agents,,18326.328137,1
49.398,GET /api/agents,,18326.56064,1
32.261,POST /api/pi_flash,,18326.754141,1
76.112,GET /api/agents,,18326.827158,1
10.798,GET /api/agents,,18327.028562,1
14.999,POST /api/pi_flash,,18327.287749,1
