common_frequency_hz,f_lock_hz,frequency_disagreement_hz,lock_acquired,lock_hold_enabled,lock_hold_state,lock_time_s,mean_pairwise_phase_error_cycles,order_parameter_R,relock_count,t_s,unlock_count
2.281255,,0.224082,0,1,acquisition,,0.267345,0.506926,0,3e-06,0
2.289411,,0.199612,0,1,acquisition,,0.251548,0.541017,0,0.532367,0
2.346829,,0.158915,0,1,acquisition,,0.235658,0.629056,0,0.755616,0
2.539509,,0.436955,0,1,acquisition,,0.224551,0.660085,0,0.956419,0
2.739509,,0.736955,0,1,acquisition,,0.207629,0.685794,0,1.160742,0
2.863934,,0.863733,0,1,acquisition,,0.253279,0.559048,0,1.390117,0
2.890676,,0.831164,0,1,acquisition,,0.333333,0.266085,0,1.590627,0
2.894678,,0.692413,0,1,acquisition,,0.333333,0.108583,0,1.790848,0
2.889141,,0.584652,0,1,acquisition,,0.333333,0.060255,0,1.994541,0
2.88574,,0.419713,0,1,acquisition,,0.333333,0.289525,0,2.22458,0
2.875192,,0.320306,0,1,acquisition,,0.27457,0.514321,0,2.457607,0
2.852669,,0.296051,0,1,acquisition,,0.124279,0.878058,0,2.658413,0
2.832371,,0.30486,0,1,acquisition,,0.197507,0.730617,0,2.891583,0
2.815039,,0.294832,0,1,acquisition,,0.195578,0.736244,0,3.100573,0
2.800655,,0.26397,0,1,acquisition,,0.098245,0.9202,0,3.325136,0
2.795821,,0.24026,0,1,acquisition,,0.131212,0.875726,0,3.525174,0
2.787808,,0.227632,0,1,acquisition,,0.109477,0.911484,0,3.725383,0
2.774615,,0.228447,0,1,acquisition,,0.088269,0.940625,0,3.959005,0
2.764447,,0.206425,0,1,acquisition,,0.051862,0.973638,0,4.229228,0
2.763376,,0.180041,0,1,acquisition,,0.044678,0.981239,0,4.45934,0
2.760714,,0.154614,0,1,acquisition,,0.064062,0.969478,0,4.692618,0
2.754136,,0.126987,0,1,acquisition,,0.076778,0.956547,0,4.893155,0
2.743889,,0.101613,0,1,acquisition,,0.079292,0.952957,0,5.09323,0
2.729722,,0.06773,0,1,acquisition,,0.193027,0.700903,0,5.293353,0
2.72248,,0.05174,0,1,acquisition,,0.069323,0.963328,0,5.493544,0
2.706716,,0.021833,0,1,acquisition,,0.04494,0.984965,0,5.798256,0
2.693426,,0.010382,0,1,acquisition,,0.039071,0.988621,0,6.027027,0
2.683139,,0.004518,0,1,acquisition,,0.026805,0.994675,0,6.260714,0
2.675239,,0.002985,0,1,acquisition,,0.13533,0.834651,0,6.531394,0
2.674688,,0.005462,0,1,acquisition,,0.016539,0.99787,0,6.761025,0
2.677148,,0.013811,0,1,acquisition,,0.004167,0.999853,0,6.994429,0
2.679982,,0.041602,0,1,acquisition,,0.130557,0.84309,0,7.194833,0
2.682285,,0.054916,0,1,acquisition,,0.019745,0.996695,0,7.414809,0
2.692642,,0.105536,0,1,acquisition,,0.034592,0.989135,0,7.70034,0
2.713935,,0.181448,0,1,acquisition,,0.068026,0.957209,0,7.928372,0
2.730347,,0.224715,0,1,acquisition,,0.031998,0.991286,0,8.131622,0
2.748454,,0.289479,0,1,acquisition,,0.085447,0.935067,0,8.362155,0
2.759993,,0.33312,0,1,acquisition,,0.130364,0.851326,0,8.595557,0
2.754603,,0.355146,0,1,acquisition,,0.166016,0.765416,0,8.795783,0
2.746998,,0.362702,0,1,acquisition,,0.206506,0.650364,0,8.995877,0
2.724117,,0.361671,0,1,acquisition,,0.276847,0.438013,0,9.228996,0
2.712709,,0.357187,0,1,acquisition,,0.332115,0.334062,0,9.429449,0
2.693426,,0.332728,0,1,acquisition,,0.18634,0.714454,0,9.629453,0
2.685501,,0.312628,0,1,acquisition,,0.279006,0.432527,0,9.829565,0
2.668301,,0.27481,0,1,acquisition,,0.257368,0.490275,0,10.103331,0
2.651771,,0.254158,0,1,acquisition,,0.221181,0.596805,0,10.330059,0
2.639093,,0.231325,0,1,acquisition,,0.197457,0.664881,0,10.56338,0
2.634844,,0.198968,0,1,acquisition,,0.180259,0.714933,0,10.763758,0
2.631604,,0.163156,0,1,acquisition,,0.156885,0.780221,0,10.996747,0
2.627851,,0.130326,0,1,acquisition,,0.161383,0.768259,0,11.267264,0
2.631189,,0.087807,0,1,acquisition,,0.150647,0.796721,0,11.497556,0
2.637969,,0.039689,0,1,acquisition,,0.125942,0.856299,0,11.73008,0
2.643092,,0.003949,0,1,acquisition,,0.128085,0.851277,0,11.931026,0
2.640837,,0.011173,0,1,acquisition,,0.208936,0.627586,0,12.163621,0
2.633146,,0.005656,0,1,acquisition,,0.266246,0.451252,0,12.412829,0
2.623448,,0.011387,0,1,acquisition,,0.274243,0.428807,0,12.631583,0
2.622234,,0.007292,0,1,acquisition,,0.295689,0.377263,0,12.83187,0
2.619704,,0.00536,0,1,acquisition,,0.328159,0.334817,0,13.133184,0
2.617944,,0.023123,0,1,acquisition,,0.327351,0.335138,0,13.365213,0
2.624555,,0.026848,0,1,acquisition,,0.315868,0.344212,0,13.565793,0
2.630246,,0.023847,0,1,acquisition,,0.291644,0.384167,0,13.798759,0
2.62982,,0.030649,0,1,acquisition,,0.274133,0.425641,0,14.031583,0
2.626523,,0.031228,0,1,acquisition,,0.266588,0.445807,0,14.232949,0
2.619844,,0.036382,0,1,acquisition,,0.288291,0.389708,0,14.465525,0
2.617966,,0.046101,0,1,acquisition,,0.265216,0.447531,0,14.666488,0
2.620707,,0.066103,0,1,acquisition,,0.278487,0.413741,0,14.968145,0
2.623298,,0.06894,0,1,acquisition,,0.285085,0.399007,0,15.198958,0
2.622839,,0.07282,0,1,acquisition,,0.292435,0.383188,0,15.400151,0
2.620531,,0.080778,0,1,acquisition,,0.249283,0.500264,0,15.600155,0
2.620517,,0.081065,0,1,acquisition,,0.312323,0.348977,0,15.800495,0
2.620695,,0.080975,0,1,acquisition,,0.313077,0.348125,0,16.105862,0
2.617746,,0.090281,0,1,acquisition,,0.333333,0.333307,0,16.333536,0
2.618632,,0.091712,0,1,acquisition,,0.327578,0.335019,0,16.534021,0
2.625106,,0.096954,0,1,acquisition,,0.322326,0.33806,0,16.83892,0
2.627351,,0.11077,0,1,acquisition,,0.30216,0.363673,0,17.067599,0
2.631039,,0.115577,0,1,acquisition,,0.294717,0.377795,0,17.268425,0
2.636758,,0.118755,0,1,acquisition,,0.171901,0.734995,0,17.501108,0
2.636825,,0.124476,0,1,acquisition,,0.328264,0.33456,0,17.701518,0
2.638671,,0.134529,0,1,acquisition,,0.29952,0.367937,0,17.989571,0
2.642832,,0.130706,0,1,acquisition,,0.318525,0.340916,0,18.201789,0
2.649025,,0.119677,0,1,acquisition,,0.317038,0.342285,0,18.402095,0
2.657779,,0.100121,0,1,acquisition,,0.326651,0.335121,0,18.602261,0
2.661684,,0.095145,0,1,acquisition,,0.320376,0.339087,0,18.834523,0
2.671964,,0.070703,0,1,acquisition,,0.325306,0.335702,0,19.11096,0
2.687358,,0.030483,0,1,acquisition,,0.232648,0.547377,0,19.335513,0
2.690651,,0.02303,0,1,acquisition,,0.307859,0.353108,0,19.536179,0
2.695674,,0.012522,0,1,acquisition,,0.287675,0.391052,0,19.811471,0
2.707713,,0.020372,0,1,acquisition,,0.285024,0.397008,0,20.036486,0
2.715223,,0.03998,0,1,acquisition,,0.271047,0.432354,0,20.236618,0
2.724474,,0.064091,0,1,acquisition,,0.242519,0.51566,0,20.504747,0
