agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
P0,,,pi_flash,1.940849,,,,3.592466,,,,0.43444
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,0.43444,0.43444
P0,,,pi_flash,1.940849,,,,0.001408,,,,0.655202
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,0.655202,0.655202
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9722,,79.0,0,,0.856291
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9695,,99.0,1,,0.856291
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9102,,103.0,1,,1.189526
P0,,,pi_flash,1.942969,,,,6.268183,,,,1.189526
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.189526,1.189526
P0,,,pi_flash,1.946781,,,,1.221195,,,,1.292715
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.292715,1.292715
V0,,0,pi_detected_virtual_flash,,0.0,1,1.0,,82.0,0,,1.399816
P0,,,pi_flash,2.026485,,,,0.130682,,,,1.723119
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.723119,1.723119
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9268,,110.0,1,,1.832169
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9333,,78.0,0,,1.864339
V1,,0,pi_detected_virtual_flash,,0.0,1,1.0,,125.0,1,,2.190464
P0,,,pi_flash,2.05507,,,,0.039104,,,,2.223808
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,2.223808,2.223808
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9838,,81.0,0,,2.327472
V1,,0,pi_detected_virtual_flash,,0.0,1,1.0,,125.0,1,,2.624205
V0,,0,pi_detected_virtual_flash,,0.0,1,1.0,,82.0,0,,2.724323
P0,,,pi_flash,2.13206,,,,0.460895,,,,2.724323
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,2.724323,2.724323
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8226,,71.0,0,,3.124191
V1,,0,pi_detected_virtual_flash,,0.0,1,0.792,,101.0,1,,3.124191
P0,,,pi_flash,2.178761,,,,0.246657,,,,3.158529
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,3.158529,3.158529
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9307,,117.0,1,,3.557998
P0,,,pi_flash,2.194087,,,,0.028564,,,,3.591588
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,3.591588,3.591588
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9952,,82.0,0,,3.703364
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9397,,118.0,1,,3.991312
P0,,,pi_flash,2.203724,,,,0.303967,,,,4.058494
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,4.058494,4.058494
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9841,,82.0,0,,4.161437
P0,,,pi_flash,2.210727,,,,0.109432,,,,4.491761
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,4.491761,4.491761
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9224,,116.0,1,,4.595384
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9524,,80.0,0,,4.65922
