accepted_flash_event,accepted_flash_event_count,adaptive_amplitude,adaptive_high,adaptive_low,agent_id,brightness_mean,brightness_used,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,estimated_frequency_hz,event_type,frame_index,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,norm_off_threshold,norm_on_threshold,normalized_signal,periodicity_confidence,raw_brightness,rising_edge,rising_edge_count,roi,roi_id,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_frequency_hz,signal_norm,signal_quality,source_agent_id,state,t_s,threshold_off,threshold_on,timestamp_s,top_percentile_brightness,use_adaptive
False,0,0.0,1.0,0.0,V0,65.0,65.0,local_contrast,False,,0,0.40335746699929587,0.0,,1,160.94,,0.35,0.65,65.0,0.3403,0.35,0.65,0.0,0.0,65.0,False,0,"{'x': 0, 'y': 104, 'width': 234, 'height': 228}",0,199.39,190.0,255.0,0.0,0.0,0.0,V0,OFF,1e-06,120.0,180.0,18442.96239065,255.0,True
False,0,0.0,1.0,0.0,V1,85.0,85.0,local_contrast,False,,0,0.40335746699929587,0.0,,1,160.94,,0.35,0.65,85.0,0.4971,0.35,0.65,0.0,0.0,85.0,False,0,"{'x': 350, 'y': 108, 'width': 278, 'height': 266}",1,185.61,170.0,255.0,0.0,0.0,0.0,V1,OFF,1e-06,120.0,180.0,18442.96239065,255.0,True
False,0,0.0,1.0,0.0,V0,87.0,87.0,local_contrast,False,,0,0.44155093299923465,0.0,,2,79.32,,0.35,0.65,87.0,0.9062,0.35,0.65,0.0,0.0,87.0,False,0,"{'x': 0, 'y': 104, 'width': 234, 'height': 228}",0,112.78,95.0,182.0,0.0,0.0,0.0,V0,OFF,0.43444,120.0,180.0,18443.000584116,182.0,True
False,0,0.0,1.0,0.0,V1,118.0,118.0,local_contrast,False,,0,0.44155093299923465,0.0,,2,79.32,,0.35,0.65,118.0,1.4937,0.35,0.65,0.0,0.0,118.0,False,0,"{'x': 350, 'y': 108, 'width': 278, 'height': 266}",1,106.57,78.0,196.0,0.0,0.0,0.0,V1,OFF,0.43444,120.0,180.0,18443.000584116,196.0,True
False,0,0.0,1.0,0.0,V0,16.0,16.0,local_contrast,False,,0,0.5748044899992237,0.0,,3,51.01,,0.35,0.65,16.0,0.2857,0.35,0.65,0.0,0.0,16.0,False,0,"{'x': 0, 'y': 104, 'width': 234, 'height': 228}",0,54.15,55.0,71.0,0.0,0.0,0.0,V0,OFF,0.543462,120.0,180.0,18443.133837673,71.0,True
False,0,0.0,1.0,0.0,V1,10.0,10.0,local_contrast,False,,0,0.5748044899992237,0.0,,3,51.01,,0.35,0.65,10.0,0.2632,0.35,0.65,0.0,0.0,10.0,False,0,"{'x': 350, 'y': 108, 'width': 278, 'height': 266}",1,36.68,37.0,47.0,0.0,0.0,0.0,V1,OFF,0.543462,120.0,180.0,18443.133837673,47.0,True
False,0,0.0,1.0,0.0,V0,20.0,20.0,local_contrast,False,,0,0.6083389240011456,0.0,,4,68.35,,0.35,0.65,20.0,0.2778,0.35,0.65,0.0,0.0,20.0,False,0,"{'x': 0, 'y': 104, 'width': 234, 'height': 228}",0,71.5,71.0,91.0,0.0,0.0,0.0,V0,OFF,0.588432,120.0,180.0,18443.167372107,91.0,True
False,0,0.0,1.0,0.0,V1,10.0,10.0,local_contrast,False,,0,0.6083389240011456,0.0,,4,68.35,,0.35,0.65,10.0,0.1852,0.35,0.65,0.0,0.0,10.0,False,0,"{'x': 350, 'y': 108, 'width': 278, 'height': 266}",1,53.03,53.0,63.0,0.0,0.0,0.0,V1,OFF,0.588432,120.0,180.0,18443.167372107,63.0,True
False,0,0.0,1.0,0.0,V0,22.0,22.0,local_contrast,False,,0,0.6416636370013293,0.0,,5,80.58,,0.35,0.65,22.0,0.2588,0.35,0.65,0.0,0.0,22.0,False,0,"{'x': 0, 'y': 104, 'width': 234, 'height': 228}",0,84.18,84.0,106.0,0.0,0.0,0.0,V0,OFF,0.621919,120.0,180.0,18443.20069682,106.0,True
False,0,0.0,1.0,0.0,V1,9.0,9.0,local_contrast,False,,0,0.6416636370013293,0.0,,5,80.58,,0.35,0.65,9.0,0.1385,0.35,0.65,0.0,0.0,9.0,False,0,"{'x': 350, 'y': 108, 'width': 278, 'height': 266}",1,63.81,64.0,73.0,0.0,0.0,0.0,V1,OFF,0.621919,120.0,180.0,18443.20069682,73.0,True
