accepted_flash_event,accepted_flash_event_count,adaptive_amplitude,adaptive_high,adaptive_low,agent_id,brightness_mean,brightness_used,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,estimated_frequency_hz,event_type,frame_index,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,norm_off_threshold,norm_on_threshold,normalized_signal,periodicity_confidence,raw_brightness,rising_edge,rising_edge_count,roi,roi_id,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_frequency_hz,signal_norm,signal_quality,source_agent_id,state,t_s,threshold_off,threshold_on,timestamp_s,top_percentile_brightness,use_adaptive
False,0,0.0,1.0,0.0,V0,64.0,64.0,local_contrast,False,,0,0.3877635559983901,0.0,,1,105.05,,0.35,0.65,64.0,0.5161,0.35,0.65,0.0,0.0,64.0,False,0,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,137.13,123.0,187.0,0.0,0.0,0.0,V0,OFF,3e-06,120.0,180.0,10013.597366936,187.0,True
False,0,0.0,1.0,0.0,V1,94.0,94.0,local_contrast,False,,0,0.3877635559983901,0.0,,1,105.05,,0.35,0.65,94.0,0.8785,0.35,0.65,0.0,0.0,94.0,False,0,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,126.4,106.0,200.0,0.0,0.0,0.0,V1,OFF,3e-06,120.0,180.0,10013.597366936,200.0,True
False,0,0.0,1.0,0.0,V0,23.0,23.0,local_contrast,False,,0,0.43421855499946105,0.0,,2,90.56,,0.35,0.65,23.0,0.2277,0.35,0.65,0.0,0.0,23.0,False,0,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,100.9,100.0,123.0,0.0,0.0,0.0,V0,OFF,0.42238,120.0,180.0,10013.643821935,123.0,True
False,0,0.0,1.0,0.0,V1,15.0,15.0,local_contrast,False,,0,0.43421855499946105,0.0,,2,90.56,,0.35,0.65,15.0,0.2055,0.35,0.65,0.0,0.0,15.0,False,0,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,72.23,72.0,87.0,0.0,0.0,0.0,V1,OFF,0.42238,120.0,180.0,10013.643821935,87.0,True
False,0,0.0,1.0,0.0,V0,61.0,61.0,local_contrast,False,,0,0.5675198089993501,0.0,,3,125.09,,0.35,0.65,61.0,0.372,0.35,0.65,0.0,0.0,61.0,False,0,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,175.37,163.0,224.0,0.0,0.0,0.0,V0,OFF,0.564286,120.0,180.0,10013.777123189,224.0,True
False,0,0.0,1.0,0.0,V1,16.0,16.0,local_contrast,False,,0,0.5675198089993501,0.0,,3,125.09,,0.35,0.65,16.0,0.1633,0.35,0.65,0.0,0.0,16.0,False,0,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,96.55,97.0,113.0,0.0,0.0,0.0,V1,OFF,0.564286,120.0,180.0,10013.777123189,113.0,True
False,0,0.0,1.0,0.0,V0,56.0,56.0,local_contrast,False,,0,0.6010270139995555,0.0,,4,141.54,,0.35,0.65,56.0,0.3237,0.35,0.65,0.0,0.0,56.0,False,0,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,183.15,172.0,228.0,0.0,0.0,0.0,V0,OFF,0.581153,120.0,180.0,10013.810630394,228.0,True
False,0,0.0,1.0,0.0,V1,60.0,60.0,local_contrast,False,,0,0.6010270139995555,0.0,,4,141.54,,0.35,0.65,60.0,0.4839,0.35,0.65,0.0,0.0,60.0,False,0,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,137.33,123.0,183.0,0.0,0.0,0.0,V1,OFF,0.581153,120.0,180.0,10013.810630394,183.0,True
False,0,0.0,1.0,0.0,V0,60.0,60.0,local_contrast,False,,0,0.6343867909999972,0.0,,5,143.34,,0.35,0.65,60.0,0.3593,0.35,0.65,0.0,0.0,60.0,False,0,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,178.12,166.0,226.0,0.0,0.0,0.0,V0,OFF,0.615064,120.0,180.0,10013.843990171,226.0,True
False,0,0.0,1.0,0.0,V1,81.0,81.0,local_contrast,False,,0,0.6343867909999972,0.0,,5,143.34,,0.35,0.65,81.0,0.5436,0.35,0.65,0.0,0.0,81.0,False,0,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,162.38,148.0,229.0,0.0,0.0,0.0,V1,OFF,0.615064,120.0,180.0,10013.843990171,229.0,True
