agent_id,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
P0,pi_flash,2.277602,,,,4.16911,,,,0.431204
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,0.431204,0.431204
P0,pi_flash,2.277602,,,,0.132221,,,,0.588171
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,0.588171,0.588171
V0,pi_detected_virtual_flash,,,1,0.9881,,64.5,0,,0.855405
V1,pi_detected_virtual_flash,,,1,0.8939,,89.0,1,,0.855405
P0,pi_flash,2.277602,,,,0.226172,,,,1.021987
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,1.021987,1.021987
V1,pi_detected_virtual_flash,,,1,0.9367,,86.0,1,,1.147877
V0,pi_detected_virtual_flash,,,1,1.0,,66.0,0,,1.262106
V1,pi_detected_virtual_flash,,,1,0.9762,,89.0,1,,1.455661
P0,pi_flash,2.325933,,,,0.327485,,,,1.455661
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,1.455661,1.455661
V1,pi_detected_virtual_flash,,,1,0.9747,,89.0,1,,1.879028
P0,pi_flash,2.419321,,,,0.371655,,,,1.879028
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,1.879028,1.879028
V0,pi_detected_virtual_flash,,,1,1.0,,66.0,0,,1.99471
P0,pi_flash,2.458859,,,,0.091331,,,,2.268836
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,2.268836,2.268836
V0,pi_detected_virtual_flash,,,1,0.949,,63.0,0,,2.360508
V1,pi_detected_virtual_flash,,,1,0.8625,,80.0,1,,2.360508
V1,pi_detected_virtual_flash,,,1,0.8,,75.0,1,,2.622693
P0,pi_flash,2.492544,,,,0.524216,,,,2.702332
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,2.702332,2.702332
V0,pi_detected_virtual_flash,,,1,1.0,,66.0,0,,2.794015
V1,pi_detected_virtual_flash,,,1,0.8125,,76.0,1,,3.055895
P0,pi_flash,2.546093,,,,0.46809,,,,3.089651
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,3.089651,3.089651
V0,pi_detected_virtual_flash,,,1,0.8837,,61.0,0,,3.389601
V1,pi_detected_virtual_flash,,,1,0.85,,79.0,1,,3.389601
P0,pi_flash,2.558097,,,,0.102808,,,,3.456752
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,3.456752,3.456752
V1,pi_detected_virtual_flash,,,1,0.8562,,79.0,1,,3.835524
P0,pi_flash,2.547557,,,,0.090115,,,,3.835524
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,3.835524,3.835524
V0,pi_detected_virtual_flash,,,1,0.8095,,58.0,0,,4.156533
V1,pi_detected_virtual_flash,,,1,0.859,,79.0,1,,4.156533
P0,pi_flash,2.511715,,,,0.275774,,,,4.233255
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,4.233255,4.233255
V1,pi_detected_virtual_flash,,,1,0.6538,,63.0,1,,4.556488
V0,pi_detected_virtual_flash,,,1,0.9179,,62.0,0,,4.590285
P0,pi_flash,2.469143,,,,0.303744,,,,4.624027
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,4.624027,4.624027
V0,pi_detected_virtual_flash,,,1,0.7805,,56.0,0,,4.911745
V1,pi_detected_virtual_flash,,,1,0.859,,79.0,1,,4.911745
P0,pi_flash,2.447447,,,,0.404511,,,,5.024302
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,5.024302,5.024302
P0,pi_flash,2.447823,,,,0.274177,,,,5.401637
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,5.401637,5.401637
V0,pi_detected_virtual_flash,,,1,0.881,,61.0,0,,5.657188
V1,pi_detected_virtual_flash,,,1,0.9367,,86.0,1,,5.657188
P0,pi_flash,2.444525,,,,0.953459,,,,5.828105
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,5.828105,5.828105
V0,pi_detected_virtual_flash,,,1,0.881,,61.0,0,,6.090159
V1,pi_detected_virtual_flash,,,1,0.9103,,83.0,1,,6.090159
P0,pi_flash,2.4209,,,,0.532795,,,,6.191258
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,6.191258,6.191258
V0,pi_detected_virtual_flash,,,1,0.9286,,63.0,0,,6.423966
V1,pi_detected_virtual_flash,,,1,0.859,,79.0,1,,6.423966
P0,pi_flash,2.394826,,,,0.111566,,,,6.558048
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,6.558048,6.558048
V0,pi_detected_virtual_flash,,,1,0.9286,,63.0,0,,6.857528
V1,pi_detected_virtual_flash,,,1,0.8831,,80.0,1,,6.857528
P0,pi_flash,2.399818,,,,0.306586,,,,6.958116
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,6.958116,6.958116
V1,pi_detected_virtual_flash,,,1,0.7027,,64.0,1,,7.16562
V0,pi_detected_virtual_flash,,,1,0.7805,,56.0,0,,7.191472
P0,pi_flash,2.408086,,,,0.375101,,,,7.365025
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,7.365025,7.365025
V1,pi_detected_virtual_flash,,,1,0.7027,,64.0,1,,7.606683
V0,pi_detected_virtual_flash,,,1,0.9024,,61.0,0,,7.624616
P0,pi_flash,2.422937,,,,0.217688,,,,7.758548
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,7.758548,7.758548
V1,pi_detected_virtual_flash,,,1,0.7465,,65.0,1,,8.035415
V0,pi_detected_virtual_flash,,,1,0.7317,,54.0,0,,8.058754
P0,pi_flash,2.406557,,,,0.401163,,,,8.158828
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,8.158828,8.158828
V1,pi_detected_virtual_flash,,,1,0.9577,,80.0,1,,8.357866
V0,pi_detected_virtual_flash,,,1,0.7561,,55.0,0,,8.391997
V0,pi_detected_virtual_flash,,,1,0.9314,,62.0,0,,8.791588
V1,pi_detected_virtual_flash,,,1,0.9471,,80.0,1,,8.791588
P0,pi_flash,2.436048,,,,0.459172,,,,8.967203
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,8.967203,8.967203
V0,pi_detected_virtual_flash,,,1,1.0,,67.0,0,,9.125079
V1,pi_detected_virtual_flash,,,1,1.0,,86.0,1,,9.125079
P0,pi_flash,2.454916,,,,0.185274,,,,9.35914
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,9.35914,9.35914
V0,pi_detected_virtual_flash,,,1,1.0,,65.0,0,,9.558673
V1,pi_detected_virtual_flash,,,1,0.9348,,81.0,1,,9.558673
P0,pi_flash,2.469869,,,,0.172721,,,,9.79268
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,9.79268,9.79268
V0,pi_detected_virtual_flash,,,1,0.9756,,64.0,0,,9.992294
V1,pi_detected_virtual_flash,,,1,0.9354,,81.0,1,,9.992294
P0,pi_flash,2.452313,,,,0.09348,,,,10.225866
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,10.225866,10.225866
V0,pi_detected_virtual_flash,,,1,0.75,,54.0,0,,10.425904
V1,pi_detected_virtual_flash,,,1,0.9326,,78.0,1,,10.425904
P0,pi_flash,2.433987,,,,6.262097,,,,10.659681
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,10.659681,10.659681
V0,pi_detected_virtual_flash,,,1,1.0,,64.0,0,,10.763301
V1,pi_detected_virtual_flash,,,1,0.971,,80.0,1,,10.763301
P0,pi_flash,2.432263,,,,1.524608,,,,10.763301
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,10.763301,10.763301
P0,pi_flash,2.421044,,,,0.147029,,,,11.093016
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,11.093016,11.093016
V0,pi_detected_virtual_flash,,,1,0.95,,62.0,0,,11.214526
V1,pi_detected_virtual_flash,,,1,0.971,,80.0,1,,11.214526
P0,pi_flash,2.405756,,,,0.299682,,,,11.520807
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,11.520807,11.520807
V0,pi_detected_virtual_flash,,,1,1.0,,65.0,0,,11.628032
V1,pi_detected_virtual_flash,,,1,0.9855,,81.0,1,,11.628032
P0,pi_flash,2.386647,,,,0.061585,,,,11.927048
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,11.927048,11.927048
V0,pi_detected_virtual_flash,,,1,0.7073,,53.0,0,,12.034245
V1,pi_detected_virtual_flash,,,1,0.971,,80.0,1,,12.034245
P0,pi_flash,2.377035,,,,0.231058,,,,12.360997
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,12.360997,12.360997
V0,pi_detected_virtual_flash,,,1,0.7073,,53.0,0,,12.459958
V1,pi_detected_virtual_flash,,,1,1.0,,84.0,1,,12.459958
P0,pi_flash,2.376242,,,,0.557134,,,,12.806223
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,12.806223,12.806223
V0,pi_detected_virtual_flash,,,1,0.7317,,54.0,0,,12.901606
V1,pi_detected_virtual_flash,,,1,0.9577,,81.0,1,,12.901606
P0,pi_flash,2.377391,,,,0.748907,,,,13.245207
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,13.245207,13.245207
V0,pi_detected_virtual_flash,,,1,0.7073,,53.0,0,,13.334582
V1,pi_detected_virtual_flash,,,1,0.8873,,76.0,1,,13.334582
P0,pi_flash,2.371791,,,,0.033115,,,,13.626996
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,13.626996,13.626996
V0,pi_detected_virtual_flash,,,1,0.7317,,54.0,0,,13.769514
V1,pi_detected_virtual_flash,,,1,0.9362,,79.0,1,,13.769514
P0,pi_flash,2.36383,,,,0.149299,,,,14.060996
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,14.060996,14.060996
V0,pi_detected_virtual_flash,,,1,1.0,,66.0,0,,14.194328
V1,pi_detected_virtual_flash,,,1,1.0,,83.0,1,,14.194328
P0,pi_flash,2.356379,,,,0.047066,,,,14.49426
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,14.49426,14.49426
V0,pi_detected_virtual_flash,,,1,0.7317,,54.0,0,,14.620128
V1,pi_detected_virtual_flash,,,1,0.9286,,78.0,1,,14.620128
P0,pi_flash,2.350929,,,,0.058896,,,,14.927715
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,14.927715,14.927715
V0,pi_detected_virtual_flash,,,1,0.7317,,54.0,0,,15.04785
V1,pi_detected_virtual_flash,,,1,0.9286,,78.0,1,,15.04785
P0,pi_flash,2.345895,,,,0.151285,,,,15.361326
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,15.361326,15.361326
V0,pi_detected_virtual_flash,,,1,0.7304,,54.0,0,,15.49517
V1,pi_detected_virtual_flash,,,1,0.9286,,78.0,1,,15.49517
P0,pi_flash,2.341135,,,,0.027687,,,,15.794963
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,15.794963,15.794963
V0,pi_detected_virtual_flash,,,1,1.0,,66.0,0,,15.928601
V1,pi_detected_virtual_flash,,,1,0.9857,,82.0,1,,15.928601
P0,pi_flash,2.336887,,,,0.457363,,,,16.276012
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,16.276012,16.276012
V0,pi_detected_virtual_flash,,,1,1.0,,66.0,0,,16.371408
V1,pi_detected_virtual_flash,,,1,1.0,,84.0,1,,16.371408
P0,pi_flash,2.334025,,,,0.112239,,,,16.691113
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,16.691113,16.691113
V0,pi_detected_virtual_flash,,,1,0.9756,,65.0,0,,16.796626
V1,pi_detected_virtual_flash,,,1,1.0,,92.0,1,,16.796626
P0,pi_flash,2.331521,,,,0.20433,,,,17.1295
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,17.1295,17.1295
V0,pi_detected_virtual_flash,,,1,0.7284,,54.0,0,,17.337805
V1,pi_detected_virtual_flash,,,1,0.942,,78.0,1,,17.337805
P0,pi_flash,2.325906,,,,0.012569,,,,17.563216
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,17.563216,17.563216
V0,pi_detected_virtual_flash,,,1,0.7196,,54.0,0,,17.753668
V1,pi_detected_virtual_flash,,,1,0.9412,,77.0,1,,17.753668
P0,pi_flash,2.319408,,,,0.14047,,,,18.012222
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,18.012222,18.012222
V0,pi_detected_virtual_flash,,,1,0.6965,,53.0,0,,18.196212
V1,pi_detected_virtual_flash,,,1,0.9559,,78.0,1,,18.196212
P0,pi_flash,2.310962,,,,0.150337,,,,18.463925
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,18.463925,18.463925
V0,pi_detected_virtual_flash,,,1,1.0,,66.0,0,,18.629775
V1,pi_detected_virtual_flash,,,1,1.0,,87.0,1,,18.629775
P0,pi_flash,2.304417,,,,0.170635,,,,18.930555
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,18.930555,18.930555
P0,pi_flash,2.300507,,,,1.326584,,,,19.46551
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,19.46551,19.46551
V0,pi_detected_virtual_flash,,,1,0.8293,,59.0,0,,19.566828
P0,pi_flash,2.297628,,,,0.223908,,,,19.839758
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,19.839758,19.839758
V0,pi_detected_virtual_flash,,,1,0.7073,,54.0,0,,20.030441
V1,pi_detected_virtual_flash,,,1,0.8904,,78.0,1,,20.030441
P0,pi_flash,2.29096,,,,0.158303,,,,20.297212
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,20.297212,20.297212
V0,pi_detected_virtual_flash,,,1,0.6829,,53.0,0,,20.463922
V1,pi_detected_virtual_flash,,,1,0.8904,,78.0,1,,20.463922
P0,pi_flash,2.285481,,,,0.117592,,,,20.764721
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,20.764721,20.764721
V0,pi_detected_virtual_flash,,,1,0.7073,,54.0,0,,20.997638
V1,pi_detected_virtual_flash,,,1,0.8919,,78.0,1,,20.997638
P0,pi_flash,2.281068,,,,0.030816,,,,21.231495
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,21.231495,21.231495
V0,pi_detected_virtual_flash,,,1,0.7073,,54.0,0,,21.430975
V1,pi_detected_virtual_flash,,,1,0.891,,78.0,1,,21.430975
P0,pi_flash,2.273932,,,,0.292854,,,,21.730888
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,21.730888,21.730888
V0,pi_detected_virtual_flash,,,1,0.7073,,54.0,0,,21.877381
V1,pi_detected_virtual_flash,,,1,0.921,,78.0,1,,21.877381
P0,pi_flash,2.266739,,,,0.256746,,,,22.19867
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,22.19867,22.19867
V0,pi_detected_virtual_flash,,,1,0.7444,,55.0,0,,22.398209
V1,pi_detected_virtual_flash,,,1,0.9519,,78.0,1,,22.398209
P0,pi_flash,2.2485,,,,0.119125,,,,22.664701
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,22.664701,22.664701
V0,pi_detected_virtual_flash,,,1,0.725,,54.0,0,,22.831533
V1,pi_detected_virtual_flash,,,1,0.9559,,78.0,1,,22.831533
P0,pi_flash,2.240558,,,,0.347588,,,,23.164914
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,23.164914,23.164914
V0,pi_detected_virtual_flash,,,1,0.725,,54.0,0,,23.269939
V1,pi_detected_virtual_flash,,,1,0.9559,,78.0,1,,23.365886
P0,pi_flash,2.236259,,,,0.330567,,,,23.631795
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,23.631795,23.631795
