agent_id,fire_count,flash_on,frequency_hz,phase_rad,pi_flash_events_consumed,received_neighbour_events,role,t_s,topology
V0,1,0,1.722741,4.262984,0,1,virtual,2e-06,all_to_all
V1,1,0,1.89092,4.638728,0,1,virtual,2e-06,all_to_all
P0,0,0,1.940849,4.577798,,0,pi,2e-06,all_to_all
V0,1,0,1.722741,5.314925,0,1,virtual,0.537495,all_to_all
V1,1,0,1.89092,5.818906,0,1,virtual,0.537495,all_to_all
P0,1,1,1.940849,4.849188,,0,pi,0.537495,all_to_all
V0,2,1,1.740377,2.645158,2,4,virtual,0.883267,all_to_all
V1,2,0,1.892248,3.440137,2,4,virtual,0.883267,all_to_all
P0,2,0,1.940849,2.782591,,0,pi,0.883267,all_to_all
V0,2,0,1.810558,4.493084,2,4,virtual,1.088933,all_to_all
V1,2,0,1.941398,5.3385,2,4,virtual,1.088933,all_to_all
P0,2,0,1.940849,5.310826,,0,pi,1.088933,all_to_all
V0,3,1,1.915602,0.608195,3,6,virtual,1.294108,all_to_all
V1,3,1,2.019593,1.452289,3,6,virtual,1.294108,all_to_all
P0,3,0,1.940849,1.618121,,0,pi,1.294108,all_to_all
V0,3,0,2.004285,3.549081,3,6,virtual,1.52298,all_to_all
V1,3,0,2.08118,4.343228,3,6,virtual,1.52298,all_to_all
P0,3,0,1.98268,4.418334,,0,pi,1.52298,all_to_all
V0,4,1,2.098302,2.587177,4,8,virtual,1.850531,all_to_all
V1,4,1,2.139455,3.210195,4,8,virtual,1.850531,all_to_all
P0,4,0,2.052336,2.226529,,1,pi,1.850531,all_to_all
V0,4,0,2.110866,4.344848,4,8,virtual,2.056793,all_to_all
V1,4,0,2.143354,4.90664,4,8,virtual,2.056793,all_to_all
P0,4,0,2.075438,4.856987,,0,pi,2.056793,all_to_all
V0,5,1,2.123833,1.132678,5,10,virtual,2.294196,all_to_all
V1,5,1,2.143426,1.582015,5,10,virtual,2.294196,all_to_all
P0,5,0,2.08991,1.586925,,1,pi,2.294196,all_to_all
V0,5,0,2.126809,4.192641,5,10,virtual,2.523805,all_to_all
V1,5,0,2.13778,4.552997,5,10,virtual,2.523805,all_to_all
P0,5,0,2.123762,4.507853,,0,pi,2.523805,all_to_all
V0,6,1,2.125567,1.394299,6,12,virtual,2.793099,all_to_all
V1,6,1,2.130104,1.66938,6,12,virtual,2.793099,all_to_all
P0,6,0,2.162207,1.815452,,0,pi,2.793099,all_to_all
V0,6,0,2.119663,4.413151,6,12,virtual,3.024117,all_to_all
V1,6,0,2.122346,4.643589,6,12,virtual,3.024117,all_to_all
P0,6,0,2.182917,4.826303,,0,pi,3.024117,all_to_all
V0,7,1,2.110621,1.556123,7,14,virtual,3.301069,all_to_all
V1,7,1,2.11254,1.742993,7,14,virtual,3.301069,all_to_all
P0,7,0,2.180882,2.145775,,2,pi,3.301069,all_to_all
V0,7,0,2.100156,4.540706,7,14,virtual,3.524176,all_to_all
V1,7,0,2.101628,4.678894,7,14,virtual,3.524176,all_to_all
P0,7,0,2.177438,5.081018,,0,pi,3.524176,all_to_all
V0,8,1,2.090958,0.799153,8,16,virtual,3.728571,all_to_all
V1,8,1,2.09211,0.896753,8,16,virtual,3.728571,all_to_all
P0,8,0,2.175992,1.568919,,0,pi,3.728571,all_to_all
V0,8,0,2.081231,3.781239,8,16,virtual,3.95783,all_to_all
V1,8,0,2.082064,3.836284,8,16,virtual,3.95783,all_to_all
P0,8,0,2.166266,4.567947,,0,pi,3.95783,all_to_all
V0,9,1,2.071668,0.904099,9,18,virtual,4.224992,all_to_all
V1,9,1,2.072584,0.919898,9,18,virtual,4.224992,all_to_all
P0,9,0,2.148849,1.651982,,0,pi,4.224992,all_to_all
V0,9,0,2.064514,3.887393,9,18,virtual,4.457979,all_to_all
V1,9,0,2.068582,3.897448,9,18,virtual,4.457979,all_to_all
P0,9,0,2.133305,4.518003,,0,pi,4.457979,all_to_all
V0,10,1,2.058373,0.578588,10,20,virtual,4.725398,all_to_all
V1,10,1,2.066352,0.601709,10,20,virtual,4.725398,all_to_all
P0,10,0,2.124067,1.619153,,0,pi,4.725398,all_to_all
V0,10,0,2.052536,3.962605,10,20,virtual,4.958205,all_to_all
V1,10,0,2.064667,4.004965,10,20,virtual,4.958205,all_to_all
P0,10,0,2.115572,4.475582,,0,pi,4.958205,all_to_all
V0,11,1,2.047319,1.049846,11,22,virtual,5.226631,all_to_all
V1,11,1,2.062638,1.118143,11,22,virtual,5.226631,all_to_all
P0,11,0,2.109564,1.526755,,0,pi,5.226631,all_to_all
V0,11,0,2.041493,3.566511,11,22,virtual,5.458346,all_to_all
V1,11,0,2.056391,3.648985,11,22,virtual,5.458346,all_to_all
P0,11,0,2.098485,4.346224,,0,pi,5.458346,all_to_all
