elapsed_ms,endpoint,error,monotonic_time_s,ok
7.989,POST /api/reset,,10140.660902,1
6.223,POST /api/mode,,10140.6689,1
13.659,POST /api/leader/config,,10140.675129,1
9.995,POST /api/mutual/config,,10140.688794,1
10.96,POST /api/agents/0,,10140.698801,1
7.332,POST /api/agents/1,,10140.709769,1
7.781,POST /api/agents/2,,10140.717109,1
9.675,POST /api/start,,10140.724897,1
6.804,POST /api/feedback,,10140.734577,1
128.134,GET /api/agents,,10141.173466,1
14.46,POST /api/pi_flash,,10141.379135,1
6.382,GET /api/agents,,10141.393606,1
101.981,POST /api/pi_flash,,10141.545399,1
26.111,GET /api/agents,,10141.68622,1
17.096,GET /api/agents,,10141.886261,1
11.742,POST /api/pi_flash,,10142.046481,1
8.347,GET /api/agents,,10142.085941,1
14.696,GET /api/agents,,10142.320407,1
68.285,POST /api/pi_flash,,10142.546359,1
90.804,GET /api/agents,,10142.653771,1
9.438,GET /api/agents,,10142.854268,1
11.139,POST /api/pi_flash,,10143.047172,1
6.217,GET /api/agents,,10143.087215,1
11.74,GET /api/agents,,10143.321096,1
10.119,POST /api/pi_flash,,10143.547094,1
13.362,GET /api/agents,,10143.586969,1
13.19,GET /api/agents,,10143.821583,1
50.989,POST /api/pi_flash,,10144.014194,1
6.618,GET /api/agents,,10144.088436,1
10.893,GET /api/agents,,10144.321573,1
11.681,POST /api/pi_flash,,10144.481005,1
5.665,GET /api/agents,,10144.521212,1
12.415,GET /api/agents,,10144.755337,1
7.559,POST /api/pi_flash,,10144.981549,1
12.768,GET /api/agents,,10145.02157,1
8.966,GET /api/agents,,10145.25555,1
7.957,POST /api/pi_flash,,10145.481556,1
6.703,GET /api/agents,,10145.521319,1
17.274,GET /api/agents,,10145.75577,1
9.066,POST /api/pi_flash,,10145.98168,1
19.072,GET /api/agents,,10146.025026,1
9.275,GET /api/agents,,10146.255857,1
23.967,POST /api/pi_flash,,10146.481932,1
13.992,GET /api/agents,,10146.521706,1
9.015,GET /api/agents,,10146.755913,1
9.09,POST /api/pi_flash,,10147.015673,1
7.682,GET /api/agents,,10147.055413,1
18.528,GET /api/agents,,10147.289837,1
8.225,POST /api/pi_flash,,10147.515707,1
12.204,POST /api/pi_flash,,10147.61596,1
8.992,GET /api/agents,,10147.628176,1
14.251,GET /api/agents,,10147.790135,1
10.682,POST /api/pi_flash,,10148.049361,1
6.668,GET /api/agents,,10148.089441,1
12.316,GET /api/agents,,10148.32352,1
13.432,POST /api/pi_flash,,10148.582962,1
6.831,GET /api/agents,,10148.624517,1
10.511,GET /api/agents,,10148.857133,1
13.222,POST /api/pi_flash,,10149.116496,1
5.663,GET /api/agents,,10149.157315,1
13.754,GET /api/agents,,10149.390765,1
